الاذاعة/NOUN,الاسرائيلية/ADJ,الرسمية/ADJ
الدولة/NOUN,الفلسطينية/ADJ,المستقبلية/ADJ
الاذاعة/NOUN,الاسرائيلية/ADJ,الرسمية/ADJ
النزاع/NOUN,الاسرائيلي/ADJ,الفلسطيني/ADJ
مجموعة/NOUN,اسلامية/ADJ,مسلحة/ADJ
مجموعة/NOUN,اسلامية/ADJ,مسلحة/ADJ
الاصلاح/NOUN,الزراعي/ADJ,السريع/ADJ
رقما/NOUN,قياسيا/ADJ,افريقيا/ADJ
العلاقات/NOUN,المهنية/ADJ,المعلقة/ADJ
القمة/NOUN,الاسرائيلية/ADJ,الفلسطينية/ADJ
الوضع/NOUN,الاقتصادي/ADJ,الراكد/ADJ
المواد/NOUN,الغذائية/ADJ,المكسيكية/ADJ
الرئيس/NOUN,الفيدجي/ADJ,الجديد/ADJ
المؤلف/NOUN,الموسيقي/ADJ,الالماني/ADJ
المنطقة/NOUN,الجبلية/ADJ,الصغيرة/ADJ
انتخابات/NOUN,بلدية/ADJ,فرعية/ADJ
حزب/NOUN,الاشتراكيين/ADJ,الديموقراطي/ADJ
الحزب/NOUN,الاشتراكي/ADJ,الشعبي/ADJ
الحزب/NOUN,الاشتراكي/ADJ,الشعبي/ADJ
ضائقة/NOUN,اقتصادية/ADJ,خانقة/ADJ
ثروات/NOUN,طبيعية/ADJ,هائلة/ADJ
سلاسل/NOUN,جبلية/ADJ,عالية/ADJ
المواقف/NOUN,الأخوية/ADJ,الأصيلة/ADJ
مصدر/NOUN,ياباني/ADJ,رسمي/ADJ
نشاطا/NOUN,زلزاليا/ADJ,كبيرا/ADJ
الدولة/NOUN,الفلسطينية/ADJ,المستقلة/ADJ
الولايات/NOUN,المتحدة/ADJ,الاميركية/ADJ
عبارات/NOUN,انتقادية/ADJ,مباشرة/ADJ
الجمهورية/NOUN,العربية/ADJ,السورية/ADJ
الشركة/NOUN,القابضة/ADJ,الجديدة/ADJ
الرئيس/NOUN,السوري/ADJ,الراحل/ADJ
الضفة/NOUN,الشمالية/ADJ,الشرقية/ADJ
القمة/NOUN,الاسرائيلية/ADJ,الفلسطينية/ADJ
وزارة/NOUN,الداخلية/ADJ,السعودية/ADJ
أوضاع/NOUN,قانونية/ADJ,سليمة/ADJ
أوراق/NOUN,ثبوتية/ADJ,قانونية/ADJ
اختبار/NOUN,جديد/ADJ,ناجح/ADJ
الصناعة/NOUN,الدفاعية/ADJ,الايرانية/ADJ
القوات/NOUN,المسلحة/ADJ,الايرانية/ADJ
محاميين/NOUN,اصلاحيين/ADJ,ايرانيين/ADJ
وزارة/NOUN,الداخلية/ADJ,الروسية/ADJ
وزير/NOUN,الداخلية/ADJ,السابق/ADJ
المفاوضات/NOUN,الفلسطينية/ADJ,الاسرائيلية/ADJ
الدولة/NOUN,الفلسطينية/ADJ,المستقلة/ADJ
المبعوث/NOUN,الخاص/ADJ,التونسي/ADJ
الإمارات/NOUN,العربية/ADJ,المتحدة/ADJ
حادث/NOUN,نووي/ADJ,مدني/ADJ
اللقاء/NOUN,الثلاثي/ADJ,الثاني/ADJ
اللقاء/NOUN,الثلاثي/ADJ,الاول/ADJ
اجتماعات/NOUN,يومية/ADJ,منفصلة/ADJ
البطل/NOUN,القومي/ADJ,الكوبي/ADJ
المدرب/NOUN,البرتغالي/ADJ,الشهير/ADJ
مستثمرا/NOUN,ايرانيا/ADJ,كبيرا/ADJ
الاتحاد/NOUN,الوطني/ADJ,الافريقي/ADJ
بطولة/NOUN,العرب/ADJ,الثانية/ADJ
الدول/NOUN,الصناعية/ADJ,الكبرى/ADJ
مسؤول/NOUN,عسكري/ADJ,اسرائيلي/ADJ
القدرة/NOUN,النووية/ADJ,الايرانية/ADJ
مسؤول/NOUN,عسكري/ADJ,اسرائيلي/ADJ
قدرات/NOUN,نووية/ADJ,عسكرية/ADJ
نشاطات/NOUN,ارهابية/ADJ,استراتيجية/ADJ
المصور/NOUN,الصحافي/ADJ,الفلسطيني/ADJ
مبلغا/NOUN,ماليا/ADJ,هاما/ADJ
حصيلة/NOUN,نهائية/ADJ,رسمية/ADJ
القوات/NOUN,المسلحة/ADJ,البريطانية/ADJ
الوضع/NOUN,الاستراتيجي/ADJ,الجديد/ADJ
البقاء/NOUN,العسكري/ADJ,السوري/ADJ
حكومة/NOUN,عراقية/ADJ,مركزية/ADJ
العقود/NOUN,الطبية/ADJ,المصرية/ADJ
البنك/NOUN,المركزي/ADJ,المصري/ADJ
البنك/NOUN,المركزي/ADJ,المصري/ADJ
اللائحة/NOUN,التنفيذية/ADJ,الخاصة/ADJ
الغرف/NOUN,التجارية/ADJ,المصرية/ADJ
البنك/NOUN,المركزي/ADJ,المصري/ADJ
القمة/NOUN,المصرية/ADJ,التركية/ADJ
الدين/NOUN,العام/ADJ,المحلي/ADJ
الجهات/NOUN,المانحة/ADJ,الدولية/ADJ
الاتحادات/NOUN,الطلابية/ADJ,المصرية/ADJ
التيارات/NOUN,المعارضة/ADJ,الأخرى/ADJ
الإسلام/NOUN,السمح/ADJ,المعتدل/ADJ
أجنحة/NOUN,وطنية/ADJ,جديدة/ADJ
نزلة/NOUN,شعبية/ADJ,حادة/ADJ
مصدر/NOUN,رسمي/ADJ,ايراني/ADJ
العدوان/NOUN,الإسرائيلي/ADJ,المستمر/ADJ
القرار/NOUN,السياسي/ADJ,السوري/ADJ
البنك/NOUN,التجاري/ADJ,الدولي/ADJ
المؤسسة/NOUN,العربية/ADJ,المصرفية/ADJ
البنوك/NOUN,العامة/ADJ,المصرية/ADJ
البنك/NOUN,المصري/ADJ,الخليجي/ADJ
عائد/NOUN,سنوي/ADJ,ثابت/ADJ
البنك/NOUN,المركزي/ADJ,المصري/ADJ
المقاومة/NOUN,العراقية/ADJ,المسلحة/ADJ
البعث/NOUN,العربي/ADJ,الاشتراكي/ADJ
الإمارات/NOUN,العربية/ADJ,المتحدة/ADJ
جمعية/NOUN,عامة/ADJ,عادية/ADJ
الدول/NOUN,العربية/ADJ,المجاورة/ADJ
طلب/NOUN,عاجل/ADJ,جديد/ADJ
ثروات/NOUN,مصرية/ADJ,تعدينية/ADJ
المجلس/NOUN,التشريعي/ADJ,الفلسطيني/ADJ
القطاع/NOUN,الخاص/ADJ,الفلسطيني/ADJ
الأجهزة/NOUN,الأمنية/ADJ,الإسرائيلية/ADJ
تهديد/NOUN,إسرائيلي/ADJ,سابق/ADJ
مصدر/NOUN,عسكري/ADJ,إسرائيلي/ADJ
شأن/NOUN,فلسطيني/ADJ,داخلي/ADJ
تكتلاً/NOUN,استيطانيا/ADJ,ضخماً/ADJ
الرد/NOUN,الإسرائيلي/ADJ,الفوري/ADJ
الوزير/NOUN,الفلسطيني/ADJ,السابق/ADJ
الوزير/NOUN,الإسرائيلي/ADJ,السابق/ADJ
مادة/NOUN,استراتيجية/ADJ,حيوية/ADJ
مؤتمر/NOUN,دولي/ADJ,إقليمي/ADJ
الرئيس/NOUN,العراقي/ADJ,المخلوع/ADJ
الرئيس/NOUN,العراقي/ADJ,السابق/ADJ
محكمة/NOUN,جنائية/ADJ,خاصة/ADJ
