սոցիալական/ADJ,որոշակի/ADJ,անարդարության/NOUN
համահարթ/ADJ,եկամտային/ADJ,հարկ/NOUN
հանրային/ADJ,մեծ/ADJ,ուշադրության/NOUN
ընդհանուր/ADJ,հարկային/ADJ,օրենսգրքի/NOUN
կարճ/ADJ,պինդ/ADJ,մատներով/NOUN
շարային/ADJ,հատուկ/ADJ,առաջադրանքների/NOUN
ընդհանուր/ADJ,անձնային/ADJ,հատկանիշներ/NOUN
անկենդան/ADJ,օտար/ADJ,կոկոնների/NOUN
ժամանակակից/ADJ,ինդուստրիալ/ADJ,հանրությունը/NOUN
փակ/ADJ,բաժնետիրական/ADJ,ընկերության/NOUN
փակ/ADJ,բաժնետիրական/ADJ,ընկերությունը/NOUN
պետական/ADJ,սիմֆոնիկ/ADJ,նվագախմբի/NOUN
Հայ/ADJ,կոմպոզիտորական/ADJ,արվեստի/NOUN
Հայ/ADJ,կոմպոզիտորական/ADJ,արվեստի/NOUN
նախորդ/ADJ,սիմֆոնիկ/ADJ,համերգը/NOUN
Հայ/ADJ,կոմպոզիտորական/ADJ,արվեստի/NOUN
պետական/ADJ,սիմֆոնիկ/ADJ,նվագախումբը/NOUN
պետական/ADJ,սիմֆոնիկ/ADJ,նվագախմբին/NOUN
պետական/ADJ,սիմֆոնիկ/ADJ,նվագախումբն/NOUN
հայ/ADJ,կոմպոզիտորական/ADJ,դպրոցում/NOUN
պետական/ADJ,սիմֆոնիկ/ADJ,նվագախումբը/NOUN
Հայ/ADJ,կոմպոզիտորական/ADJ,արվեստի/NOUN
ներքին/ADJ,արժութային/ADJ,շուկայի/NOUN
ներքաղաքական/ADJ,վերջին/ADJ,իրադարձությունների/NOUN
նոր/ADJ,ներդրումային/ADJ,ծրագրեր/NOUN
արտաքին/ADJ,ֆինանսական/ADJ,փոխանցումները/NOUN
տարադրամային/ADJ,հավելյալ/ADJ,կորուստները/NOUN
արտաքին/ADJ,ֆինանսական/ADJ,պարտավորությունների/NOUN
զանազան/ADJ,էքստրեմալ/ADJ,խաղերի/NOUN
ամենախոշոր/ADJ,բարձրակատար/ADJ,կոկորդիլոսին/NOUN
նախկին/ADJ,գլխավոր/ADJ,մարզիչ/NOUN
աննախադեպ/ADJ,լայնամասշտաբ/ADJ,կուտակումերն/NOUN
նոր/ADJ,ռազմական/ADJ,գործողություններ/NOUN
վերոհիշյալ/ADJ,ագրեսիվ/ADJ,սպառնալիքները/NOUN
միջազգային/ADJ,աղմկոտ/ADJ,անտարբերությունը/NOUN
հարավկովկասյան/ADJ,բարդ/ADJ,տարածաշրջանում/NOUN
հոբելյանական/ADJ,միջազգային/ADJ,կինոփառատոնն/NOUN
Սրբազան/ADJ,օղակաձև/ADJ,ճանապարհը/NOUN
պաշտոնազուրկ/ADJ,նախկին/ADJ,իշխանավորներ/NOUN
հայկական/ADJ,քաղաքական/ADJ,համակարգի/NOUN
ազատական/ADJ,ժողովրդավար/ADJ,գաղափարները/NOUN
յուրահատուկ/ADJ,ծպտյալ/ADJ,եղանակով/NOUN
ամենավտանգավոր/ADJ,արտաքին/ADJ,ուժի/NOUN
նոր/ADJ,քաղաքական/ADJ,սերունդ/NOUN
նոր/ADJ,մասնագիտական/ADJ,սերունդ/NOUN
լուրջ/ADJ,գաղափարական/ADJ,բախումներ/NOUN
տասնօրյա/ADJ,բարեհաջող/ADJ,նավարկությունից/NOUN
զինվորական/ADJ,փայլուն/ADJ,կրթություն/NOUN
կարավանային/ADJ,բանուկ/ADJ,ճանապարհից/NOUN
պալատական/ADJ,խաղաղ/ADJ,կյանքին/NOUN
