ahalegin/NOUN,ekonomiko/ADJ,handia/ADJ
ustezko/ADJ,militante/NOUN,islamistak/ADJ
Nazioarteko/ADJ,Sari/NOUN,Nagusian/ADJ
jatorrizko/ADJ,espainiar/ADJ,herritartasuna/NOUN
talde/NOUN,Europar/ADJ,indartsuri/ADJ
datu/NOUN,ekonomiko/ADJ,esanguratsuenak/ADJ
halako/ADJ,goi/ADJ,bilerarik/NOUN
kode/NOUN,penal/ADJ,berria/ADJ
Kanpoko/ADJ,eragile/NOUN,geologikoak/ADJ
Lege/NOUN,berezi/ADJ,antiterrorista/ADJ
proiektu/NOUN,politiko/ADJ,ezberdinak/ADJ
garai/NOUN,politiko/ADJ,berri/ADJ
karga/NOUN,magnetiko/ADJ,handi/ADJ
Agintari/NOUN,militar/ADJ,israeldarrek/ADJ
buruzagi/NOUN,islamiko/ADJ,ohiak/ADJ
partikula/NOUN,txiki/ADJ,zatiezinez/ADJ
greziar/ADJ,nortasun/NOUN,nazionalari/ADJ
zulo/NOUN,txiki/ADJ,bakar/ADJ
ustezko/ADJ,zibilizazio-gatazka/NOUN,berri/ADJ
herrialde/NOUN,arabiar/ADJ,nagusienetakoa/ADJ
ibilbide/NOUN,motz/ADJ,ikusgarri/ADJ
tresna/NOUN,informatiko/ADJ,lagungarriak/ADJ
serbiar/ADJ,gudalburu/NOUN,ohi/ADJ
jokalari/NOUN,brasildar/ADJ,ezagunak/ADJ
Aro/NOUN,teknologiko/ADJ,berriari/ADJ
gobernu/NOUN,federal/ADJ,berriak/ADJ
halako/ADJ,irribarre/NOUN,maltzur/ADJ
bide/NOUN,politiko/ADJ,argiak/ADJ
thriller/NOUN,psikologiko/ADJ,fina/ADJ
pentsalari/NOUN,kontserbadore/ADJ,amerikar/ADJ
goi/ADJ,ofizial/NOUN,garrantzitsuena/ADJ
modu/NOUN,grafiko/ADJ,ohikoena/ADJ
zuzeneko/ADJ,polarizazio/NOUN,txiki/ADJ
Txerritxo/NOUN,hegalari/ADJ,berria/ADJ
babes/NOUN,popular/ADJ,handiena/ADJ
talde/NOUN,txiki/ADJ,tranpati/ADJ
funtsezko/ADJ,oinarri/NOUN,etiko/ADJ
Egungo/ADJ,arazo/NOUN,nagusia/ADJ
egungo/ADJ,egoera/NOUN,politikoa/ADJ
konparadore/NOUN,alderanztaile/ADJ,sinple/ADJ
halako/ADJ,kalkulu/NOUN,errazak/ADJ
inoizko/ADJ,futbolaririk/NOUN,onena/ADJ
Aldaketa/NOUN,fisiko/ADJ,garrantzitsu/ADJ
kolore/NOUN,etxetiar/ADJ,berezi/ADJ
jantzi/NOUN,tradizional/ADJ,koloretsuak/ADJ
lerro/NOUN,estrategiko/ADJ,nagusiei/ADJ
ohezerudun/ADJ,ohe/NOUN,handi/ADJ
aldaketa/NOUN,fisiko/ADJ,garrantzitsuenak/ADJ
alderdi/NOUN,erlijioso/ADJ,ultraortodoxora/ADJ
zinegotzi/NOUN,ohi/ADJ,sozialistak/ADJ
egungo/ADJ,marko/NOUN,juridikoari/ADJ
horrelako/ADJ,balantze/NOUN,larri/ADJ
ordena/NOUN,ekonomiko/ADJ,justuago/ADJ
linea/NOUN,melodiko/ADJ,ezberdinak/ADJ
Sistema/NOUN,politiko/ADJ,jakin/ADJ
ASPALDIKO/ADJ,partidurik/NOUN,onena/ADJ
Kanpoko/ADJ,eragile/NOUN,meteorologikoak/ADJ
deklarazio/NOUN,politiko/ADJ,huts/ADJ
nazioarteko/ADJ,batzorde/NOUN,independente/ADJ
ohiko/ADJ,taktika/NOUN,defentsiboa/ADJ
kutsu/NOUN,xenofobo/ADJ,nabarmena/ADJ
inoizko/ADJ,golegile/NOUN,onena/ADJ
horrelako/ADJ,lorpen/NOUN,handia/ADJ
babes/NOUN,sozial/ADJ,handia/ADJ
edukin/NOUN,politiko/ADJ,handia/ADJ
ordena/NOUN,politiko-ekonomiko/ADJ,justu/ADJ
alderdi/NOUN,unionista/ADJ,nagusia/ADJ
pertsona/NOUN,moderno/ADJ,kultu/ADJ
alderdi/NOUN,politiko/ADJ,abertzalea/ADJ
botere/NOUN,judizial/ADJ,berriak/ADJ
eguneroko/ADJ,mundu/NOUN,latz/ADJ
kolore/NOUN,berde/ADJ,desberdinak/ADJ
kolpe/NOUN,psikologiko/ADJ,handiagoa/ADJ
buruzagi/NOUN,nagusi/ADJ,ohiari/ADJ
ustezko/ADJ,ukitu/NOUN,logiko-zientifikoarekin/ADJ
mapa/NOUN,politiko/ADJ,berria/ADJ
Tesi/NOUN,whorfiano/ADJ,erradikal/ADJ
alderdi/NOUN,politiko/ADJ,berriarentzat/ADJ
hurrengo/ADJ,hauteskunde/NOUN,autonomikoetan/ADJ
Hurrengo/ADJ,minutu/NOUN,luzeetan/ADJ
multzo/NOUN,soropildu/ADJ,handiak/ADJ
desobedientzia/NOUN,zibil/ADJ,soberanistari/ADJ
edukin/NOUN,politiko/ADJ,handia/ADJ
nazioarteko/ADJ,politika/NOUN,ekonomikoak/ADJ
AGINTE/NOUN,militar/ADJ,britainiarra/ADJ
nazioarteko/ADJ,ordena/NOUN,ekonomiko/ADJ
helburu/NOUN,alderdikoi/ADJ,aitorrezinak/ADJ
udalerri/NOUN,independente/ADJ,berria/ADJ
Ile/NOUN,beltz/ADJ,ugaria/ADJ
herritar/NOUN,zibil/ADJ,arabiar/ADJ
