Рэальная/ADJ,заработная/ADJ,плата/NOUN
беларускіх/ADJ,афіцыйных/ADJ,асоб/NOUN
паралельны/ADJ,палітычны/ADJ,сігнал/NOUN
пажарныя/ADJ,аварыйна-выратавальныя/ADJ,атрады/NOUN
пажарныя/ADJ,аварыйна-выратавальныя/ADJ,атрады/NOUN
дзяржаўнага/ADJ,пажарнага/ADJ,нагляду/NOUN
дзяржаўны/ADJ,тэхнiчны/ADJ,нагляд/NOUN
рэальную/ADJ,палітычную/ADJ,волю/NOUN
Дзяржаўны/ADJ,тэхнiчны/ADJ,нагляд/NOUN
Дзяржаўны/ADJ,тэхнiчны/ADJ,нагляд/NOUN
дзяржаўнага/ADJ,тэхнiчнага/ADJ,нагляду/NOUN
Дзяржаўны/ADJ,пажарны/ADJ,нагляд/NOUN
Дзяржаўны/ADJ,пажарны/ADJ,нагляд/NOUN
дзяржаўнага/ADJ,пажарнага/ADJ,нагляду/NOUN
дзяржаўны/ADJ,пажарны/ADJ,нагляд/NOUN
дзяржаўны/ADJ,тэхнiчны/ADJ,нагляд/NOUN
нарматыўныя/ADJ,прававыя/ADJ,акты/NOUN
дзяржаўнага/ADJ,пажарнага/ADJ,нагляду/NOUN
дзяржаўны/ADJ,пажарны/ADJ,нагляд/NOUN
дзяржаўны/ADJ,тэхнiчны/ADJ,нагляд/NOUN
дзяржаўнага/ADJ,пажарнага/ADJ,нагляду/NOUN
пажарных/ADJ,аварыйна-выратавальных/ADJ,атрадаў/NOUN
пажарных/ADJ,аварыйна-выратавальных/ADJ,атрадаў/NOUN
Ніжагародскай/ADJ,інжынірынгавай/ADJ,кампаніі/NOUN
адпаведных/ADJ,мясцовых/ADJ,бюджэтаў/NOUN
iншыя/ADJ,неадкладныя/ADJ,меры/NOUN
Абавязковае/ADJ,дзяржаўнае/ADJ,страхаванне/NOUN
абавязковаму/ADJ,дзяржаўнаму/ADJ,страхаванню/NOUN
спецыялізаванага/ADJ,банкаўскага/ADJ,абсталявання/NOUN
сухія/ADJ,малочныя/ADJ,сумесі/NOUN
беларускае/ADJ,дзіцячае/ADJ,харчаванне/NOUN
традыцыйныя/ADJ,сезонныя/ADJ,рэйсы/NOUN
самым/ADJ,далёкім/ADJ,пунктам/NOUN
асабiстых/ADJ,падсобных/ADJ,гаспадарках/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстых/ADJ,падсобных/ADJ,гаспадарках/NOUN
асабiстых/ADJ,падсобных/ADJ,гаспадарак/NOUN
Асабiстая/ADJ,падсобная/ADJ,гаспадарка/NOUN
Асабiстая/ADJ,падсобная/ADJ,гаспадарка/NOUN
пажыццёвым/ADJ,спадчынным/ADJ,валоданнi/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадарцы/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадарцы/NOUN
асабiстых/ADJ,падсобных/ADJ,гаспадарак/NOUN
асабiстых/ADJ,падсобных/ADJ,гаспадарках/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстых/ADJ,падсобных/ADJ,гаспадарак/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстую/ADJ,падсобную/ADJ,гаспадарку/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
пажыццёвае/ADJ,спадчыннае/ADJ,валоданне/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
асабiстай/ADJ,падсобнай/ADJ,гаспадаркi/NOUN
Самы/ADJ,цёплы/ADJ,красавіка/NOUN
вядомы/ADJ,музычны/ADJ,прадзюсер/NOUN
несумленны/ADJ,судовы/ADJ,разглядзе/NOUN
іншымі/ADJ,міжнароднымі/ADJ,арганізацыямі/NOUN
Віцебскім/ADJ,абласным/ADJ,упраўленні/NOUN
новай/ADJ,фінансавай/ADJ,піраміды/NOUN
незаконных/ADJ,фінансавых/ADJ,аперацый/NOUN
ўнутраным/ADJ,валютным/ADJ,рынку/NOUN
рэальных/ADJ,працэнтных/ADJ,ставак/NOUN
