последни/ADJ,социологически/ADJ,проучвания/NOUN
ново/ADJ,федерално/ADJ,правителство/NOUN
Бивш/ADJ,германски/ADJ,канцлер/NOUN
различни/ADJ,финансови/ADJ,институции/NOUN
Варненският/ADJ,транспортен/ADJ,полк/NOUN
днешния/ADJ,религиозен/ADJ,плурализъм/NOUN
далечната/ADJ,1965/ADJ,г./NOUN
завидно/ADJ,жизнено/ADJ,равнище/NOUN
конкретни/ADJ,вътрешнополитически/ADJ,цели/NOUN
Втората/ADJ,българска/ADJ,легия/NOUN
национален/ADJ,строителен/ADJ,контрол/NOUN
последната/ADJ,Национална/ADJ,конференция/NOUN
румънският/ADJ,първи/ADJ,дипломат/NOUN
съществена/ADJ,финансова/ADJ,помощ/NOUN
Столичният/ADJ,общински/ADJ,съвет/NOUN
южния/ADJ,британски/ADJ,бряг/NOUN
опозиционния/ADJ,десен/ADJ,блок/NOUN
международната/ADJ,полицейска/ADJ,организация/NOUN
преобладаващо/ADJ,албанско/ADJ,население/NOUN
Глобалната/ADJ,стратегическа/ADJ,среда/NOUN
променената/ADJ,стратегическа/ADJ,обстановка/NOUN
европейските/ADJ,въоръжени/ADJ,сили/NOUN
великолепна/ADJ,черна/ADJ,ваза/NOUN
приетия/ADJ,погасителен/ADJ,план/NOUN
други/ADJ,парламентарни/ADJ,групи/NOUN
другите/ADJ,международни/ADJ,организации/NOUN
кадрова/ADJ,военна/ADJ,служба/NOUN
зелените/ADJ,иронични/ADJ,очи/NOUN
автономни/ADJ,териториални/ADJ,образувания/NOUN
основно/ADJ,национално/ADJ,богатство/NOUN
Великото/ADJ,Народно/ADJ,събрание/NOUN
Великото/ADJ,Народно/ADJ,събрание/NOUN
общата/ADJ,европейска/ADJ,валута/NOUN
Втората/ADJ,световна/ADJ,война/NOUN
голямо/ADJ,фарисейско/ADJ,бръщолевене/NOUN
лошо/ADJ,психично/ADJ,здраве/NOUN
добри/ADJ,ролеви/ADJ,модели/NOUN
руските/ADJ,военни/ADJ,летци/NOUN
американски/ADJ,бойни/ADJ,кораби/NOUN
Втория/ADJ,национален/ADJ,конкурс/NOUN
популярната/ADJ,руска/ADJ,писателка/NOUN
Алжирската/ADJ,футболна/ADJ,федерация/NOUN
британският/ADJ,компютърен/ADJ,специалист/NOUN
