música/NOUN,popular/ADJ,catalana/ADJ
poetes/NOUN,catalans/ADJ,contemporanis/ADJ
darreres/ADJ,composicions/NOUN,orquestrals/ADJ
primer/ADJ,ministre/NOUN,israelià/ADJ
retirada/NOUN,militar/ADJ,jueva/ADJ
viatges/NOUN,marítims/ADJ,diaris/ADJ
forces/NOUN,regulars/ADJ,libaneses/ADJ
antiga/ADJ,companya/NOUN,sentimental/ADJ
darrer/ADJ,episodi/NOUN,violent/ADJ
forta/ADJ,resistència/NOUN,física/ADJ
jocs/NOUN,didàctics/ADJ,gegants/ADJ
intensos/ADJ,xocs/NOUN,armats/ADJ
primer/ADJ,ministre/NOUN,israelià/ADJ
operació/NOUN,militar/ADJ,israeliana/ADJ
única/ADJ,formació/NOUN,política/ADJ
procés/NOUN,legislatiu/ADJ,novedós/ADJ
ple/ADJ,cor/NOUN,metropolità/ADJ
importants/ADJ,interessos/NOUN,econòmics/ADJ
grau/NOUN,mínim/ADJ,possible/ADJ
major/ADJ,sensibilitat/NOUN,ambiental/ADJ
vertader/ADJ,corredor/NOUN,biològic/ADJ
nou/ADJ,finançament/NOUN,autonòmic/ADJ
atenció/NOUN,psicològica/ADJ,periòdica/ADJ
projecte/NOUN,audiovisual/ADJ,català/ADJ
convergència/NOUN,audiovisual/ADJ,transfronterera/ADJ
comunitats/NOUN,autònomes/ADJ,espanyoles/ADJ
simple/ADJ,fórmula/NOUN,legal/ADJ
moneda/NOUN,única/ADJ,europea/ADJ
correu/NOUN,electrònic/ADJ,genèric/ADJ
situació/NOUN,estructural/ADJ,actual/ADJ
fonts/NOUN,oficials/ADJ,espanyoles/ADJ
detallats/ADJ,primers/ADJ,plans/NOUN
producció/NOUN,turística/ADJ,transfronterera/ADJ
cost/NOUN,total/ADJ,estimat/ADJ
segon/ADJ,projecte/NOUN,proposat/ADJ
administracions/NOUN,locals/ADJ,respectives/ADJ
canal/NOUN,temàtic/ADJ,interactiu/ADJ
serveis/NOUN,tècnics/ADJ,municipals/ADJ
valor/NOUN,administratiu/ADJ,diferent/ADJ
petites/ADJ,pressions/NOUN,polítiques/ADJ
centres/NOUN,benèfics/ADJ,medievals/ADJ
grans/ADJ,obres/NOUN,recents/ADJ
principals/ADJ,zones/NOUN,humides/ADJ
zones/NOUN,humides/ADJ,espanyoles/ADJ
grans/ADJ,aus/NOUN,rapinyaires/ADJ
únic/ADJ,ús/NOUN,actual/ADJ
danys/NOUN,morals/ADJ,causats/ADJ
possibles/ADJ,actuacions/NOUN,irregulars/ADJ
centre/NOUN,sanitari/ADJ,saragossà/ADJ
alegres/ADJ,sit-coms/NOUN,americanes/ADJ
nou/ADJ,eix/NOUN,longitudinal/ADJ
grup/NOUN,farmacèutic/ADJ,francoalemany/ADJ
noves/ADJ,iniciatives/NOUN,empresarials/ADJ
nombroses/ADJ,societats/NOUN,instrumentals/ADJ
conflicte/NOUN,armat/ADJ,obert/ADJ
nova/ADJ,secretària/NOUN,general/ADJ
policia/NOUN,autonòmica/ADJ,basca/ADJ
procediments/NOUN,democràtics/ADJ,generals/ADJ
primeres/ADJ,declaracions/NOUN,entusiàstiques/ADJ
nou/ADJ,curs/NOUN,polític/ADJ
força/NOUN,política/ADJ,representativa/ADJ
únic/ADJ,representant/NOUN,escollit/ADJ
fenomen/NOUN,terrorista/ADJ,etarra/ADJ
accions/NOUN,administratives/ADJ,oportunes/ADJ
