dílčí/ADJ,realizované/ADJ,výsledky/NOUN
dlouhodobých/ADJ,výzkumných/ADJ,úkolů/NOUN
letošního/ADJ,mimořádného/ADJ,roku/NOUN
letošní/ADJ,rostlinná/ADJ,produkce/NOUN
kolektivní/ADJ,socialistický/ADJ,závazek/NOUN
zlepšeného/ADJ,drapového/ADJ,sklízeče/NOUN
upřesněného/ADJ,akčního/ADJ,programu/NOUN
Plánované/ADJ,realizační/ADJ,výstupy/NOUN
kvalifikované/ADJ,vědeckovýzkumné/ADJ,podklady/NOUN
opravená/ADJ,výrobní/ADJ,dokumentace/NOUN
odtěženého/ADJ,rašelinového/ADJ,ložiska/NOUN
společné/ADJ,syntetické/ADJ,zprávy/NOUN
lesnické/ADJ,rašelinné/ADJ,substráty/NOUN
širší/ADJ,krajinné/ADJ,zájmy/NOUN
vzorového/ADJ,výzkumného/ADJ,objektu/NOUN
Výzkumný/ADJ,ústav/NOUN,textilní/ADJ
starých/ADJ,odvodňovacích/ADJ,systémů/NOUN
zainteresovaných/ADJ,zemědělských/ADJ,organizací/NOUN
vybranými/ADJ,zemědělskými/ADJ,podniky/NOUN
jednotlivých/ADJ,výzkumných/ADJ,úkolů/NOUN
drobných/ADJ,vodních/ADJ,toků/NOUN
Kolektivní/ADJ,socialistický/ADJ,závazek/NOUN
nová/ADJ,vnitřní/ADJ,organizace/NOUN
rozhodujícími/ADJ,státními/ADJ,orgány/NOUN
dobrovolných/ADJ,společenských/ADJ,organizací/NOUN
široká/ADJ,demokratická/ADJ,práva/NOUN
Ústřední/ADJ,sklizňová/ADJ,komise/NOUN
vysoká/ADJ,státní/ADJ,vyznamenání/NOUN
Slovenského/ADJ,národního/ADJ,povstání/NOUN
drahé/ADJ,socialistické/ADJ,vlasti/NOUN
Maďarské/ADJ,lidové/ADJ,republiky/NOUN
Polské/ADJ,lidové/ADJ,republiky/NOUN
další/ADJ,zahraniční/ADJ,hosté/NOUN
celodenní/ADJ,bramborovou/ADJ,brigádu/NOUN
nepříznivých/ADJ,půdních/ADJ,vlastností/NOUN
jiné/ADJ,naléhavé/ADJ,práce/NOUN
Nejvhodnější/ADJ,meliorační/ADJ,úpravy/NOUN
nový/ADJ,keřkovský/ADJ,kříženec/NOUN
vybraných/ADJ,železničních/ADJ,stanicích/NOUN
připravovaným/ADJ,právním/ADJ,normám/NOUN
obrazný/ADJ,slovní/ADJ,obrat/NOUN
trvalých/ADJ,travních/ADJ,porostů/NOUN
komplexní/ADJ,uzlové/ADJ,brigády/NOUN
putovní/ADJ,okřídlená/ADJ,kola/NOUN
říjnové/ADJ,socialistické/ADJ,revoluce/NOUN
významným/ADJ,politickým/ADJ,krokem/NOUN
jednotné/ADJ,mládežnické/ADJ,organizace/NOUN
všestrannou/ADJ,zájmovou/ADJ,činnost/NOUN
další/ADJ,aktivní/ADJ,členy/NOUN
ostatní/ADJ,mladé/ADJ,lidi/NOUN
osvědčené/ADJ,budovatelské/ADJ,tradice/NOUN
ostatních/ADJ,mladých/ADJ,lidí/NOUN
první/ADJ,socialistické/ADJ,zemi/NOUN
mezinárodnímu/ADJ,dělnickému/ADJ,hnutí/NOUN
Komplexní/ADJ,protierozní/ADJ,ochranu/NOUN
ústřední/ADJ,revizní/ADJ,komise/NOUN
základním/ADJ,neměnným/ADJ,výrazem/NOUN
místních/ADJ,ekologických/ADJ,podmínek/NOUN
uvažované/ADJ,meliorační/ADJ,práce/NOUN
bodrého/ADJ,zapomenutého/ADJ,čerta/NOUN
Zdařilou/ADJ,komediální/ADJ,mikrostudii/NOUN
stostránková/ADJ,půvabná/ADJ,knížečka/NOUN
trvalý/ADJ,životní/ADJ,elán/NOUN
významných/ADJ,aktuálních/ADJ,problémů/NOUN
komplexních/ADJ,racionalizačních/ADJ,brigádách/NOUN
ostatních/ADJ,pracovních/ADJ,kolektivech/NOUN
partnerskými/ADJ,výzkumnými/ADJ,ústavy/NOUN
ostatních/ADJ,socialistických/ADJ,zemích/NOUN
vysokou/ADJ,kalorickou/ADJ,hodnotu/NOUN
Rozumná/ADJ,duševní/ADJ,hygiena/NOUN
vysoký/ADJ,krevní/ADJ,tlak/NOUN
spokojené/ADJ,domácí/ADJ,prostředí/NOUN
vhodné/ADJ,zahraniční/ADJ,poznatky/NOUN
různé/ADJ,vodoléčebné/ADJ,procedury/NOUN
dobrý/ADJ,zdravotní/ADJ,stav/NOUN
důkladnou/ADJ,celkovou/ADJ,prohlídku/NOUN
celkovém/ADJ,zdravotním/ADJ,stavu/NOUN
kolektivním/ADJ,socialistickým/ADJ,závazkem/NOUN
dobrým/ADJ,toaletním/ADJ,mýdlem/NOUN
složitou/ADJ,kosmetickou/ADJ,péči/NOUN
dobré/ADJ,toaletní/ADJ,mýdlo/NOUN
jemným/ADJ,bavlněným/ADJ,ručníkem/NOUN
polomastné/ADJ,hydratační/ADJ,krémy/NOUN
jemnou/ADJ,poklepovou/ADJ,masáž/NOUN
jednotlivých/ADJ,pracovních/ADJ,úseků/NOUN
drobnými/ADJ,mazovými/ADJ,cystami/NOUN
suchý/ADJ,denní/ADJ,krém/NOUN
celkové/ADJ,zdravotní/ADJ,rovnováze/NOUN
Kolektivní/ADJ,socialistický/ADJ,závazek/NOUN
labilní/ADJ,nervové/ADJ,soustavě/NOUN
dobrou/ADJ,tělesnou/ADJ,výkonnost/NOUN
celkovém/ADJ,zdravotním/ADJ,stavu/NOUN
ubývajícího/ADJ,podkožního/ADJ,tuku/NOUN
kolektivní/ADJ,socialistický/ADJ,závazek/NOUN
mnohočetné/ADJ,drobné/ADJ,útvary/NOUN
drsným/ADJ,suchým/ADJ,povrchem/NOUN
závažných/ADJ,onemocnění/NOUN,celkových/ADJ
zemědělského/ADJ,půdního/ADJ,fondu/NOUN
nepříznivých/ADJ,povětrnostních/ADJ,vlivů/NOUN
zemědělského/ADJ,půdního/ADJ,fondu/NOUN
silné/ADJ,rohovinné/ADJ,lamely/NOUN
snížené/ADJ,produkční/ADJ,schopnosti/NOUN
zemědělského/ADJ,půdního/ADJ,fondu/NOUN
jisté/ADJ,zdravotní/ADJ,riziko/NOUN
nenahraditelným/ADJ,výrobním/ADJ,prostředkem/NOUN
největším/ADJ,přírodním/ADJ,bohatstvím/NOUN
partnerskými/ADJ,vědeckovýzkumnými/ADJ,organizacemi/NOUN
místních/ADJ,ekologických/ADJ,poměrů/NOUN
Státní/ADJ,meliorační/ADJ,správou/NOUN
kolektivního/ADJ,socialistického/ADJ,závazku/NOUN
maximálního/ADJ,společenského/ADJ,prospěchu/NOUN
upřesněného/ADJ,realizačního/ADJ,programu/NOUN
velký/ADJ,celospolečenský/ADJ,význam/NOUN
Upřesněný/ADJ,realizační/ADJ,program/NOUN
jemných/ADJ,pracích/ADJ,prostředcích/NOUN
Polystyrenové/ADJ,módní/ADJ,knoflíky/NOUN
stálý/ADJ,lékařský/ADJ,dozor/NOUN
vleklých/ADJ,chronických/ADJ,nemocech/NOUN
přeslazené/ADJ,tukové/ADJ,krémy/NOUN
tučná/ADJ,sladká/ADJ,těsta/NOUN
čerstvé/ADJ,nepřepálené/ADJ,máslo/NOUN
Hladké/ADJ,kožené/ADJ,dílce/NOUN
příslušnými/ADJ,technickými/ADJ,normami/NOUN
veřejným/ADJ,dopravním/ADJ,prostředkem/NOUN
potvrzeného/ADJ,přepravního/ADJ,dokladu/NOUN
předními/ADJ,československými/ADJ,podniky/NOUN
přesné/ADJ,bibliografické/ADJ,údaje/NOUN
poštovního/ADJ,směrovacího/ADJ,čísla/NOUN
zajímavou/ADJ,učební/ADJ,pomůckou/NOUN
různých/ADJ,základních/ADJ,velikostech/NOUN
běžné/ADJ,prací/ADJ,prostředky/NOUN
možnými/ADJ,počátečními/ADJ,neúspěchy/NOUN
měkkou/ADJ,suchou/ADJ,prachovkou/NOUN
řídícího/ADJ,dispečerského/ADJ,centra/NOUN
Sdruženém/ADJ,socialistickém/ADJ,závazku/NOUN
vedoucích/ADJ,hospodářských/ADJ,pracovníků/NOUN
Moravské/ADJ,naftové/ADJ,doly/NOUN
Dosažené/ADJ,hospodářské/ADJ,výsledky/NOUN
dalšími/ADJ,progresívními/ADJ,návrhy/NOUN
lékařské/ADJ,posudkové/ADJ,komise/NOUN
dlouhodobé/ADJ,pracovní/ADJ,neschopnosti/NOUN
běžnými/ADJ,pracími/ADJ,prostředky/NOUN
hospodářských/ADJ,vedoucích/ADJ,pracovníků/NOUN
základní/ADJ,zdravotnická/ADJ,témata/NOUN
trestním/ADJ,řízení/NOUN,soudním/ADJ
ochranné/ADJ,léčení/NOUN,protialkoholní/ADJ
průměrného/ADJ,měsíčního/ADJ,výdělku/NOUN
Průměrný/ADJ,měsíční/ADJ,výdělek/NOUN
průměrného/ADJ,měsíčního/ADJ,výdělku/NOUN
průměrného/ADJ,měsíčního/ADJ,výdělku/NOUN
průměrného/ADJ,měsíčního/ADJ,výdělku/NOUN
temné/ADJ,pražské/ADJ,ulice/NOUN
dosavadní/ADJ,záslužnou/ADJ,činnost/NOUN
současnému/ADJ,technickému/ADJ,stavu/NOUN
rozvodné/ADJ,plynovodní/ADJ,sítě/NOUN
očekávaného/ADJ,živého/ADJ,souhlasu/NOUN
šestou/ADJ,hodinou/NOUN,večerní/ADJ
Pololetní/ADJ,veřejná/ADJ,kontrola/NOUN
věcné/ADJ,polemické/ADJ,diskuse/NOUN
autentického/ADJ,vědeckého/ADJ,sporu/NOUN
určitých/ADJ,společenských/ADJ,tříd/NOUN
jiných/ADJ,společenskovědních/ADJ,disciplín/NOUN
obecného/ADJ,teoretického/ADJ,schématu/NOUN
různých/ADJ,pozitivistických/ADJ,směrů/NOUN
základní/ADJ,pojmový/ADJ,aparát/NOUN
základní/ADJ,světonázorovou/ADJ,orientaci/NOUN
obecnými/ADJ,teoretickými/ADJ,závěry/NOUN
optimální/ADJ,čisticí/ADJ,prostředky/NOUN
reakčním/ADJ,třídním/ADJ,zájmům/NOUN
určité/ADJ,teoretické/ADJ,koncepce/NOUN
určitých/ADJ,prvotních/ADJ,předpokladů/NOUN
axiomatických/ADJ,světonázorových/ADJ,představ/NOUN
sociologický/ADJ,empirický/ADJ,výzkum/NOUN
sledovaných/ADJ,empirických/ADJ,skutečností/NOUN
profilující/ADJ,sociologickou/ADJ,produkci/NOUN
Svitákovo/ADJ,filozofické/ADJ,krédo/NOUN
ideologický/ADJ,subjektivistický/ADJ,ráz/NOUN
nejvýznamnější/ADJ,empirické/ADJ,práci/NOUN
Stoufferově/ADJ,několikasvazkové/ADJ,publikaci/NOUN
miniaturních/ADJ,společenských/ADJ,průsečících/NOUN
větších/ADJ,průmyslových/ADJ,závodech/NOUN
Velké/ADJ,průmyslové/ADJ,podniky/NOUN
denního/ADJ,režimu/NOUN,pracujících/ADJ
celých/ADJ,sociálních/ADJ,skupin/NOUN
Bulharské/ADJ,lidové/ADJ,republice/NOUN
celém/ADJ,socialistickém/ADJ,světě/NOUN
nové/ADJ,vědecké/ADJ,síly/NOUN
nových/ADJ,technologických/ADJ,opatření/NOUN
jednotlivých/ADJ,pracovních/ADJ,úseků/NOUN
vhodný/ADJ,prací/ADJ,prostředek/NOUN
daným/ADJ,sociálním/ADJ,jevům/NOUN
oborové/ADJ,sociologické/ADJ,teorie/NOUN
nové/ADJ,teoretické/ADJ,koncepce/NOUN
nové/ADJ,teoretické/ADJ,schéma/NOUN
nových/ADJ,teoretických/ADJ,přístupů/NOUN
specifické/ADJ,sociální/ADJ,procesy/NOUN
humanistické/ADJ,společenské/ADJ,jevy/NOUN
klasická/ADJ,akademická/ADJ,teorie/NOUN
reálným/ADJ,historickým/ADJ,vývojem/NOUN
neutrální/ADJ,saponátový/ADJ,prostředek/NOUN
čisté/ADJ,vlažné/ADJ,vodě/NOUN
saponátových/ADJ,pracích/ADJ,prostředcích/NOUN
nové/ADJ,netradiční/ADJ,materiály/NOUN
laminované/ADJ,textilie/NOUN,počesané/ADJ
velkou/ADJ,izolační/ADJ,schopnost/NOUN
jemných/ADJ,pracích/ADJ,prostředcích/NOUN
vlažnou/ADJ,mýdlovou/ADJ,vodou/NOUN
jiný/ADJ,saponátový/ADJ,prostředek/NOUN
složitější/ADJ,prvky/NOUN,konstrukční/ADJ
celého/ADJ,pětiletého/ADJ,plánu/NOUN
mezinárodní/ADJ,hospodářská/ADJ,spolupráce/NOUN
socialistická/ADJ,ekonomická/ADJ,integrace/NOUN
bohatších/ADJ,materiálních/ADJ,podmínek/NOUN
vyššími/ADJ,užitnými/ADJ,vlastnostmi/NOUN
vysokou/ADJ,estetickou/ADJ,úroveň/NOUN
nové/ADJ,pracovní/ADJ,postupy/NOUN
malým/ADJ,lázeňským/ADJ,parkem/NOUN
pěkným/ADJ,údolním/ADJ,prostředím/NOUN
bývalých/ADJ,lázeňských/ADJ,budov/NOUN
tepaný/ADJ,kovový/ADJ,balkón/NOUN
osudné/ADJ,Havlíčkovy/ADJ,noci/NOUN
standartních/ADJ,propagačních/ADJ,materiálů/NOUN
státní/ADJ,poznávací/ADJ,značky/NOUN
levého/ADJ,předjíždějícího/ADJ,proudu/NOUN
státní/ADJ,poznávací/ADJ,značky/NOUN
nových/ADJ,kolektivních/ADJ,smluv/NOUN
vybraných/ADJ,velkých/ADJ,závodů/NOUN
vlastní/ADJ,sobeckou/ADJ,polívčičku/NOUN
podnikové/ADJ,pracovní/ADJ,komise/NOUN
obležených/ADJ,opěrných/ADJ,bodů/NOUN
americkým/ADJ,vojenským/ADJ,místům/NOUN
obyčejného/ADJ,amerického/ADJ,vojáka/NOUN
obyčejného/ADJ,amerického/ADJ,vojáka/NOUN
zbankrotovaní/ADJ,emigrantští/ADJ,politikáři/NOUN
různým/ADJ,společenským/ADJ,zřízením/NOUN
nižší/ADJ,tvarové/ADJ,úrovni/NOUN
mezinárodní/ADJ,hospodářské/ADJ,spolupráce/NOUN
vlastních/ADJ,motoristických/ADJ,zkušeností/NOUN
pravidelné/ADJ,autobusové/ADJ,linky/NOUN
nových/ADJ,jazykových/ADJ,pomůcek/NOUN
popularizačních/ADJ,jazykovědných/ADJ,příspěvků/NOUN
každodenní/ADJ,zahrádkářské/ADJ,praxe/NOUN
pouhé/ADJ,agitační/ADJ,heslo/NOUN
četných/ADJ,specializovaných/ADJ,odborech/NOUN
čerstvou/ADJ,syrovou/ADJ,zeleninou/NOUN
neošetřených/ADJ,drobných/ADJ,poraněních/NOUN
Jediným/ADJ,ochranným/ADJ,prostředkem/NOUN
příslušným/ADJ,obvodním/ADJ,lékařem/NOUN
Světová/ADJ,zdravotnická/ADJ,organizace/NOUN
potřebným/ADJ,chemickým/ADJ,ošetřením/NOUN
nejnižší/ADJ,možnou/ADJ,míru/NOUN
vlastní/ADJ,výrobní/ADJ,náklady/NOUN
první/ADJ,světové/ADJ,válce/NOUN
improvizovaného/ADJ,protichemického/ADJ,obleku/NOUN
celé/ADJ,socialistické/ADJ,společnosti/NOUN
vysoké/ADJ,jehlancovité/ADJ,koruny/NOUN
krásných/ADJ,velkoplodých/ADJ,srdcovek/NOUN
pořádný/ADJ,dravčí/ADJ,zobec/NOUN
klíčícího/ADJ,cukrového/ADJ,hrášku/NOUN
Česká/ADJ,onomastická/ADJ,konference/NOUN
větší/ADJ,společenské/ADJ,užitkovosti/NOUN
jinými/ADJ,akademickými/ADJ,pracovišti/NOUN
Větší/ADJ,efektivnosti/NOUN,výzkumné/ADJ
případném/ADJ,delším/ADJ,období/NOUN
trošková/ADJ,povrchní/ADJ,zálivka/NOUN
dobrý/ADJ,zdravotní/ADJ,stav/NOUN
nového/ADJ,českého/ADJ,vydání/NOUN
vypikýrovaný/ADJ,mladé/ADJ,rostliny/NOUN
západoamerické/ADJ,horské/ADJ,rostliny/NOUN
hutnější/ADJ,zkrácené/ADJ,úpravě/NOUN
Normální/ADJ,recenzentská/ADJ,praxe/NOUN
podobného/ADJ,dokumentarizujícího/ADJ,žánru/NOUN
základní/ADJ,historické/ADJ,zvraty/NOUN
silnému/ADJ,výslednému/ADJ,zážitku/NOUN
dnešní/ADJ,technický/ADJ,pokrok/NOUN
samotné/ADJ,historické/ADJ,věrnosti/NOUN
slavném/ADJ,lidovém/ADJ,shromáždění/NOUN
české/ADJ,národní/ADJ,kultury/NOUN
dílčí/ADJ,státní/ADJ,úkoly/NOUN
celých/ADJ,únorových/ADJ,událostech/NOUN
zvoleného/ADJ,dokumentarizujícího/ADJ,žánru/NOUN
starší/ADJ,domácí/ADJ,jazykovědou/NOUN
ostatních/ADJ,historických/ADJ,osobností/NOUN
Někdejší/ADJ,dvoudílný/ADJ,film/NOUN
sovětské/ADJ,raketové/ADJ,techniky/NOUN
jistou/ADJ,ilustrativní/ADJ,metodu/NOUN
přistavěným/ADJ,vymyšleným/ADJ,rámcem/NOUN
sovětský/ADJ,Velký/ADJ,občan/NOUN
letošních/ADJ,únorových/ADJ,dnech/NOUN
důsledného/ADJ,dramatického/ADJ,vyprávění/NOUN
Gottwaldův/ADJ,únorový/ADJ,projev/NOUN
české/ADJ,národní/ADJ,kultury/NOUN
bratislavští/ADJ,televizní/ADJ,tvůrci/NOUN
celém/ADJ,novém/ADJ,tvaru/NOUN
značný/ADJ,teoretickometodologický/ADJ,dosah/NOUN
synchronní/ADJ,slovní/ADJ,zásoby/NOUN
