alle/ADJ,relevante/ADJ,oplysninger/NOUN
mange/ADJ,lange/ADJ,ture/NOUN
første/ADJ,rigtige/ADJ,teaterrolle/NOUN
tredje/ADJ,fremtrædende/ADJ,socialdemokrat/NOUN
større/ADJ,offentligt/ADJ,underskud/NOUN
første/ADJ,vigtige/ADJ,prøve/NOUN
lang/ADJ,række/NOUN,forskellige/ADJ
moderate/ADJ,økonomiske/ADJ,politik/NOUN
afgørende/ADJ,borgerlige/ADJ,midterpartier/NOUN
uskyldigt/ADJ,mælkeagtigt/ADJ,udseende/NOUN
attraktive/ADJ,danske/ADJ,spisesvampe/NOUN
første/ADJ,egentlige/ADJ,uddannelse/NOUN
rigtigt/ADJ,romantisk/ADJ,julebryllup/NOUN
egne/ADJ,globale/ADJ,opgaver/NOUN
øvrige/ADJ,festberuste/ADJ,Brøndby'ere/NOUN
lille/ADJ,jugoslavisk/ADJ,pige/NOUN
få/ADJ,stærke/ADJ,følelser/NOUN
største/ADJ,borgerlige/ADJ,parti/NOUN
historisk/ADJ,fælles/ADJ,gruppemøde/NOUN
jævnlige/ADJ,fælles/ADJ,gruppe-/NOUN
ung/ADJ,irsk/ADJ,skuespiller/NOUN
eget/ADJ,private/ADJ,eventyr/NOUN
britiske/ADJ,venstreorienterede/ADJ,tradition/NOUN
flydende/ADJ,ydre/ADJ,kerne/NOUN
mange/ADJ,gode/ADJ,mænd/NOUN
første/ADJ,arbejdsgiverbetalte/ADJ,ledighedsdage/NOUN
sidste/ADJ,års/NOUN,fejlslagne/ADJ
forskellige/ADJ,sjove/ADJ,opgaver/NOUN
ung/ADJ,sovjetisk/ADJ,soldat/NOUN
fleste/ADJ,højere/ADJ,uddannelser/NOUN
ny/ADJ,aggressiv/ADJ,linje/NOUN
sprængfarlige/ADJ,politiske/ADJ,områder/NOUN
alle/ADJ,normale/ADJ,spædbørn/NOUN
fremtidige/ADJ,økonomiske/ADJ,union/NOUN
mange/ADJ,tyrkiske/ADJ,hovedretter/NOUN
højlakerede/ADJ,røde/ADJ,negle/NOUN
flere/ADJ,konkrete/ADJ,forslag/NOUN
lille/ADJ,grimme/ADJ,fyr/NOUN
små/ADJ,korte/ADJ,ture/NOUN
kendte/ADJ,frække/ADJ,ikke-streg/NOUN
hæderlig/ADJ,parlamentarisk/ADJ,opførsel/NOUN
stærk/ADJ,engelsk/ADJ,tradition/NOUN
internationale/ADJ,økonomiske/ADJ,afmatning/NOUN
sandsynlige/ADJ,tredje/ADJ,mand/NOUN
komplicerede/ADJ,private/ADJ,spekulationer/NOUN
nye/ADJ,toneangivende/ADJ,stormagt/NOUN
hæderlig/ADJ,parlamentarisk/ADJ,opførsel/NOUN
superstramme/ADJ,lårkorte/ADJ,nederdele/NOUN
bitreste/ADJ,menneskelige/ADJ,lidelse/NOUN
almindelig/ADJ,menneskelig/ADJ,reaktion/NOUN
stort/ADJ,antal/NOUN,russiske/ADJ
irske/ADJ,republikanske/ADJ,Hær/NOUN
øvrige/ADJ,politiske/ADJ,partier/NOUN
alle/ADJ,tænkelige/ADJ,kræfter/NOUN
fint/ADJ,rødt/ADJ,støv/NOUN
øvrige/ADJ,politiske/ADJ,bevægelser/NOUN
protestantiske/ADJ,para-militære/ADJ,organisationer/NOUN
forskellige/ADJ,små/ADJ,forretter/NOUN
bredt/ADJ,politisk/ADJ,samarbejde/NOUN
største/ADJ,borgerlige/ADJ,parti/NOUN
objektivt/ADJ,videnskabeligt/ADJ,fænomen/NOUN
solbrunt/ADJ,behåret/ADJ,bryst/NOUN
legendariske/ADJ,røde/ADJ,kinder/NOUN
mange/ADJ,positive/ADJ,reaktioner/NOUN
illegal/ADJ,italiensk/ADJ,immigrant/NOUN
første/ADJ,markante/ADJ,aktion/NOUN
lyssky/ADJ,fremmede/ADJ,elementer/NOUN
tidligere/ADJ,irakisk/ADJ,regeringsminister/NOUN
nyere/ADJ,danske/ADJ,mærker/NOUN
stort/ADJ,sekscifret/ADJ,beløb/NOUN
store/ADJ,tyske/ADJ,partier/NOUN
lang/ADJ,række/NOUN,nye/ADJ
lumsk/ADJ,sundhedsskadelig/ADJ,virkning/NOUN
mange/ADJ,op-pløjede/ADJ,brandbælter/NOUN
yndigt/ADJ,lille/ADJ,gods/NOUN
fremherskende/ADJ,forskningspolitiske/ADJ,holdninger/NOUN
smørbagte/ADJ,nye/ADJ,kartofler/NOUN
demokratiske/ADJ,russiske/ADJ,regering/NOUN
koldt/ADJ,saltholdigt/ADJ,vand/NOUN
finere/ADJ,politiske/ADJ,ciseleringer/NOUN
hold/NOUN,tilrejsende/ADJ,danske/ADJ
eneste/ADJ,gennemgående/ADJ,figur/NOUN
hel/ADJ,række/NOUN,forskellige/ADJ
spinkel/ADJ,lille/ADJ,skabning/NOUN
japanske/ADJ,økonomiske/ADJ,mirakel/NOUN
store/ADJ,internationale/ADJ,investeringer/NOUN
nylige/ADJ,danske/ADJ,afgiftsnedsættelser/NOUN
Dansk/ADJ,Fri/ADJ,Ferie/NOUN
store/ADJ,muslimske/ADJ,befolkning/NOUN
store/ADJ,internationale/ADJ,opmærksomhed/NOUN
megen/ADJ,teoretiske/ADJ,indlæring/NOUN
første/ADJ,alvorlige/ADJ,angreb/NOUN
stille/ADJ,køkken-ukultiverede/ADJ,sind/NOUN
kraftig/ADJ,sort/ADJ,røg/NOUN
lille/ADJ,fornærmet/ADJ,barn/NOUN
ny/ADJ,dansk/ADJ,aftale/NOUN
seneste/ADJ,halve/ADJ,års/NOUN
Ovennævnte/ADJ,lange/ADJ,liste/NOUN
indre/ADJ,danske/ADJ,farvande/NOUN
mange/ADJ,forskellige/ADJ,stoffer/NOUN
