northern/ADJ,Israeli/ADJ,city/NOUN
new/ADJ,political/ADJ,voice/NOUN
Palestinian/ADJ,militant/ADJ,organisation/NOUN
own/ADJ,political/ADJ,agenda/NOUN
many/ADJ,different/ADJ,ways/NOUN
new/ADJ,best/ADJ,friend/NOUN
first/ADJ,Smart/ADJ,Phone/NOUN
first/ADJ,Smart/ADJ,Phone/NOUN
other/ADJ,nearby/ADJ,cities/NOUN
tiny/ADJ,little/ADJ,kitten/NOUN
bright/ADJ,blue/ADJ,eyes/NOUN
yound/ADJ,newlywed/ADJ,bride/NOUN
small/ADJ,indoor/ADJ,pet/NOUN
best/ADJ,square/ADJ,slice/NOUN
homestyle/ADJ,Japanese/ADJ,food/NOUN
average/ADJ,crappy/ADJ,chain/NOUN
best/ADJ,Mediterranean/ADJ,Restaurant/NOUN
Best/ADJ,yellow/ADJ,curry/NOUN
Nice/ADJ,warm/ADJ,water/NOUN
many/ADJ,spontaneous/ADJ,images/NOUN
chronic/ADJ,intractable/ADJ,pain/NOUN
past/ADJ,few/ADJ,years/NOUN
Fantastic/ADJ,fresh/ADJ,food/NOUN
New/ADJ,Solar/ADJ,System/NOUN
brave/ADJ,new/ADJ,world/NOUN
Good/ADJ,honest/ADJ,wrok/NOUN
typical/ADJ,indie/ADJ,outfit/NOUN
dark/ADJ,ulterior/ADJ,motives/NOUN
classical/ADJ,logical/ADJ,fallacy/NOUN
militant/ADJ,Palestinian/ADJ,group/NOUN
perverted/ADJ,old/ADJ,man/NOUN
young/ADJ,Muslim/ADJ,men/NOUN
local/ADJ,Palestinian/ADJ,leaders/NOUN
Iraqi/ADJ,political/ADJ,forces/NOUN
conventional/ADJ,first/ADJ,name/NOUN
Radical/ADJ,Shiite/ADJ,cleric/NOUN
new/ADJ,fun/ADJ,contest/NOUN
Ordinary/ADJ,Least/ADJ,Squares/NOUN
cute/ADJ,little/ADJ,stunt/NOUN
several/ADJ,vital/ADJ,clues/NOUN
Sunni/ADJ,Arab/ADJ,regions/NOUN
other/ADJ,useful/ADJ,things/NOUN
sophisticated/ADJ,conversational/ADJ,language/NOUN
former/ADJ,Iraqi/ADJ,leader/NOUN
