besti/ADJ,føroyski/ADJ,svimjarin/NOUN
stóran/ADJ,vinnuligan/ADJ,týdning/NOUN
elsti/ADJ,politiski/ADJ,flokkur/NOUN
nógvar/ADJ,aðrar/ADJ,mátar/NOUN
ymisk/ADJ,long/ADJ,oyggjarnar/NOUN
nógvar/ADJ,ymiskar/ADJ,mátar/NOUN
Upprunaliga/ADJ,politiska/ADJ,skipanin/NOUN
Einasti/ADJ,góði/ADJ,indiánin/NOUN
stórar/ADJ,fruktagóðar/ADJ,oyrar/NOUN
gomlu/ADJ,føroysku/ADJ,bátamentanina/NOUN
14./ADJ,størsti/ADJ,býur/NOUN
hægsti/ADJ,umsitingarligi/ADJ,myndugleiki/NOUN
nógvar/ADJ,aðrar/ADJ,lógir/NOUN
sjaldsama/ADJ,spakur/ADJ,fuglur/NOUN
serligir/ADJ,føroyskir/ADJ,seðlar/NOUN
nógvar/ADJ,aðrar/ADJ,Kyrrahavsoyggjar/NOUN
føroyskur/ADJ,danskur/ADJ,svimjari/NOUN
mong/ADJ,stór/ADJ,oljureinsiverk/NOUN
