rythme/NOUN,cardiaque/ADJ,normal/ADJ
agence/NOUN,gouvernementale/ADJ,américaine/ADJ
nouvelles/ADJ,recrues/NOUN,militaires/ADJ
anciens/ADJ,services/NOUN,secrets/ADJ
quartiers/NOUN,généraux/ADJ,américains/ADJ
premier/ADJ,Championnat/NOUN,international/ADJ
premier/ADJ,cosmonaute/NOUN,russe/ADJ
premier/ADJ,cosmonaute/NOUN,russe/ADJ
grossesse/NOUN,humaine/ADJ,normale/ADJ
dernière/ADJ,grande/ADJ,éruption/NOUN
dernière/ADJ,éruption/NOUN,importante/ADJ
groupe/NOUN,religieux/ADJ,japonais/ADJ
Deuxième/ADJ,Guerre/NOUN,mondiale/ADJ
autre/ADJ,terme/NOUN,astronomique/ADJ
tenue/NOUN,multicolore/ADJ,traditionnelle/ADJ
premier/ADJ,premier/ADJ,ministre/NOUN
premier/ADJ,président/NOUN,américain/ADJ
premier/ADJ,président/NOUN,américain/ADJ
premier/ADJ,satellite/NOUN,américain/ADJ
ville/NOUN,écossaise/ADJ,mythique/ADJ
hymne/NOUN,national/ADJ,nord-coréen/ADJ
principale/ADJ,exportation/NOUN,principale/ADJ
première/ADJ,série/NOUN,télévisée/ADJ
Guerre/NOUN,civile/ADJ,espagnole/ADJ
Station/NOUN,spatiale/ADJ,internationale/ADJ
première/ADJ,bombe/NOUN,atomique/ADJ
Deuxième/ADJ,Guerre/NOUN,mondiale/ADJ
base/NOUN,militaire/ADJ,américaine/ADJ
premier/ADJ,phare/NOUN,américain/ADJ
première/ADJ,transplantation/NOUN,cardiaque/ADJ
nouvelles/ADJ,populations/NOUN,légales/ADJ
½/ADJ,part/NOUN,supplémentaire/ADJ
bien/NOUN,immobilier/ADJ,vide/ADJ
résidences/NOUN,mobiles/ADJ,terrestres/ADJ
maladie/NOUN,neurologique/ADJ,rare/ADJ
premier/ADJ,président/NOUN,taïwanais/ADJ
sixième/ADJ,rencontre/NOUN,annuelle/ADJ
premier/ADJ,président/NOUN,noir/ADJ
chantier/NOUN,naval/ADJ,japonais/ADJ
immense/ADJ,complexe/NOUN,nucléaire/ADJ
maladie/NOUN,neurologique/ADJ,chronique/ADJ
premier/ADJ,citoyen/NOUN,privé/ADJ
grande/ADJ,ville/NOUN,américaine/ADJ
compagnies/NOUN,financières/ADJ,étrangères/ADJ
station/NOUN,spatiale/ADJ,permanente/ADJ
célèbre/ADJ,chef/NOUN,communiste/ADJ
dernière/ADJ,invasion/NOUN,américaine/ADJ
élection/NOUN,présidentielle/ADJ,américaine/ADJ
