novo/ADJ,marco/NOUN,comunitario/ADJ
sector/NOUN,público/ADJ,estatal/ADJ
empresas/NOUN,capitalistas/ADJ,convencionais/ADJ
valor/NOUN,neto/ADJ,contable/ADJ
preciso/ADJ,informe/NOUN,favorable/ADJ
augas/NOUN,cálidas/ADJ,superficias/ADJ
poboación/NOUN,xitana/ADJ,asalariada/ADJ
diferentes/ADJ,marcas/NOUN,comerciais/ADJ
campo/NOUN,isobárico/ADJ,superficial/ADJ
canto/NOUN,popular/ADJ,oriental/ADJ
Espazo/NOUN,Económico/ADJ,Europeo/ADJ
maior/ADJ,número/NOUN,posible/ADJ
rede/NOUN,empresarial/ADJ,galega/ADJ
devandito/ADJ,establecemento/NOUN,permanente/ADJ
conseguinte/ADJ,éxodo/NOUN,agrario/ADJ
numerosos/ADJ,países/NOUN,desenvolvidos/ADJ
comunidade/NOUN,española/ADJ,inmigrante/ADJ
pequena/ADJ,cidade/NOUN,alemana/ADJ
diferentes/ADJ,aulas/NOUN,multimedia/ADJ
clases/NOUN,medias/ADJ,urbanas/ADJ
virus/NOUN,causal/ADJ,específico/ADJ
pequenos/ADJ,hábitos/NOUN,cotiáns/ADJ
compoñentes/NOUN,cíclicos/ADJ,favorables/ADJ
procedemento/NOUN,administrativo/ADJ,común/ADJ
novo/ADJ,Plan/NOUN,Nacional/ADJ
gran/ADJ,transcendencia/NOUN,cultural/ADJ
produción/NOUN,cultural/ADJ,galega/ADJ
centros/NOUN,educativos/ADJ,itinerarios/ADJ
Complexo/NOUN,Hospitalario/ADJ,Universitario/ADJ
seguintes/ADJ,obxectivos/NOUN,concretos/ADJ
entidades/NOUN,locais/ADJ,competentes/ADJ
respectivas/ADJ,terrazas/NOUN,fluvioglaciares/ADJ
tratos/NOUN,arancelarios/ADJ,privilexiados/ADJ
determinados/ADJ,servizos/NOUN,educativos/ADJ
proxecto/NOUN,colectivo/ADJ,común/ADJ
relación/NOUN,cuantitativa/ADJ,observable/ADJ
maior/ADJ,apoio/NOUN,institucional/ADJ
distintos/ADJ,documentos/NOUN,elaborados/ADJ
normativa/NOUN,laboral/ADJ,aplicable/ADJ
apoio/NOUN,financeiro/ADJ,extraordinario/ADJ
correspondente/ADJ,distintivo/NOUN,acreditativo/ADJ
Administración/NOUN,pública/ADJ,competente/ADJ
Administración/NOUN,pública/ADJ,contratante/ADJ
Real/ADJ,decreto/NOUN,lexislativo/ADJ
sistema/NOUN,nervioso/ADJ,central/ADJ
Diferentes/ADJ,estudos/NOUN,estatísticos/ADJ
cláusulas/NOUN,administrativas/ADJ,xerais/ADJ
escasa/ADJ,producción/NOUN,total/ADJ
mellores/ADJ,técnicas/NOUN,dispoñibles/ADJ
Residuos/NOUN,Sólidos/ADJ,Urbanos/ADJ
Residuos/NOUN,Sólidos/ADJ,Urbanos/ADJ
disposición/NOUN,transitoria/ADJ,segunda/ADJ
disposición/NOUN,transitoria/ADJ,primeira/ADJ
diferentes/ADJ,compostos/NOUN,contaminantes/ADJ
lesións/NOUN,destructivas/ADJ,difusas/ADJ
encefalopatías/NOUN,esponxiformes/ADJ,transmisibles/ADJ
respectiva/ADJ,comunidade/NOUN,autónoma/ADJ
centro/NOUN,privado/ADJ,Seresco/ADJ
mellor/ADJ,sistema/NOUN,educativo/ADJ
políticas/NOUN,locais/ADJ,inclusivas/ADJ
grandes/ADJ,obxectivos/NOUN,cualitativos/ADJ
claro/ADJ,patrón/NOUN,estacional/ADJ
clara/ADJ,homoxeneidade/NOUN,espacial/ADJ
pequenas/ADJ,perdas/NOUN,hemáticas/ADJ
maior/ADJ,altura/NOUN,maiores/ADJ
maior/ADJ,diversificación/NOUN,xeográfica/ADJ
exportacións/NOUN,petroleiras/ADJ,venezolanas/ADJ
autoridade/NOUN,administrativa/ADJ,competente/ADJ
diferentes/ADJ,delegacións/NOUN,provinciais/ADJ
recursos/NOUN,económicos/ADJ,líquidos/ADJ
maior/ADJ,capacidade/NOUN,calorífica/ADJ
presión/NOUN,venosa/ADJ,central/ADJ
reaccións/NOUN,dermatolóxicas/ADJ,alérxicas/ADJ
cen/ADJ,mil/NOUN,medio/ADJ
decisivas/ADJ,cargas/NOUN,xerais/ADJ
alta/ADJ,seguridade/NOUN,social/ADJ
grandes/ADJ,organizacións/NOUN,ilegais/ADJ
proceso/NOUN,comparativo/ADJ,individual/ADJ
cor/NOUN,vermella/ADJ,intensa/ADJ
fontes/NOUN,fixas/ADJ,industriais/ADJ
capital/NOUN,público/ADJ,total/ADJ
capital/NOUN,público/ADJ,social/ADJ
Dominio/NOUN,Público/ADJ,Hidráulico/ADJ
Dominio/NOUN,Público/ADJ,Hidráulico/ADJ
lóxicos/ADJ,eprimeiros/ADJ,destinatarios/NOUN
lesións/NOUN,precursoras/ADJ,diagnosticables/ADJ
primeiro/ADJ,paso/NOUN,homoxeneizador/ADJ
consumo/NOUN,medio/ADJ,semanal/ADJ
parálise/NOUN,flácida/ADJ,aguda/ADJ
modelo/NOUN,cultural/ADJ,urbano/ADJ
medidas/NOUN,correctoras/ADJ,eficientes/ADJ
revestimento/NOUN,cerámico/ADJ,especial/ADJ
unidades/NOUN,morfolóxicas/ADJ,básicas/ADJ
única/ADJ,forma/NOUN,eficaz/ADJ
auténtica/ADJ,polipatoloxía/NOUN,social/ADJ
dinámica/NOUN,socio-laboral/ADJ,galega/ADJ
trámites/NOUN,legais/ADJ,preceptivos/ADJ
valor/NOUN,medio/ADJ,nacional/ADJ
mellor/ADJ,coñecemento/NOUN,dispoñible/ADJ
castigo/NOUN,físico/ADJ,indecente/ADJ
grandes/ADJ,obxectivos/NOUN,comúns/ADJ
