βρετανικές/ADJ,μηχανοκίνητες/ADJ,δυνάμεις/NOUN
πολλές/ADJ,παράλληλες/ADJ,μάχες/NOUN
νέα/ADJ,στρατιωτική/ADJ,συμφωνία/NOUN
σημαντικές/ADJ,προπαρασκευαστικές/ADJ,εργασίες/NOUN
κινεζικό/ADJ,κρατικό/ADJ,πρακτορείο/NOUN
νέας/ADJ,αμυντικής/ADJ,συνεργασίας/NOUN
αμερικανικής/ADJ,στρατιωτικής/ADJ,παρουσίας/NOUN
διαφόρων/ADJ,αντιστασιακών/ADJ,οργανώσεων/NOUN
μεταπολεμικές/ADJ,πολιτικές/ADJ,εξελίξεις/NOUN
Σημαντικό/ADJ,επιβαρυντικό/ADJ,στοιχείο/NOUN
ανώμαλες/ADJ,πολιτικές/ADJ,εξελίξεις/NOUN
μεγαλύτερη/ADJ,αντιστασιακή/ADJ,οργάνωση/NOUN
προπολεμικού/ADJ,ελληνικού/ADJ,στρατού/NOUN
λοιπών/ADJ,δοσιλογικών/ADJ,οργανώσεων/NOUN
μικρότερες/ADJ,παραστρατιωτικές/ADJ,ομάδες/NOUN
ιδιαίτερη/ADJ,εμπορική/ADJ,σημασία/NOUN
Γαλλική/ADJ,Αρχαιολογική/ADJ,Σχολή/NOUN
περίφημες/ADJ,παλιοχριστιανικές/ADJ,Βασιλικές/NOUN
μακροβιότερος/ADJ,ζων/ADJ,ηγέτης/NOUN
πολλούς/ADJ,αρχικούς/ADJ,υποστηρικτές/NOUN
ταυτόχρονο/ADJ,εσωτερικό/ADJ,ξεσηκωμό/NOUN
Αγίας/ADJ,Ρωμαϊκής/ADJ,Αυτοκρατορίας/NOUN
νέας/ADJ,γερμανικής/ADJ,δύναμης/NOUN
αυστηρή/ADJ,επεκτατική/ADJ,πολιτική/NOUN
κατοπινή/ADJ,κατοχική/ADJ,δύναμη/NOUN
νέο/ADJ,δημοκρατικό/ADJ,κράτος/NOUN
σταλινική/ADJ,Σοβιετική/ADJ,Ένωση/NOUN
κατοπινός/ADJ,ψυχρός/ADJ,πόλεμος/NOUN
Ευρωπαϊκή/ADJ,Οικονομική/ADJ,Κοινότητα/NOUN
πλήρη/ADJ,τελωνειακή/ADJ,ένωση/NOUN
συστηματικών/ADJ,συνοριακών/ADJ,ελέγχων/NOUN
ενιαία/ADJ,ευρωπαϊκή/ADJ,πράξη/NOUN
νέα/ADJ,Μεταρρυθμιστική/ADJ,Συνθήκη/NOUN
εκλεγμένη/ADJ,πολιτική/ADJ,κυβέρνηση/NOUN
ευρωπαϊκά/ADJ,θεσμικά/ADJ,όργανα/NOUN
διαφορετικές/ADJ,ευρωπαϊκές/ADJ,χώρες/NOUN
πλήρης/ADJ,αμοιβαία/ADJ,αναγνώριση/NOUN
εθνικά/ADJ,ανώτατα/ADJ,όρια/NOUN
διάφορα/ADJ,συγκεκριμένα/ADJ,μέτρα/NOUN
καθαρότερα/ADJ,εναλλακτικά/ADJ,καύσιμα/NOUN
μοναδικής/ADJ,φυσικής/ADJ,ομορφιάς/NOUN
παραδοσιακή/ADJ,κυκλαδίτικη/ADJ,αρχιτεκτονική/NOUN
παραδοσιακά/ADJ,σιφνέικα/ADJ,φαγητά/NOUN
παλαιά/ADJ,εθνική/ADJ,οδό/NOUN
ντόπια/ADJ,μακεδονική/ADJ,αρχιτεκτονική/NOUN
μαγευτική/ADJ,φυσική/ADJ,ομορφιά/NOUN
διεθνές/ADJ,κατασκηνωτικό/ADJ,κέντρο/NOUN
αστείρευτη/ADJ,φυσική/ADJ,ομορφιά/NOUN
συγκεκριμένη/ADJ,ανατολική/ADJ,περιφέρεια/NOUN
πιθανών/ADJ,νέων/ADJ,εκρήξεων/NOUN
ευρεία/ADJ,κοινωνική/ADJ,συναίνεση/NOUN
μεγάλου/ADJ,οικονομικού/ADJ,προβλήματος/NOUN
Ελληνική/ADJ,Ορεινή/ADJ,Ταξιαρχία/NOUN
τακτικού/ADJ,Ελληνικού/ADJ,Στρατού/NOUN
σημαντικά/ADJ,πολιτικά/ADJ,θέματα/NOUN
νεαροί/ADJ,δημόσιοι/ADJ,υπάλληλοι/NOUN
χαμηλόβαθμους/ADJ,δημοσίους/ADJ,υπαλλήλους/NOUN
πραγματική/ADJ,εκλογική/ADJ,μάχη/NOUN
χειρότερα/ADJ,σιδηροδρομικά/ADJ,δυστυχήματα/NOUN
διάφορα/ADJ,θετικά/ADJ,μέτρα/NOUN
μικρό/ADJ,παραθαλάσσιο/ADJ,χωριό/NOUN
κεντρικές/ADJ,οδικές/ADJ,αρτηρίες/NOUN
ακραία/ADJ,καιρικά/ADJ,φαινόμενα/NOUN
πολλές/ADJ,αναπτυσσόμενες/ADJ,χώρες/NOUN
αμερικανικό/ADJ,τηλεοπτικό/ADJ,δίκτυο/NOUN
Ενδεικτικές/ADJ,χιλιομετρικές/ADJ,αποστάσεις/NOUN
παραδοσιακά/ADJ,πέτρινα/ADJ,αλώνια/NOUN
ονομαστό/ADJ,κόκκινο/ADJ,κρασί/NOUN
απαραίτητο/ADJ,πολιτικό/ADJ,περιβάλλον/NOUN
διάφορες/ADJ,γλωσσικές/ADJ,αποδόσεις/NOUN
ευρωπαϊκή/ADJ,κοινή/ADJ,γνώμη/NOUN
μεγαλύτερο/ADJ,δυνατό/ADJ,βαθμό/NOUN
Ευρωπαϊκή/ADJ,Κεντρική/ADJ,Τράπεζα/NOUN
Ευρωπαϊκής/ADJ,Κεντρικής/ADJ,Τράπεζας/NOUN
εθνικές/ADJ,κεντρικές/ADJ,τράπεζες/NOUN
ασυνήθιστη/ADJ,νέα/ADJ,προσπάθεια/NOUN
νέων/ADJ,πρωτοποριακών/ADJ,θεραπειών/NOUN
ενιαίας/ADJ,χρηματοπιστωτικής/ADJ,αγοράς/NOUN
αποδοτικό/ADJ,χρηματοπιστωτικό/ADJ,σύστημα/NOUN
Ευρωπαϊκού/ADJ,Λαϊκού/ADJ,Κόμματος/NOUN
τελευταίας/ADJ,αιγυπτιακής/ADJ,δυναστείας/NOUN
Ενδεικτικές/ADJ,χιλιομετρικές/ADJ,αποστάσεις/NOUN
ιαπωνικό/ADJ,εναέριο/ADJ,χώρο/NOUN
πειραματικός/ADJ,τηλεπικοινωνιακός/ADJ,δορυφόρος/NOUN
μεγαλύτερου/ADJ,τηλεοπτικού/ADJ,σταθμού/NOUN
κοινές/ADJ,ελάχιστες/ADJ,προδιαγραφές/NOUN
έντονος/ADJ,αντάρτικος/ADJ,αγώνας/NOUN
ανεξάρτητου/ADJ,μακεδονικού/ADJ,κράτους/NOUN
Βαλκανικής/ADJ,Κομμουνιστικής/ADJ,Ομοσπονδίας/NOUN
ορισμένοι/ADJ,Σλαβόφωνοι/ADJ,πληθυσμοί/NOUN
αντάρτικα/ADJ,ένοπλα/ADJ,τμήματα/NOUN
σλαβομακεδονική/ADJ,κομματική/ADJ,οργάνωση/NOUN
τοπική/ADJ,κομματική/ADJ,οργάνωση/NOUN
νέα/ADJ,σλαβική/ADJ,εθνότητα/NOUN
