भारी/ADJ,अंतर्राष्ट्रीय/ADJ,ऋण/NOUN
11वां/ADJ,अन्तर्राष्ट्रीय/ADJ,दिवस/NOUN
समुद्री/ADJ,भोज्य/ADJ,पदार्थ/NOUN
तीसरे/ADJ,प्रमुख/ADJ,अधिकारी/NOUN
नामजद/ADJ,अंतर्राज्यीय/ADJ,बदमाश/NOUN
पहला/ADJ,राजनीतिक/ADJ,सम्पर्क/NOUN
दूसरे/ADJ,प्रभावशाली/ADJ,लोग/NOUN
दूसरे/ADJ,नज़दीकी/ADJ,स्थान/NOUN
पहली/ADJ,उच्च/ADJ,शिक्षा/NOUN
नए/ADJ,खोजी/ADJ,खुलासे/NOUN
गठित/ADJ,नया/ADJ,आयोग/NOUN
वार्षिक/ADJ,गोपनीय/ADJ,रिपोर्ट/NOUN
पांचवीं/ADJ,ग्रामीण/ADJ,महिला/NOUN
वर्तमान/ADJ,पंचवर्षीय/ADJ,योजना/NOUN
शुरुआती/ADJ,पहले/ADJ,घंटे/NOUN
तीसरे/ADJ,तेज/ADJ,गेंदबाज/NOUN
कथित/ADJ,इस्लामिक/ADJ,स्कार्फ/NOUN
दूसरा/ADJ,सकारात्मक/ADJ,संकेत/NOUN
पहली/ADJ,खिताबी/ADJ,जीत/NOUN
अन्य/ADJ,धार्मिक/ADJ,स्थल/NOUN
कमजोर/ADJ,बुनियादी/ADJ,ढांचा/NOUN
बेहतर/ADJ,द्विपक्षीय/ADJ,रिश्ता/NOUN
दूसरा/ADJ,बड़ा/ADJ,शहर/NOUN
स्थानीय/ADJ,कांग्रेसी/ADJ,नेता/NOUN
आयोजित/ADJ,भव्य/ADJ,समारोह/NOUN
पहला/ADJ,अशुभ/ADJ,संकेत/NOUN
दूसरा/ADJ,बड़ा/ADJ,शहर/NOUN
पहले/ADJ,दायर/ADJ,हलफनामे/NOUN
प्रथम/ADJ,राजनीतिक/ADJ,सचिव/NOUN
तीसरा/ADJ,बड़ा/ADJ,जिला/NOUN
अन्य/ADJ,विपक्षी/ADJ,नेताओं/NOUN
दूसरी/ADJ,अवकाशकालीन/ADJ,पीठ/NOUN
सर्वश्रेष्ठ/ADJ,व्यक्तिगत/ADJ,स्कोर/NOUN
दिवसीय/ADJ,छठी/ADJ,बैठक/NOUN
पर्याप्त/ADJ,कानूनी/ADJ,सबूत/NOUN
अन्य/ADJ,एशियाई/ADJ,देशों/NOUN
अन्य/ADJ,छोटे/ADJ,विमान/NOUN
दूसरे/ADJ,जनरल/ADJ,डिब्बे/NOUN
पहले/ADJ,तकनीकी/ADJ,स्वरूप/NOUN
दूसरी/ADJ,दलित/ADJ,राजनीति/NOUN
अगले/ADJ,वित्तीय/ADJ,वर्ष/NOUN
महत्वपूर्ण/ADJ,राजनीतिक/ADJ,सबक/NOUN
