svokölluðu/ADJ,sönnu/ADJ,sögurnar/NOUN
áframhaldandi/ADJ,lagalega/ADJ,kreppu/NOUN
nýjar/ADJ,fjárhagslegar/ADJ,byrðar/NOUN
stórauknu/ADJ,pólitísku/ADJ,áhættu/NOUN
miðjum/ADJ,sjöunda/ADJ,áratugnum/NOUN
nýja/ADJ,mjúka/ADJ,skotmarkið/NOUN
fjórða/ADJ,bandaríska/ADJ,fyrirtækið/NOUN
fleiri/ADJ,rómanskir/ADJ,kjósendur/NOUN
helstu/ADJ,landfræðilegu/ADJ,einkenni/NOUN
margvíslegum/ADJ,grænum/ADJ,litaafbrigðum/NOUN
tæp/ADJ,hálf/ADJ,milljón/NOUN
nýstofnaða/ADJ,kínverska/ADJ,lýðveldi/NOUN
vanhæfa/ADJ,kínverska/ADJ,sendiherra/NOUN
þekkta/ADJ,sögulega/ADJ,heimildin/NOUN
mörg/ADJ,hálfkláruð/ADJ,mannvirki/NOUN
heilaga/ADJ,rómverska/ADJ,ríkis/NOUN
lægri/ADJ,tapaðar/ADJ,tekjur/NOUN
frekari/ADJ,opinber/ADJ,viðurkenning/NOUN
mörgum/ADJ,síðari/ADJ,rannsóknum/NOUN
væntanlegu/ADJ,þriðju/ADJ,hljóðversplötuna/NOUN
fyrstu/ADJ,grísku/ADJ,textarnir/NOUN
mörg/ADJ,lítil/ADJ,sjálfstjórnarsamfélög/NOUN
fæst/ADJ,kristið/ADJ,fólk/NOUN
margar/ADJ,forsögulegar/ADJ,minjar/NOUN
utanaðkomandi/ADJ,sögulegar/ADJ,heimildir/NOUN
