Kapal/NOUN,super/ADJ,terbesar/ADJ
perguruan/NOUN,tinggi/ADJ,swasta/ADJ
infak/NOUN,miokardial/ADJ,akut/ADJ
area/NOUN,terakhir/ADJ,dekat/ADJ
celana/NOUN,pendek/ADJ,putih/ADJ
Dugaan/NOUN,populer/ADJ,lainnya/ADJ
arteri/NOUN,karotis/ADJ,interna/ADJ
makanan/NOUN,tradisional/ADJ,khas/ADJ
dunia/NOUN,teologis/ADJ,orientalis/ADJ
kapasitas/NOUN,operasional/ADJ,maksimumnya/ADJ
mulut/NOUN,lebar/ADJ,kendur/ADJ
lokal/ADJ,cacing/NOUN,asli/ADJ
locally/ADJ,native/ADJ,worms/NOUN
penawaran/NOUN,umum/ADJ,perdana/ADJ
acara/NOUN,tetap/ADJ,berkumpul/ADJ
hari/NOUN,libur/ADJ,resmi/ADJ
energi/NOUN,bebas/ADJ,linear/ADJ
tarian/NOUN,tunggal/ADJ,tradisional/ADJ
jenis/ADJ,akhir/ADJ,zaman/NOUN
région/NOUN,administratif/ADJ,besar/ADJ
organisasi/NOUN,internasional/ADJ,lainnya/ADJ
analog/ADJ,televisi/NOUN,biasa/ADJ
stadion/NOUN,serbaguna/ADJ,terbesar/ADJ
awal/ADJ,kerja/NOUN,sama/ADJ
orang/NOUN,pertama/ADJ,tunggal/ADJ
saudara/NOUN,iparnya/ADJ,sendiri/ADJ
gelar/NOUN,internasional/ADJ,pertama/ADJ
Bakteri/NOUN,nonsulfur/ADJ,ungu/ADJ
molekuk/NOUN,organik/ADJ,nonrinci/ADJ
beragam/ADJ,pigmen/NOUN,lainnya/ADJ
duta/NOUN,besar/ADJ,global/ADJ
target/NOUN,lunak/ADJ,baru/ADJ
Royal/ADJ,National/ADJ,Park/NOUN
banyak/ADJ,sosialis/NOUN,lain/ADJ
perangkat/NOUN,verbal/ADJ,lain/ADJ
banyak/ADJ,kritik/NOUN,besar/ADJ
banyak/ADJ,komunitas/NOUN,kecil/ADJ
