gloine/NOUN,bhreá/ADJ,phint/ADJ
blianta/NOUN,fada/ADJ,géara/ADJ
daoine/NOUN,bréatha/ADJ,óga/ADJ
céadtadán/NOUN,íseal/ADJ,rannpáirtíochta/ADJ
aicmí/NOUN,sóisialta/ADJ,áirithe/ADJ
rud/NOUN,ceannann/ADJ,céanna/ADJ
comhlachtaí/NOUN,ollmhóra/ADJ,ilnáisiúnacha/ADJ
Fínéad/NOUN,éifeachtach/ADJ,focalspárálach/ADJ
t-éigeas/NOUN,domhain/ADJ,filiúnta/ADJ
sliogáin/NOUN,fholmha/ADJ,caite/ADJ
dtráthchodanna/NOUN,comhionanna/ADJ,míosúla/ADJ
Bean/NOUN,shuidhte/ADJ,dhéanta/ADJ
corrdhuine/NOUN,ceanndána/ADJ,eachtrúil/ADJ
buachaill/NOUN,beag/ADJ,ramhar/ADJ
scéal/NOUN,traigéideach/ADJ,marfach/ADJ
fear/NOUN,sanntach/ADJ,saoghalta/ADJ
fear/NOUN,fial/ADJ,fileamhanta/ADJ
fear/NOUN,óg/ADJ,scafánta/ADJ
lá/NOUN,fada/ADJ,fuar/ADJ
colainn/NOUN,cheart/ADJ,dhearbh/ADJ
gcaighdeán/NOUN,díreach/ADJ,céanna/ADJ
iníon/NOUN,óg/ADJ,rua/ADJ
spáidín/NOUN,fhada/ADJ,chaol/ADJ
crann/NOUN,beag/ADJ,ilchraobhach/ADJ
duillí/NOUN,urchomhaireacha/ADJ,lansacha/ADJ
spéir/NOUN,ghlan/ADJ,ghorm/ADJ
saol/NOUN,luaineach/ADJ,athraíoch/ADJ
n-ardchathracha/NOUN,neamhchúiseacha/ADJ,Eorpacha/ADJ
scéalta/NOUN,pearsanta/ADJ,spioradálta/ADJ
fhágáil/NOUN,fíor/ADJ,óg/ADJ
thógaint/NOUN,breá/ADJ,socair/ADJ
fostaí/NOUN,buan/ADJ,amháin/ADJ
staraí/NOUN,mór/ADJ,áirithe/ADJ
fhear/NOUN,breá/ADJ,dathúil/ADJ
ionad/NOUN,suntasach/ADJ,tábhachtach/ADJ
bhláthanna/NOUN,beaga/ADJ,glasa/ADJ
póg/NOUN,bhreá/ADJ,mhór/ADJ
theanga/NOUN,eachtrach/ADJ,domhanda/ADJ
freagra/NOUN,breá/ADJ,croíúil/ADJ
cara/NOUN,mór/ADJ,pearsanta/ADJ
feoil/NOUN,sho-ite/ADJ,bhlasta/ADJ
cogadh/NOUN,fíochmhar/ADJ,eitneach/ADJ
phobal/NOUN,leathan/ADJ,ilbhéascnach/ADJ
straitéisí/NOUN,iarnua-aimseartha/ADJ,éagsúla/ADJ
cealla/NOUN,beaga/ADJ,dorcha/ADJ
fuil/NOUN,óg/ADJ,úr/ADJ
shúile/NOUN,dubha/ADJ,dána/ADJ
bplandaí/NOUN,breátha/ADJ,neamhspleácha/ADJ
glór/NOUN,bog/ADJ,íseal/ADJ
chluiche/NOUN,suarach/ADJ,polaitiúil/ADJ
Fuaimeanna/NOUN,beaga/ADJ,aisteacha/ADJ
duine/NOUN,rialta/ADJ,baoth/ADJ
taisí/NOUN,orgánacha/ADJ,marbha/ADJ
Maidin/NOUN,thirim/ADJ,fhionnuar/ADJ
tráthnóna/NOUN,aoibhinn/ADJ,caithiseach/ADJ
aonaid/NOUN,mhéadracha/ADJ,chuí/ADJ
dhuine/NOUN,fial/ADJ,flaithiúlach/ADJ
rud/NOUN,beo/ADJ,dearfa/ADJ
cumann/NOUN,beag/ADJ,carthanach/ADJ
tubaist/NOUN,éigin/ADJ,trom/ADJ
shruth/NOUN,leictreach/ADJ,ró-mhór/ADJ
teannas/NOUN,tuisceanach/ADJ,áirithe/ADJ
troid/NOUN,fada/ADJ,casta/ADJ
gcanúintí/NOUN,Ultacha/ADJ,éagsúla/ADJ
Tráthnóna/NOUN,gruama/ADJ,ceobháistí/ADJ
fuaim/NOUN,fhada/ADJ,thonnchreathach/ADJ
theachta/NOUN,neamhspleácha/ADJ,Chonallacha/ADJ
foiche/NOUN,mhór/ADJ,ghlas/ADJ
teidil/NOUN,ghearra/ADJ,mhíshásúla/ADJ
ceiliúradh/NOUN,spleodrach/ADJ,céanna/ADJ
meangadh/NOUN,tomhaiste/ADJ,ceannaithe/ADJ
bheach/NOUN,thapaidh/ADJ,the/ADJ
líne/NOUN,fhada/ADJ,chaol/ADJ
coimeádán/NOUN,plaisteach/ADJ,áirithe/ADJ
bomba/NOUN,uafásach/ADJ,éigin/ADJ
bhalla/NOUN,leathan/ADJ,lom/ADJ
stíl/NOUN,mhín/ADJ,leanúnach/ADJ
rud/NOUN,ceomhar/ADJ,diamhair/ADJ
Pháirtíocht/NOUN,Phoiblí/ADJ,Phríobháideach/ADJ
caighdeáin/NOUN,dhif-riúla/ADJ,imeartha/ADJ
dáta/NOUN,éagtha/ADJ,deimhnithe/ADJ
fuacht/NOUN,nimhneach/ADJ,geimhriúil/ADJ
bhealach/NOUN,aisteach/ADJ,éigin/ADJ
