нақты/ADJ,экономикалық/ADJ,мүдделерді/NOUN
үлкен/ADJ,өкілетті/ADJ,делегацияны/NOUN
барлық/ADJ,қажетті/ADJ,жабдықтармен/NOUN
ірі/ADJ,медициналық/ADJ,орталықтар/NOUN
қажетті/ADJ,жақсы/ADJ,алғышарттар/NOUN
ерекше/ADJ,өркениетті/ADJ,миссияны/NOUN
ішкі/ADJ,саяси/ADJ,жағдай/NOUN
Жаңа/ADJ,халықаралық/ADJ,әуежай/NOUN
тығыз/ADJ,іскерлік/ADJ,қатынастар/NOUN
Еуразиялық/ADJ,Экономикалық/ADJ,Одаққа/NOUN
бірдей/ADJ,әлеуметтік/ADJ,қорғауды/NOUN
сыртқы/ADJ,экономикалық/ADJ,байланыстардың/NOUN
жаңа/ADJ,архитектуралық/ADJ,мұралары/NOUN
ішкі/ADJ,өңірлік/ADJ,өнімі/NOUN
Саяси/ADJ,мемлекеттік/ADJ,қызметкерлер/NOUN
тарихи/ADJ,тамаша/ADJ,жеңістерге/NOUN
қысқа/ADJ,мерзімді/ADJ,демалысқа/NOUN
ескі/ADJ,үлкен/ADJ,ағаштың/NOUN
