suum/ADJ,proprium/ADJ,nomen/NOUN
universos/ADJ,filios/NOUN,tuos/ADJ
pater/NOUN,vester/ADJ,caelestis/ADJ
suis/ADJ,causis/NOUN,aequivocis/ADJ
virtutibus/NOUN,operativis/ADJ,humanis/ADJ
simplex/ADJ,suum/ADJ,esse/NOUN
simplex/ADJ,esse/NOUN,divinum/ADJ
res/NOUN,intelligibilis/ADJ,infinita/ADJ
rem/NOUN,intelligibilem/ADJ,infinitam/ADJ
infinitas/ADJ,partes/NOUN,consimiles/ADJ
actus/NOUN,primus/ADJ,subsistens/ADJ
primum/ADJ,motorem/NOUN,immobilem/ADJ
primam/ADJ,causam/NOUN,efficientem/ADJ
primam/ADJ,causam/NOUN,effectivam/ADJ
sua/ADJ,naturali/ADJ,virtute/NOUN
inferiora/ADJ,corpora/NOUN,caelestia/ADJ
primum/ADJ,corpus/NOUN,caeleste/ADJ
primorum/ADJ,philosophorum/NOUN,naturalium/ADJ
suam/ADJ,absolutam/ADJ,perfectionem/NOUN
suus/ADJ,ultimus/ADJ,finis/NOUN
suum/ADJ,obiectum/NOUN,principale/ADJ
suo/ADJ,principali/ADJ,obiecto/NOUN
sola/ADJ,universalis/ADJ,causa/NOUN
suum/ADJ,ultimum/ADJ,finem/NOUN
primis/ADJ,principiis/NOUN,indemonstrabilibus/ADJ
suam/ADJ,naturalem/ADJ,conditionem/NOUN
consilium/NOUN,tuum/ADJ,antiquum/ADJ
humanam/ADJ,vitam/NOUN,activam/ADJ
suum/ADJ,proprium/ADJ,bonum/NOUN
sua/ADJ,operatio/NOUN,intellectualis/ADJ
sua/ADJ,ultima/ADJ,perfectione/NOUN
sua/ADJ,operatio/NOUN,intellectualis/ADJ
sua/ADJ,simplici/ADJ,intelligentia/NOUN
suo/ADJ,esse/NOUN,simplici/ADJ
ultimam/ADJ,suam/ADJ,perfectionem/NOUN
suam/ADJ,simplicem/ADJ,intelligentiam/NOUN
suo/ADJ,simplici/ADJ,intellectu/NOUN
plures/ADJ,operationes/NOUN,intellectuales/ADJ
vires/NOUN,cognoscitivas/ADJ,humanas/ADJ
suas/ADJ,causas/NOUN,proximas/ADJ
causis/NOUN,necessariis/ADJ,primis/ADJ
suas/ADJ,virtutes/NOUN,activas/ADJ
quodam/NOUN,medio/ADJ,exemplari/ADJ
substantiae/NOUN,naturales/ADJ,inanimatae/ADJ
suum/ADJ,esse/NOUN,simplex/ADJ
diversis/ADJ,principiis/NOUN,substantialibus/ADJ
diversa/ADJ,accidentia/NOUN,propria/ADJ
simplici/ADJ,voluntati/NOUN,divinae/ADJ
causam/NOUN,mediam/ADJ,particularem/ADJ
universalis/ADJ,virtus/NOUN,activa/ADJ
sola/ADJ,virtute/NOUN,universali/ADJ
sola/ADJ,virtute/NOUN,universali/ADJ
causis/NOUN,superioribus/ADJ,universalibus/ADJ
causarum/NOUN,particularium/ADJ,inferiorum/ADJ
causae/NOUN,inferiores/ADJ,particulares/ADJ
corporeo/ADJ,agente/NOUN,medio/ADJ
plures/ADJ,appetitivae/ADJ,virtutes/NOUN
suis/ADJ,actibus/NOUN,propriis/ADJ
suis/ADJ,personalibus/ADJ,actibus/NOUN
primis/ADJ,divinis/ADJ,effectibus/NOUN
finem/NOUN,suum/ADJ,ultimum/ADJ
multiplices/ADJ,leges/NOUN,meas/ADJ
