reliģiozajiem/ADJ,mazturīgo/ADJ,slāņiem/NOUN
garspalvainā/ADJ,sintētiskā/ADJ,kažociņa/NOUN
vispārējās/ADJ,sociālās/ADJ,drošības/NOUN
sirmi/ADJ,plāni/ADJ,mati/NOUN
netradicionālu/ADJ,seksuālo/ADJ,orientāciju/NOUN
sesto/ADJ,labāko/ADJ,rezultātu/NOUN
adaptīvā/ADJ,priekšējā/ADJ,apgaismojuma/NOUN
Lokāli/ADJ,antiseptiski/ADJ,līdzekļi/NOUN
lokālā/ADJ,antibiotiskā/ADJ,līdzekļa/NOUN
dažādiem/ADJ,strukturāliem/ADJ,veidojumiem/NOUN
raibas/ADJ,kuplas/ADJ,kleiteles/NOUN
savstarpējie/ADJ,ultimatīvie/ADJ,paziņojumi/NOUN
pirmā/ADJ,trīspusējā/ADJ,tikšanās/NOUN
īpašs/ADJ,izšķirošs/ADJ,mirklis/NOUN
aktīvo/ADJ,farmaceitisko/ADJ,vielu/NOUN
dažādās/ADJ,ģeogrāfiskās/ADJ,vietās/NOUN
atsevišķās/ADJ,ģeogrāfiskās/ADJ,vietās/NOUN
attiecīgs/ADJ,pieejams/ADJ,saturs/NOUN
profesionālā/ADJ,sociālā/ADJ,tīkla/NOUN
3./ADJ,Marksistiski-ļeņiniskajā/ADJ,filozofijā/NOUN
4./ADJ,Zinātniskajā/ADJ,komunismā/NOUN
5./ADJ,Marksistiski-ļeņiniskajā/ADJ,estētikā/NOUN
dažādu/ADJ,ģeoloģisku/ADJ,objektu/NOUN
dažādu/ADJ,interesantu/ADJ,faktu/NOUN
vienīgais/ADJ,loģiskais/ADJ,iznākums/NOUN
vienkāršu/ADJ,baltu/ADJ,kleitu/NOUN
obligātā/ADJ,militārā/ADJ,dienesta/NOUN
Pēdējās/ADJ,būtiskākās/ADJ,ietekmes/NOUN
Sistemātiski/ADJ,ģeoloģiskie/ADJ,pētījumi/NOUN
pirmo/ADJ,Svēto/ADJ,Komūniju/NOUN
liela/ADJ,karmiska/ADJ,loma/NOUN
skaistas/ADJ,melnmatainas/ADJ,sievietes/NOUN
sulīgas/ADJ,sarkanas/ADJ,zemenes/NOUN
neatliekamās/ADJ,medicīniskās/ADJ,palīdzības/NOUN
dažādas/ADJ,neparedzētas/ADJ,aizķeršanās/NOUN
liels/ADJ,emocionāls/ADJ,piedzīvojums/NOUN
augstākais/ADJ,militārais/ADJ,ordenis/NOUN
baltu/ADJ,plānu/ADJ,plīvuru/NOUN
balto/ADJ,garo/ADJ,trotuāru/NOUN
patieso/ADJ,iekšējo/ADJ,dzīvi/NOUN
balti/ADJ,vienādi/ADJ,eņģeļi/NOUN
vienīgā/ADJ,siltā/ADJ,vieta/NOUN
garo/ADJ,kalsno/ADJ,augumu/NOUN
briesmīgajā/ADJ,brūnajā/ADJ,uzvalkā/NOUN
maigajām/ADJ,maigajām/ADJ,plaukstām/NOUN
