visapusiškas/ADJ,nepriklausomas/ADJ,tyrimas/NOUN
didesnės/ADJ,piniginės/ADJ,baudos/NOUN
techninius/ADJ,investicinius/ADJ,projektus/NOUN
naujos/ADJ,atominės/ADJ,jėgainės/NOUN
slogūs/ADJ,sovietiniai/ADJ,laikai/NOUN
paprasto/ADJ,balto/ADJ,lapo/NOUN
pastarąją/ADJ,teigiamą/ADJ,tendenciją/NOUN
ilgalaikės/ADJ,pagrindinės/ADJ,sąlygos/NOUN
nedidelė/ADJ,administracinė/ADJ,našta/NOUN
nuostabių/ADJ,ramių/ADJ,akimirkų/NOUN
įvairų/ADJ,teisinį/ADJ,pagrindą/NOUN
vidutinis/ADJ,metinis/ADJ,biudžetas/NOUN
naujus/ADJ,pasaulinius/ADJ,uždavinius/NOUN
didesnio/ADJ,socialinio/ADJ,teisingumo/NOUN
svarbiausia/ADJ,sudėtinė/ADJ,dalis/NOUN
bendra/ADJ,socialine/ADJ,atsakomybe/NOUN
Naujiems/ADJ,skaitmeniniams/ADJ,produktams/NOUN
naujosios/ADJ,atominės/ADJ,elektrinės/NOUN
rūgščios/ADJ,forminės/ADJ,duonos/NOUN
didžiulę/ADJ,žalią/ADJ,trirublę/NOUN
grėsminga/ADJ,parazitine/ADJ,liga/NOUN
sunki/ADJ,parazitinė/ADJ,liga/NOUN
Puikių/ADJ,šventinių/ADJ,patiekalų/NOUN
tradicinių/ADJ,kalėdinių/ADJ,kepinių/NOUN
kvapūs/ADJ,kosmetiniai/ADJ,aliejai/NOUN
pašėlusi/ADJ,šventinė/ADJ,karštinė/NOUN
vietiniais/ADJ,simfoniniais/ADJ,orkestrais/NOUN
skausmingas/ADJ,ekonomines/ADJ,reformas/NOUN
viešieji/ADJ,juridiniai/ADJ,asmenys/NOUN
konkreti/ADJ,organinė/ADJ,patologija/NOUN
plonom/ADJ,stiklinėm/ADJ,kojom/NOUN
idealaus/ADJ,begarsio/ADJ,pasaulio/NOUN
dailių/ADJ,pacukruotų/ADJ,paviršių/NOUN
didžiojo/ADJ,kosminio/ADJ,ošimo/NOUN
gerus/ADJ,socialinius/ADJ,santykius/NOUN
tarptautinių/ADJ,ekonominių/ADJ,santykių/NOUN
viešojoje/ADJ,informacinėje/ADJ,erdvėje/NOUN
naujų/ADJ,informacinių/ADJ,technologijų/NOUN
kultūrinis/ADJ,istorinis/ADJ,kraštovaizdis/NOUN
paslaptingą/ADJ,kosminį/ADJ,kryželį/NOUN
nykių/ADJ,vyriškų/ADJ,problemų/NOUN
neatidėliotinais/ADJ,alkoholiniais/ADJ,reikalais/NOUN
abstrakčiais/ADJ,egzistenciniais/ADJ,klausimais/NOUN
bukaprotišku/ADJ,aliejiniu/ADJ,žvilgsniu/NOUN
stiprios/ADJ,motiniškos/ADJ,meilės/NOUN
Skausmingas/ADJ,psichinis/ADJ,nejautrumas/NOUN
simbolinė/ADJ,plastmasinė/ADJ,pertvara/NOUN
