National/ADJ,Open/ADJ,University/NOUN
kind/ADJ,fantastic/ADJ,ting/NOUN
own/ADJ,little/ADJ,parsee/NOUN
kind/ADJ,big/ADJ,place/NOUN
same/ADJ,blind/ADJ,horses/NOUN
Independent/ADJ,Electoral/ADJ,Commission/NOUN
own/ADJ,bad/ADJ,side/NOUN
different/ADJ,departmental/ADJ,behaviour/NOUN
typical/ADJ,Urhobo/ADJ,woman/NOUN
own/ADJ,convenient/ADJ,time/NOUN
kind/ADJ,yeye/ADJ,man/NOUN
kind/ADJ,big/ADJ,land/NOUN
Federal/ADJ,Executive/ADJ,Council/NOUN
kind/ADJ,open/ADJ,letter/NOUN
oder/ADJ,natural/ADJ,resources/NOUN
kind/ADJ,intergovernmental/ADJ,organisation/NOUN
kind/ADJ,mobile/ADJ,court/NOUN
local/ADJ,government/NOUN,alone/ADJ
different/ADJ,ethnic/ADJ,group/NOUN
same/ADJ,old/ADJ,ting/NOUN
kind/ADJ,small/ADJ,water/NOUN
small/ADJ,Nigerian/ADJ,man/NOUN
kain/ADJ,better/ADJ,treatment/NOUN
possible/ADJ,third/ADJ,attack/NOUN
kind/ADJ,sensitive/ADJ,topics/NOUN
most/ADJ,popular/ADJ,station/NOUN
oda/ADJ,secondary/ADJ,school/NOUN
better/ADJ,correct/ADJ,examination/NOUN
French/ADJ,presidential/ADJ,election/NOUN
oda/ADJ,kind/ADJ,informate/NOUN
hard/ADJ,Nigerian/ADJ,currency/NOUN
direct/ADJ,domiciliary/ADJ,account/NOUN
last/ADJ,week/NOUN,own/ADJ
many/ADJ,different/ADJ,tings/NOUN
poor/ADJ,economic/ADJ,matter/NOUN
