инаа/ADJ,мѣста/NOUN,Резанскаа/ADJ
далные/ADJ,Сибирскіе/ADJ,городы/NOUN
тотемскому/ADJ,земскому/ADJ,старостѣ/NOUN
нынѣшней/ADJ,206/ADJ,годъ/NOUN
настоящіе/ADJ,денежные/ADJ,сборы/NOUN
многіе/ADJ,стрѣлецкіе/ADJ,денги/NOUN
кунгурскимъ/ADJ,земскимъ/ADJ,старостамъ/NOUN
чернꙋю/ADJ,договорнꙋю/ADJ,запис/NOUN
печатныхъ/ADJ,пошлинныхъ/ADJ,денегъ/NOUN
иконоборную/ADJ,ереси/NOUN,люторскую/ADJ
иная/ADJ,ханаанская/ADJ,пещь/NOUN
всемогущая/ADJ,десница/NOUN,Божия/ADJ
Божью/ADJ,всещедрую/ADJ,милость/NOUN
многа/ADJ,лжа/NOUN,неприазнена/ADJ
посадскимъ/ADJ,земскимъ/ADJ,старостамъ/NOUN
вышняго/ADJ,честнаго/ADJ,престола/NOUN
православную/ADJ,крестьянскую/ADJ,веру/NOUN
иныхъ/ADJ,волостьи/NOUN,новгородьскыихъ/ADJ
государевыхъ/ADJ,ратныхъ/ADJ,людей/NOUN
пашенныя/ADJ,мѣста/NOUN,болшія/ADJ
княжихъ/ADJ,Шилгинѣевыхъ/ADJ,дѣтей/NOUN
государево/ADJ,милостивое/ADJ,слово/NOUN
новопросвещеным/ADJ,господним/ADJ,людем/NOUN
прежнимъ/ADJ,окладнымъ/ADJ,книгамъ/NOUN
мелкихъ/ADJ,денежныхъ/ADJ,доходовъ/NOUN
иныхъ/ADJ,оброчныхъ/ADJ,статей/NOUN
християнстей/ADJ,божественаго/ADJ,закона/NOUN
святых/ADJ,великых/ADJ,чюдотворцов/NOUN
новопросвещенными/ADJ,господними/ADJ,людьми/NOUN
иноземцова/ADJ,жена/NOUN,Фалькова/ADJ
денежныхъ/ADJ,неокладныхъ/ADJ,доходовъ/NOUN
Петрова/ADJ,жена/NOUN,Фалькова/ADJ
зверя/NOUN,земнаго/ADJ,ходячево/ADJ
святыи/ADJ,страстотерпцы/NOUN,Христовы/ADJ
Фалькова/ADJ,Петрова/ADJ,жена/NOUN
выборнымъ/ADJ,лутчимъ/ADJ,людемъ/NOUN
выборнымъ/ADJ,лутчимъ/ADJ,людемъ/NOUN
окладчиковыхъ/ADJ,окладныхъ/ADJ,книгъ/NOUN
иные/ADJ,мелкіе/ADJ,росходы/NOUN
нынѣшнимъ/ADJ,переписнымъ/ADJ,книгамъ/NOUN
кнꙗз[ь]/NOUN,велики/ADJ,литовскои/ADJ
кнѧз[ь]/NOUN,велики/ADJ,литѡвски/ADJ
уѣздныхъ/ADJ,земскихъ/ADJ,старостъ/NOUN
иные/ADJ,мірскіе/ADJ,подати/NOUN
благоверныи/ADJ,великии/ADJ,князи/NOUN
благоверныхъ/ADJ,великихъ/ADJ,князеи/NOUN
чесныи/ADJ,бискупъ/NOUN,юръевъскии/ADJ
благоверъныхъ/ADJ,великихъ/ADJ,князеи/NOUN
нынѣшней/ADJ,206/ADJ,годъ/NOUN
досталные/ADJ,ясашные/ADJ,куницы/NOUN
кунгурскимъ/ADJ,бережатымъ/ADJ,татаромъ/NOUN
кунгурскую/ADJ,кунную/ADJ,казну/NOUN
честному/ADJ,бискупу/NOUN,юръевъскому/ADJ
светыи/ADJ,божьи/ADJ,церкви/NOUN
нынѣшней/ADJ,206/ADJ,годъ/NOUN
прошлого/ADJ,205/ADJ,году/NOUN
бережатымъ/ADJ,кунгурскимъ/ADJ,стрѣлцомъ/NOUN
кунгурскую/ADJ,денежную/ADJ,казну/NOUN
чесному/ADJ,бискупу/NOUN,юръевъскому/ADJ
благовернымъ/ADJ,великимъ/ADJ,княземъ/NOUN
чесномъ/ADJ,бискупе/NOUN,юръевъскомъ/ADJ
благоверныхъ/ADJ,великихъ/ADJ,князеи/NOUN
прошлого/ADJ,205/ADJ,году/NOUN
зборною/ADJ,наличною/ADJ,казною/NOUN
