شرکت/NOUN,سهامی/ADJ,عام/ADJ
قانون/NOUN,تصویبی/ADJ,اخیر/ADJ
قراردادهای/NOUN,جدید/ADJ,نفتی/ADJ
قدرت/NOUN,مطلقه/ADJ,بی‌مهار/ADJ
امکانات/NOUN,پیشرفته/ADJ,تکنولوژیکی/ADJ
ظروف/NOUN,سفالی/ADJ,منقوش/ADJ
اولین/ADJ,همایش/NOUN,علمی/ADJ
جریان‌های/NOUN,سیاسی/ADJ,مؤثر/ADJ
کارگردان/NOUN,جوان/ADJ,ایرانی/ADJ
فیلمهای/NOUN,سینمایی/ADJ,ایرانی/ADJ
دومین/ADJ,دوربین/NOUN,طلایی/ADJ
یازدهمین/ADJ,فعالیت/NOUN,رقابتی/ADJ
معاینه/NOUN,کامل/ADJ,مغزی/ADJ
بیماری‌های/NOUN,شدید/ADJ,تنفسی/ADJ
هیئت/NOUN,ایمنی/ADJ,ملی/ADJ
کشیش/NOUN,سابق/ADJ,سنت‌گرای/ADJ
سال/NOUN,گذشته/ADJ,میلادی/ADJ
حیطه/NOUN,رفتاری/ADJ,مطلوب/ADJ
فکر/NOUN,ناب/ADJ,دینی/ADJ
اسلحه/NOUN,کمری/ADJ,خودکار/ADJ
قانون/NOUN,اساسی/ADJ,واحد/ADJ
گروه‌های/NOUN,فعال/ADJ,سیاسی/ADJ
جمع/NOUN,بی‌شمار/ADJ,دیگر/ADJ
حمله‌های/NOUN,ویروسی/ADJ,اخیر/ADJ
ویروس‌های/NOUN,خطرناک/ADJ,رایانه‌ای/ADJ
محیط/NOUN,اجتماعی/ADJ,نامطمئن/ADJ
بنیان/NOUN,اجتماعی/ADJ,ثابت/ADJ
راهبردهای/NOUN,درمانی/ADJ,جدید/ADJ
هیدروکربن‌های/NOUN,حلقومی/ADJ,اروماتیک/ADJ
مرزهای/NOUN,کهنه/ADJ,گذشته/ADJ
چند/ADJ,بیت/NOUN,فرجامین/ADJ
فضای/NOUN,فکری/ADJ,ایرانی/ADJ
حرکت/NOUN,فرهنگی/ADJ,سالم/ADJ
روزنامه‌ها/NOUN,دیگر/ADJ,دوم‌خردادی/ADJ
وضعیت/NOUN,کنونی/ADJ,اقتصادی/ADJ
کل/ADJ,بانک/NOUN,مرکزی/ADJ
چند/ADJ,مسیحی/NOUN,قبطی/ADJ
وضعیت/NOUN,ارزی/ADJ,خوب/ADJ
گروه/NOUN,کاری/ADJ,مشترک/ADJ
اقلام/NOUN,عمده/ADJ,صادراتی/ADJ
مبارزه/NOUN,تئوریک/ADJ,جدی/ADJ
فرهنگ/NOUN,سیاسی/ADJ,مشارکتی/ADJ
ساختار/NOUN,سیاسی/ADJ,کنونی/ADJ
طیف/NOUN,عظیم/ADJ,مردمی/ADJ
