Polski/ADJ,przemysł/NOUN,farmaceutyczny/ADJ
wielkich/ADJ,amerykańskich/ADJ,korporacjach/NOUN
cały/ADJ,ostatni/ADJ,tydzień/NOUN
PRÓBNY/ADJ,SPIS/NOUN,POWSZECHNY/ADJ
kolejne/ADJ,pomieszczenia/NOUN,magazynowe/ADJ
bogaty/ADJ,program/NOUN,artystyczny/ADJ
tradycyjną/ADJ,mszą/NOUN,polową/ADJ
jedną/ADJ,markę/NOUN,niemiecką/ADJ
szczere/ADJ,przyjacielskie/ADJ,przedstawienie/NOUN
żółte/ADJ,znaki/NOUN,papieskie/ADJ
ubocznych/ADJ,objawów/NOUN,szkodliwych/ADJ
jednoosobową/ADJ,instytucją/NOUN,kulturalną/ADJ
szerokie/ADJ,kompetencje/NOUN,administracyjne/ADJ
tragicznym/ADJ,wypadku/NOUN,samochodowym/ADJ
przekaźnikową/ADJ,stację/NOUN,radiową/ADJ
Centralnego/ADJ,Biura/NOUN,Śledczego/ADJ
Włoskie/ADJ,agencje/NOUN,prasowe/ADJ
cała/ADJ,śląska/ADJ,policja/NOUN
cywilny/ADJ,Wydział/NOUN,Lekarski/ADJ
pełnym/ADJ,składzie/NOUN,ligowym/ADJ
wielki/ADJ,dyskomfort/NOUN,psychiczny/ADJ
warunkowe/ADJ,przedterminowe/ADJ,zwolnienie/NOUN
wybitnych/ADJ,architektów/NOUN,współczesnych/ADJ
ustronnym/ADJ,włoskim/ADJ,klasztorze/NOUN
II/ADJ,Wydział/NOUN,Polityczny/ADJ
znany/ADJ,prezenter/NOUN,telewizyjny/ADJ
stałe/ADJ,zespoły/NOUN,muzyczne/ADJ
czarnej/ADJ,skórkowej/ADJ,rękawiczce/NOUN
poważnego/ADJ,urazu/NOUN,wewnętrznego/ADJ
znana/ADJ,plastyczka/NOUN,olsztyńska/ADJ
waszyngtońskiej/ADJ,scenie/NOUN,politycznej/ADJ
nowych/ADJ,władz/NOUN,algierskich/ADJ
rodzimi/ADJ,arabscy/ADJ,mieszkańcy/NOUN
tytułowego/ADJ,ostatniego/ADJ,władcy/NOUN
ogromnych/ADJ,bolesnych/ADJ,oczach/NOUN
obłej/ADJ,czerwonej/ADJ,słuchawce/NOUN
prymitywnych/ADJ,filmikach/NOUN,amerykańskich/ADJ
odpowiedniej/ADJ,polityki/NOUN,informacyjnej/ADJ
krajowy/ADJ,przemysł/NOUN,farmaceutyczny/ADJ
kolejna/ADJ,porażka/NOUN,kadrowa/ADJ
złośliwe/ADJ,przedmioty/NOUN,martwe/ADJ
pełnym/ADJ,wyborczym/ADJ,sukcesie/NOUN
okazały/ADJ,marmurowy/ADJ,pomnik/NOUN
sprawnymi/ADJ,kanałami/NOUN,kolportażowymi/ADJ
I/ADJ,wojna/NOUN,światowa/ADJ
japońskich/ADJ,przedsiębiorstw/NOUN,kolejowych/ADJ
eleganckie/ADJ,życie/NOUN,poplażowe/ADJ
niezłą/ADJ,tanią/ADJ,vectrę/NOUN
szarym/ADJ,drewnianym/ADJ,domem/NOUN
różnych/ADJ,prac/NOUN,domowych/ADJ
specjalny/ADJ,dodatkowy/ADJ,meldunek/NOUN
nowe/ADJ,nastawienie/NOUN,polskie/ADJ
rurki/NOUN,szklane/ADJ,cylindryczne/ADJ
wyższą/ADJ,akademię/NOUN,talmudyczną/ADJ
ciche/ADJ,niedzielne/ADJ,popołudnie/NOUN
gdyński/ADJ,Szpital/NOUN,Miejski/ADJ
inna/ADJ,lokata/NOUN,giełdowa/ADJ
prywatnej/ADJ,opieki/NOUN,zdrowotnej/ADJ
Były/ADJ,drugi/ADJ,trener/NOUN
intensywne/ADJ,przygotowania/NOUN,organizacyjne/ADJ
jedyne/ADJ,logiczne/ADJ,wyjaśnienie/NOUN
niepodważalnych/ADJ,prawd/NOUN,węglowych/ADJ
całej/ADJ,wielkiej/ADJ,organizacji/NOUN
najgorszy/ADJ,wstrząs/NOUN,sejsmiczny/ADJ
największe/ADJ,inwestycje/NOUN,budżetowe/ADJ
ostatnią/ADJ,epokę/NOUN,lodową/ADJ
amatorskiej/ADJ,lidze/NOUN,małopolskiej/ADJ
stara/ADJ,piosenka/NOUN,miłosna/ADJ
zwykła/ADJ,ludzka/ADJ,zazdrość/NOUN
najprawdziwsze/ADJ,świadectwo/NOUN,maturalne/ADJ
izraelska/ADJ,akcja/NOUN,zbrojna/ADJ
górniczą/ADJ,spółką/NOUN,mieszkaniową/ADJ
Trzydzieste/ADJ,piąte/ADJ,Targi/NOUN
tajne/ADJ,wspólnoty/NOUN,religijne/ADJ
dwuletnią/ADJ,szkołę/NOUN,pomaturalną/ADJ
górnych/ADJ,dróg/NOUN,oddechowych/ADJ
wstydliwej/ADJ,rodzinnej/ADJ,tajemnicy/NOUN
niedoszłego/ADJ,dalszego/ADJ,ciągu/NOUN
własne/ADJ,przepisy/NOUN,karne/ADJ
Całe/ADJ,starostwo/NOUN,spiskie/ADJ
kolejnych/ADJ,zmian/NOUN,administracyjnych/ADJ
bocznych/ADJ,nawach/NOUN,kościelnych/ADJ
II/ADJ,wojny/NOUN,światowej/ADJ
II/ADJ,wojny/NOUN,światowej/ADJ
Gdańskiej/ADJ,Stoczni/NOUN,Remontowej/ADJ
cały/ADJ,pluton/NOUN,rotacyjny/ADJ
I/ADJ,lidze/NOUN,piłkarskiej/ADJ
bezpłatnych/ADJ,występów/NOUN,artystycznych/ADJ
innych/ADJ,spotkaniach/NOUN,towarzyskich/ADJ
Cały/ADJ,prawy/ADJ,błotnik/NOUN
prosty/ADJ,tutejszy/ADJ,lud/NOUN
pierwszych/ADJ,tegorocznych/ADJ,mrozów/NOUN
stare/ADJ,pieśni/NOUN,kościelne/ADJ
wczesnych/ADJ,godzinach/NOUN,popołudniowych/ADJ
katakumbowego/ADJ,życia/NOUN,religijnego/ADJ
tegorocznym/ADJ,VIII/ADJ,turnieju/NOUN
duży/ADJ,sektor/NOUN,socjalistyczny/ADJ
cienka/ADJ,warstwa/NOUN,podskórna/ADJ
całym/ADJ,powiecie/NOUN,kwidzyńskim/ADJ
kolorowych/ADJ,łowickich/ADJ,wełniakach/NOUN
zachodnich/ADJ,przejściach/NOUN,granicznych/ADJ
wysoki/ADJ,poziom/NOUN,artystyczny/ADJ
jeden/ADJ,wielki/ADJ,smród/NOUN
państwową/ADJ,jednostką/NOUN,organizacyjną/ADJ
oficjalnej/ADJ,wersji/NOUN,radzieckiej/ADJ
ostry/ADJ,alkoholowy/ADJ,zapach/NOUN
lyrijski/ADJ,orzeł/NOUN,czarny/ADJ
rivskie/ADJ,rauty/NOUN,czerwone/ADJ
typowe/ADJ,pieskie/ADJ,życie/NOUN
pierwszym/ADJ,krótkim/ADJ,spotkaniu/NOUN
cała/ADJ,armia/NOUN,etolska/ADJ
piękną/ADJ,zachodnią/ADJ,ścianę/NOUN
Współczesne/ADJ,trendy/NOUN,cywilizacyjne/ADJ
srebrnym/ADJ,terenowym/ADJ,samochodzie/NOUN
trzecią/ADJ,próbę/NOUN,generalną/ADJ
Stołecznego/ADJ,Zakładu/NOUN,Energetycznego/ADJ
Matki/NOUN,Bożej/ADJ,Jasnogórskiej/ADJ
najważniejszych/ADJ,nazistowskich/ADJ,zbrodniarzy/NOUN
olbrzymie/ADJ,srebrzyste/ADJ,cygara/NOUN
własnych/ADJ,erotycznych/ADJ,skojarzeń/NOUN
najwcześniejszy/ADJ,letni/ADJ,ranek/NOUN
małej/ADJ,wioskowej/ADJ,świątyni/NOUN
półmetrowych/ADJ,nożach/NOUN,kuchennych/ADJ
kolejna/ADJ,bezsenna/ADJ,noc/NOUN
ostatnich/ADJ,wyborach/NOUN,samorządowych/ADJ
kolorowe/ADJ,neony/NOUN,świąteczne/ADJ
sporą/ADJ,wartość/NOUN,historyczną/ADJ
innych/ADJ,polskich/ADJ,himalaistów/NOUN
lubelskiego/ADJ,zespołu/NOUN,hiphopowego/ADJ
całe/ADJ,odrębne/ADJ,królestwo/NOUN
