aliança/NOUN,militar/ADJ,ocidental/ADJ
seleção/NOUN,brasileira/ADJ,feminina/ADJ
novas/ADJ,opções/NOUN,noturnas/ADJ
humilde/ADJ,compulsão/NOUN,passiva/ADJ
último/ADJ,verão/NOUN,americano/ADJ
intervenção/NOUN,diplomática/ADJ,russa/ADJ
maior/ADJ,fabricante/NOUN,nacional/ADJ
segundo/ADJ,grau/NOUN,completo/ADJ
desumana/ADJ,cidade/NOUN,futurista/ADJ
rasas/ADJ,piscinas/NOUN,naturais/ADJ
novo/ADJ,título/NOUN,palmeirense/ADJ
bons/ADJ,jogadores/NOUN,brasileiros/ADJ
enorme/ADJ,caixa/NOUN,oca/ADJ
espírito/NOUN,militarista/ADJ,reinante/ADJ
única/ADJ,forma/NOUN,justa/ADJ
televisão/NOUN,pública/ADJ,francesa/ADJ
principais/ADJ,estações/NOUN,públicas/ADJ
bom/ADJ,volante/NOUN,eslovênio/ADJ
jogos/NOUN,cromáticos/ADJ,semilivres/ADJ
grande/ADJ,concentração/NOUN,eleitoral/ADJ
grande/ADJ,concentração/NOUN,eleitoral/ADJ
líderes/NOUN,rivais/ADJ,negros/ADJ
terceiro/ADJ,dia/NOUN,consecutivo/ADJ
longas/ADJ,pestanas/NOUN,sedosas/ADJ
próximo/ADJ,ciclo/NOUN,olímpico/ADJ
maior/ADJ,segurança/NOUN,instrumental/ADJ
mera/ADJ,excentricidade/NOUN,exibicionista/ADJ
mercado/NOUN,monetário/ADJ,interbancário/ADJ
défice/NOUN,comercial/ADJ,mensal/ADJ
principais/ADJ,preocupações/NOUN,médicas/ADJ
sinal/NOUN,vermelho/ADJ,seguinte/ADJ
actual/ADJ,capital/NOUN,social/ADJ
quarto/ADJ,canal/NOUN,português/ADJ
altas/ADJ,funções/NOUN,mentais/ADJ
hemisfério/NOUN,cerebral/ADJ,esquerdo/ADJ
ambiente/NOUN,prisional/ADJ,normal/ADJ
restante/ADJ,população/NOUN,prisional/ADJ
estabelecimento/NOUN,prisional/ADJ,especial/ADJ
douto/ADJ,professor/NOUN,universitário/ADJ
bons/ADJ,resultados/NOUN,práticos/ADJ
pequena/ADJ,comitiva/NOUN,vitoriana/ADJ
surdo/ADJ,sapateiro/NOUN,judeu/ADJ
principais/ADJ,dirigentes/NOUN,públicos/ADJ
significado/NOUN,político/ADJ,claro/ADJ
polémico/ADJ,acto/NOUN,administrativo/ADJ
vida/NOUN,política/ADJ,americana/ADJ
alta/ADJ,sociedade/NOUN,italiana/ADJ
excedente/NOUN,comercial/ADJ,japonês/ADJ
mercados/NOUN,públicos/ADJ,nipónicos/ADJ
comércio/NOUN,externo/ADJ,francês/ADJ
último/ADJ,saldo/NOUN,recorde/ADJ
grupo/NOUN,público/ADJ,italiano/ADJ
companhia/NOUN,aérea/ADJ,grega/ADJ
espaço/NOUN,sócio-económico/ADJ,português/ADJ
selecção/NOUN,feminina/ADJ,portuguesa/ADJ
primeiro/ADJ,fabricante/NOUN,mundial/ADJ
problemas/NOUN,demográficos/ADJ,reais/ADJ
importanle/ADJ,debate/NOUN,público/ADJ
nova/ADJ,residência/NOUN,paroquial/ADJ
pleno/ADJ,domínio/NOUN,suevo/ADJ
principais/ADJ,mercados/NOUN,asiáticos/ADJ
jovem/ADJ,grupo/NOUN,italiano/ADJ
artes/NOUN,marciais/ADJ,orientais/ADJ
adequadas/ADJ,condições/NOUN,institucionais/ADJ
domínio/NOUN,público/ADJ,marítimo/ADJ
inenarrável/ADJ,caos/NOUN,organizativo/ADJ
primeira/ADJ,grande/ADJ,surpresa/NOUN
autêntica/ADJ,fábrica/NOUN,ambulante/ADJ
novo/ADJ,arrojo/NOUN,italiano/ADJ
nova/ADJ,arma/NOUN,compacta/ADJ
médico/NOUN,veterinário/ADJ,coordenador/ADJ
programa/NOUN,sanitário/ADJ,anual/ADJ
situação/NOUN,política/ADJ,actual/ADJ
ajuda/NOUN,material/ADJ,estrangeira/ADJ
repartições/NOUN,eslovacas/ADJ,diferentes/ADJ
novo/ADJ,campeão/NOUN,nacional/ADJ
organização/NOUN,extremista/ADJ,wahabita/ADJ
boa/ADJ,forma/NOUN,física/ADJ
lei/NOUN,eleitoral/ADJ,hamburguesa/ADJ
mercado/NOUN,accionista/ADJ,local/ADJ
primeiros/ADJ,judeus/NOUN,sírios/ADJ
novo/ADJ,aeroporto/NOUN,internacional/ADJ
excelente/ADJ,situação/NOUN,financeira/ADJ
condições/NOUN,sociais/ADJ,mínimas/ADJ
bens/NOUN,públicos/ADJ,haitianos/ADJ
maior/ADJ,estabilidade/NOUN,cambial/ADJ
autoridades/NOUN,monetárias/ADJ,nacionais/ADJ
guerrilha/NOUN,fundamentalista/ADJ,islâmica/ADJ
guerrilha/NOUN,independentista/ADJ,muçulmana/ADJ
maior/ADJ,potência/NOUN,militar/ADJ
banco/NOUN,central/ADJ,alemão/ADJ
restantes/ADJ,resíduos/NOUN,domésticos/ADJ
prévio/ADJ,enquadramento/NOUN,histórico/ADJ
sofisticada/ADJ,linha/NOUN,italiana/ADJ
puro/ADJ,sumo/NOUN,pop/ADJ
sérios/ADJ,perigos/NOUN,políticos/ADJ
nova/ADJ,tempestade/NOUN,cambial/ADJ
terceiro/ADJ,maior/ADJ,orçamento/NOUN
fato/NOUN,azul/ADJ,escuro/ADJ
cinema/NOUN,documental/ADJ,asiático/ADJ
grande/ADJ,escola/NOUN,iniciática/ADJ
produto/NOUN,interno/ADJ,bruto/ADJ
territórios/NOUN,palestinianos/ADJ,autónomos/ADJ
avião/NOUN,militar/ADJ,português/ADJ
único/ADJ,grupo/NOUN,português/ADJ
segunda/ADJ,rede/NOUN,digital/ADJ
governo/NOUN,regional/ADJ,madeirense/ADJ
sistema/NOUN,legal/ADJ,respectivos/ADJ
força/NOUN,expedicionária/ADJ,estrangeira/ADJ
novo/ADJ,impulso/NOUN,democrático/ADJ
primeiro/ADJ,debate/NOUN,televisivo/ADJ
movimento/NOUN,ecologista/ADJ,búlgaro/ADJ
mero/ADJ,acontecimento/NOUN,histórico/ADJ
esperada/ADJ,barracada/NOUN,musical/ADJ
reles/ADJ,mercado/NOUN,negro/ADJ
precioso/ADJ,quarto/ADJ,posto/NOUN
melhor/ADJ,tempo/NOUN,nacional/ADJ
aparente/ADJ,passagem/NOUN,calma/ADJ
inevitável/ADJ,cadeira/NOUN,eléctrica/ADJ
sistema/NOUN,educativo/ADJ,português/ADJ
classificação/NOUN,geral/ADJ,individual/ADJ
perigosos/ADJ,radicais/NOUN,socialistas/ADJ
necessárias/ADJ,reformas/NOUN,estruturais/ADJ
novas/ADJ,perspectivas/NOUN,financeiras/ADJ
vacina/NOUN,potencial/ADJ,utilizável/ADJ
forte/ADJ,tradição/NOUN,nortenha/ADJ
posições/NOUN,militares/ADJ,russas/ADJ
terceiro/ADJ,dia/NOUN,consecutivo/ADJ
maior/ADJ,aperto/NOUN,fiscal/ADJ
incidente/NOUN,fronteiriço/ADJ,grave/ADJ
guerra/NOUN,civil/ADJ,afegã/ADJ
poderosos/ADJ,efectivos/NOUN,militares/ADJ
regras/NOUN,éticas/ADJ,universais/ADJ
conflito/NOUN,militar/ADJ,premente/ADJ
futuros/ADJ,talentos/NOUN,croatas/ADJ
elevados/ADJ,encargos/NOUN,sociais/ADJ
movimento/NOUN,associativo/ADJ,universitário/ADJ
encargo/NOUN,médio/ADJ,mensal/ADJ
futura/ADJ,moeda/NOUN,europeia/ADJ
mesmo/ADJ,estatuto/NOUN,legal/ADJ
mês/NOUN,sagrado/ADJ,muçulmano/ADJ
calendário/NOUN,lunar/ADJ,islâmico/ADJ
estranha/ADJ,relação/NOUN,afectuosa/ADJ
horríveis/ADJ,autocarros/NOUN,lisboetas/ADJ
brilhante/ADJ,quinto/ADJ,lugar/NOUN
