Săraca/ADJ,găină/NOUN,sură/ADJ
verde/ADJ,măr/NOUN,domnesc/ADJ
brazi/NOUN,mândri/ADJ,rotați/ADJ
drăguța/ADJ,dalbă/ADJ,jupâneasă/NOUN
bălaur/NOUN,mare/ADJ,roșiu/ADJ
scaun/NOUN,mare/ADJ,alb/ADJ
naltă/ADJ,mîndrie/NOUN,nebunească/ADJ
Bună/ADJ,rudă/NOUN,mencenoasă/ADJ
bună/ADJ,rudă/NOUN,mencinoasă/ADJ
nemișcătoriu/ADJ,lucru/NOUN,strein/ADJ
haine/NOUN,scumpe/ADJ,domnești/ADJ
boiariu/NOUN,bătrân/ADJ,moldovan/ADJ
domnu/NOUN,mare/ADJ,leșescu/ADJ
puținte/ADJ,oaste/NOUN,căzăcească/ADJ
nuntă/NOUN,frumoasă/ADJ,domnească/ADJ
mare/ADJ,voie/NOUN,rea/ADJ
ursu/NOUN,mare/ADJ,groznic/ADJ
Sărmanul/ADJ,omul/NOUN,străin/ADJ
pecetluiri/NOUN,roșii/ADJ,domnești/ADJ
Bietul/ADJ,suflet/NOUN,deșert/ADJ
verde/ADJ,poamă/NOUN,neagră/ADJ
Pasăre/NOUN,albă/ADJ,zburătoare/ADJ
mueri/NOUN,jidovă/ADJ,credincioasă/ADJ
părinte/NOUN,bun/ADJ,sufletesc/ADJ
fapte/NOUN,bune/ADJ,creștinești/ADJ
necurăției/NOUN,trupești/ADJ,năprasnice/ADJ
Drăguţ/ADJ,sfîntul/ADJ,Soare/NOUN
Principalele/ADJ,grupuri/NOUN,politice/ADJ
asistenți/NOUN,maternali/ADJ,profesioniști/ADJ
vaccin/NOUN,monovalent/ADJ,adecvat/ADJ
informații/NOUN,pertinente/ADJ,disponibile/ADJ
cantităților/NOUN,limitate/ADJ,administrate/ADJ
alternative/NOUN,eficiente/ADJ,viabile/ADJ
produsele/NOUN,chimice/ADJ,exportate/ADJ
Literatura/NOUN,română/ADJ,modernă/ADJ
