детском/ADJ,фантастическом/ADJ,фильме/NOUN
Большое/ADJ,космическое/ADJ,путешествие/NOUN
Смазочно-охлаждающие/ADJ,технологические/ADJ,средства/NOUN
современной/ADJ,экономической/ADJ,теории/NOUN
особого/ADJ,ценообразующего/ADJ,фактора/NOUN
Активное/ADJ,грузовое/ADJ,движение/NOUN
Нижневолжскому/ADJ,бассейновому/ADJ,округу/NOUN
государственного/ADJ,водного/ADJ,реестра/NOUN
Первым/ADJ,письменным/ADJ,упоминанием/NOUN
Иргизском/ADJ,районном/ADJ,музее/NOUN
Буроголовый/ADJ,коровий/ADJ,трупиал/NOUN
скучный/ADJ,игровой/ADJ,процесс/NOUN
Великой/ADJ,Отечественной/ADJ,войны/NOUN
современные/ADJ,религиозно-духовные/ADJ,законы/NOUN
новый/ADJ,долгосрочный/ADJ,контракт/NOUN
дальнейшего/ADJ,математического/ADJ,изучения/NOUN
неблаговидными/ADJ,денежными/ADJ,спекуляциями/NOUN
Лубновского/ADJ,сельского/ADJ,поселения/NOUN
соцреалистического/ADJ,советского/ADJ,направления/NOUN
первых/ADJ,многопартийных/ADJ,выборов/NOUN
хронической/ADJ,обструктивной/ADJ,болезни/NOUN
Юго-Западном/ADJ,административном/ADJ,округе/NOUN
голубой/ADJ,механический/ADJ,костюм/NOUN
вторым/ADJ,полноценным/ADJ,альбомом/NOUN
второй/ADJ,полноценный/ADJ,альбом/NOUN
ключевым/ADJ,музыкальным/ADJ,впечатлением/NOUN
атомным/ADJ,энергетическим/ADJ,установкам/NOUN
последней/ADJ,организационной/ADJ,структуры/NOUN
одноименным/ADJ,теоретическим/ADJ,трактатом/NOUN
чёрными/ADJ,косыми/ADJ,полосами/NOUN
Московский/ADJ,авиационный/ADJ,институт/NOUN
лучшую/ADJ,мужскую/ADJ,роль/NOUN
надоедливыми/ADJ,восточными/ADJ,родственниками/NOUN
недалекого/ADJ,бельгийского/ADJ,чиновника/NOUN
британских/ADJ,колониальных/ADJ,войск/NOUN
железный/ADJ,Кульмский/ADJ,крест/NOUN
специальное/ADJ,автобусное/ADJ,шасси/NOUN
Современная/ADJ,эволюционная/ADJ,палеонтология/NOUN
5-я/ADJ,артиллерийская/ADJ,дивизия/NOUN
4-й/ADJ,артиллерийский/ADJ,корпус/NOUN
8-я/ADJ,гвардейская/ADJ,армия/NOUN
Твердото́пливный/ADJ,раке́тный/ADJ,дви́гатель/NOUN
Регионального/ADJ,информационно-инновационный/ADJ,центр/NOUN
стабильный/ADJ,вспомогательный/ADJ,сигнал/NOUN
Второй/ADJ,мировой/ADJ,войны/NOUN
Парижской/ADJ,мирной/ADJ,конференции/NOUN
больший/ADJ,крутящий/ADJ,момент/NOUN
льстивые/ADJ,хитрые/ADJ,рабы/NOUN
симметричными/ADJ,апсидальным/ADJ,алтарем/NOUN
однокупольное/ADJ,каменное/ADJ,здание/NOUN
основные/ADJ,тамильские/ADJ,партии/NOUN
Национальный/ADJ,Исполнительный/ADJ,Комитет/NOUN
потенциальных/ADJ,военных/ADJ,судов/NOUN
Двинско-Печорскому/ADJ,бассейновому/ADJ,округу/NOUN
государственного/ADJ,водного/ADJ,реестра/NOUN
турецкий/ADJ,футбольный/ADJ,клуб/NOUN
Рижской/ADJ,автобусной/ADJ,фабрикой/NOUN
активную/ADJ,организаторскую/ADJ,работу/NOUN
юный/ADJ,советский/ADJ,гребец/NOUN
новые/ADJ,просторные/ADJ,квартиры/NOUN
следующему/ADJ,разностному/ADJ,уравнению/NOUN
Национальный/ADJ,олимпийский/ADJ,комитет/NOUN
американской/ADJ,автомобильной/ADJ,промышленности/NOUN
Первой/ADJ,футбольной/ADJ,командой/NOUN
других/ADJ,жестовых/ADJ,языка/NOUN
электронной/ADJ,технической/ADJ,документации/NOUN
следующие/ADJ,основные/ADJ,классификации/NOUN
венгерскую/ADJ,наёмную/ADJ,конницу/NOUN
французский/ADJ,политический/ADJ,деятель/NOUN
итоговое/ADJ,11-е/ADJ,место/NOUN
государственного/ADJ,водного/ADJ,реестра/NOUN
Балтийскому/ADJ,бассейновому/ADJ,округу/NOUN
следующие/ADJ,населённые/ADJ,пункты/NOUN
шотландского/ADJ,национального/ADJ,движения/NOUN
других/ADJ,европейских/ADJ,городах/NOUN
67-й/ADJ,отдельной/ADJ,бригады/NOUN
Прекрасный/ADJ,весенний/ADJ,день/NOUN
XV/ADJ,международного/ADJ,фестиваля/NOUN
1-й/ADJ,пехотной/ADJ,дивизией/NOUN
наружного/ADJ,хитинового/ADJ,покрова/NOUN
внутренней/ADJ,хитиновой/ADJ,выстилки/NOUN
кенийской/ADJ,эстафетной/ADJ,команды/NOUN
других/ADJ,фашистских/ADJ,идеологов/NOUN
недостаточного/ADJ,технического/ADJ,совершенства/NOUN
многие/ADJ,американские/ADJ,ЗРК/NOUN
крупнейших/ADJ,бразильских/ADJ,писателей/NOUN
знаменитый/ADJ,Румскулльский/ADJ,дуб/NOUN
обширной/ADJ,частной/ADJ,практики/NOUN
Украинской/ADJ,православной/ADJ,церкви/NOUN
частных/ADJ,домашних/ADJ,хозяйств/NOUN
талантливым/ADJ,начинающим/ADJ,поэтам/NOUN
канонический/ADJ,латинский/ADJ,текст/NOUN
первый/ADJ,рекрутский/ADJ,набор/NOUN
православным/ADJ,деревянный/ADJ,храмом/NOUN
Второй/ADJ,мировой/ADJ,войне/NOUN
Балтийской/ADJ,морской/ADJ,дивизии/NOUN
Основным/ADJ,финансовым/ADJ,показателем/NOUN
Великой/ADJ,Отечественной/ADJ,войны/NOUN
молодыми/ADJ,еврейскими/ADJ,переселенцами/NOUN
многочисленными/ADJ,длинными/ADJ,тычинками/NOUN
основным/ADJ,внешнеторговым/ADJ,партнером/NOUN
Борисоглебской/ADJ,районной/ADJ,газеты/NOUN
многочисленные/ADJ,сатирические/ADJ,диалоги/NOUN
гностических/ADJ,апокрифических/ADJ,евангелий/NOUN
Новосибирское/ADJ,пехотное/ADJ,училище/NOUN
Последнее/ADJ,крупное/ADJ,землетрясение/NOUN
Ленинградский/ADJ,металлургический/ADJ,техникум/NOUN
Мещанский/ADJ,межмуниципальный/ADJ,суд/NOUN
первую/ADJ,математическую/ADJ,работу/NOUN
капитальных/ADJ,церковных/ADJ,зданий/NOUN
последних/ADJ,крупных/ADJ,стартов/NOUN
торжественный/ADJ,новогодний/ADJ,молебен/NOUN
потомственный/ADJ,почётный/ADJ,гражданин/NOUN
сербского/ADJ,национально-освободительного/ADJ,движения/NOUN
внешняя/ADJ,западная/ADJ,окраина/NOUN
симметричной/ADJ,троичной/ADJ,системы/NOUN
двоичных/ADJ,полных/ADJ,сумматорах/NOUN
Государственный/ADJ,геральдический/ADJ,регистр/NOUN
светлому/ADJ,спектральному/ADJ,классу/NOUN
Нового/ADJ,общего/ADJ,каталога/NOUN
3-го/ADJ,артиллерийского/ADJ,полка/NOUN
Великой/ADJ,Отечественной/ADJ,войны/NOUN
других/ADJ,выдающихся/ADJ,произведений/NOUN
российский/ADJ,футбольный/ADJ,клуб/NOUN
первое/ADJ,постоянное/ADJ,поселение/NOUN
Пресненской/ADJ,районной/ADJ,думы/NOUN
новому/ADJ,административному/ADJ,делению/NOUN
Токмансайского/ADJ,сельского/ADJ,округа/NOUN
миниатюрный/ADJ,самоходный/ADJ,робот/NOUN
российской/ADJ,телекоммуникационной/ADJ,компании/NOUN
определенному/ADJ,психологическому/ADJ,аспекту/NOUN
резервного/ADJ,стрелкового/ADJ,корпуса/NOUN
другие/ADJ,постные/ADJ,дни/NOUN
японской/ADJ,силлабической/ADJ,азбуки/NOUN
низших/ADJ,американских/ADJ,лиг/NOUN
сложные/ADJ,геометрические/ADJ,фигуры/NOUN
других/ADJ,населённых/ADJ,пунктов/NOUN
Государственный/ADJ,геральдический/ADJ,регистр/NOUN
соответствующего/ADJ,законодательного/ADJ,закрепления/NOUN
первый/ADJ,финский/ADJ,театр/NOUN
первой/ADJ,финской/ADJ,гимназии/NOUN
громадной/ADJ,золотой/ADJ,статуе/NOUN
традиционной/ADJ,еврейской/ADJ,семье/NOUN
Первое/ADJ,топографическое/ADJ,изображение/NOUN
Иртышскому/ADJ,бассейновому/ADJ,округу/NOUN
государственного/ADJ,водного/ADJ,реестра/NOUN
индийских/ADJ,легковых/ADJ,автомобилей/NOUN
Первый/ADJ,официальный/ADJ,матч/NOUN
левая/ADJ,политическая/ADJ,партия/NOUN
Народная/ADJ,прогрессивная/ADJ,партия/NOUN
Бахмутское/ADJ,духовное/ADJ,училище/NOUN
русской/ADJ,корабельной/ADJ,артиллерии/NOUN
Московской/ADJ,Хельсинской/ADJ,группы/NOUN
коллективный/ADJ,депутатский/ADJ,запрос/NOUN
многие/ADJ,мелкие/ADJ,производства/NOUN
Чувашское/ADJ,книжное/ADJ,издательство/NOUN
Государственный/ADJ,геральдический/ADJ,регистр/NOUN
Воронежского/ADJ,сельскохозяйственного/ADJ,института/NOUN
Усманского/ADJ,сельскохозяйственного/ADJ,техникума/NOUN
Камскому/ADJ,бассейновому/ADJ,округу/NOUN
государственного/ADJ,водного/ADJ,реестра/NOUN
единая/ADJ,организационная/ADJ,единица/NOUN
3-й/ADJ,механизированный/ADJ,корпус/NOUN
7-я/ADJ,танковая/ADJ,дивизия/NOUN
20-я/ADJ,танковая/ADJ,дивизия/NOUN
5-я/ADJ,танковая/ADJ,дивизия/NOUN
мощное/ADJ,танковое/ADJ,соединение/NOUN
мобильных/ADJ,операционных/ADJ,системах/NOUN
Всемирной/ADJ,Исламской/ADJ,конференции/NOUN
бразильский/ADJ,Центральный/ADJ,банк/NOUN
