Ďalšou/ADJ,dôležitou/ADJ,témou/NOUN
Poslednému/ADJ,republikánskemu/ADJ,kandidátovi/NOUN
hlavného/ADJ,štátneho/ADJ,sponzora/NOUN
novú/ADJ,permanentnú/ADJ,ústavu/NOUN
černobyľskej/ADJ,jadrovej/ADJ,elektrárni/NOUN
najhoršiu/ADJ,jadrovú/ADJ,haváriu/NOUN
novú/ADJ,Imperiálnu/ADJ,radu/NOUN
sultánovho/ADJ,osobného/ADJ,tajomníka/NOUN
vonkajšom/ADJ,prvom/ADJ,nádvorí/NOUN
rozvrátenej/ADJ,osmanskej/ADJ,armáde/NOUN
Ďalšia/ADJ,balkánska/ADJ,cesta/NOUN
balkánskeho/ADJ,feudálneho/ADJ,separatizmu/NOUN
ďalších/ADJ,pravoslávnych/ADJ,poddaných/NOUN
Dobrodružná/ADJ,Ypsilantiho/ADJ,akcia/NOUN
ďalší/ADJ,ortodoxní/ADJ,biskupi/NOUN
tradičným/ADJ,osmanským/ADJ,plukom/NOUN
Modernizovaná/ADJ,vojenská/ADJ,mašinéria/NOUN
sultánove/ADJ,európske/ADJ,odievanie/NOUN
Izolované/ADJ,grécke/ADJ,posádky/NOUN
mocná/ADJ,protiturecká/ADJ,koalícia/NOUN
pruskými/ADJ,vojenskými/ADJ,poradcami/NOUN
druhé/ADJ,sýrske/ADJ,ťaženie/NOUN
vlaňajšej/ADJ,inkognito/ADJ,návšteve/NOUN
vtedajšej/ADJ,všeobecnej/ADJ,nespokojnosti/NOUN
mníšskych/ADJ,rytierskych/ADJ,rádov/NOUN
Kimovej/ADJ,minuloročnej/ADJ,cesty/NOUN
najbližší/ADJ,mužský/ADJ,príbuzný/NOUN
prostredného/ADJ,kráľovho/ADJ,syna/NOUN
určitým/ADJ,dynastickým/ADJ,zmätkom/NOUN
Prvou/ADJ,Kimovou/ADJ,zástavkou/NOUN
vysokopostavených/ADJ,severokórejských/ADJ,činiteľov/NOUN
Ľudovítova/ADJ,staršia/ADJ,sestra/NOUN
doznievajúcej/ADJ,neskorej/ADJ,antiky/NOUN
Sovietska/ADJ,okupačná/ADJ,zóna/NOUN
prvým/ADJ,rímskym/ADJ,imperátorom/NOUN
