pochowane/ADJ,byče/ADJ,nopy/NOUN
wumodelowane/ADJ,žónske/ADJ,figuriny/NOUN
Namakane/ADJ,obsidianowe/ADJ,brjenki/NOUN
francoskemu/ADJ,kolonialnemu/ADJ,knjejstwu/NOUN
dólne/ADJ,nakromne/ADJ,kónčiny/NOUN
wažny/ADJ,cyrkwinski/ADJ,swjedźeń/NOUN
ludowy/ADJ,cyrobowy/ADJ,srědk/NOUN
historiske/ADJ,stawizniske/ADJ,zapřijeće/NOUN
Serbska/ADJ,centralna/ADJ,biblioteka/NOUN
cyłeje/ADJ,serbskorěčneje/ADJ,literatury/NOUN
Serbskeje/ADJ,centralneje/ADJ,biblioteki/NOUN
Serbska/ADJ,centralna/ADJ,biblioteka/NOUN
wupožčene/ADJ,informaciske/ADJ,žórła/NOUN
wědomostnych/ADJ,pomocnych/ADJ,srědkow/NOUN
cyłym/ADJ,Płódnym/ADJ,měsačku/NOUN
najrozdźělnišich/ADJ,aramejskich/ADJ,kmjenow/NOUN
najwyšich/ADJ,politiskich/ADJ,institucijow/NOUN
ćeńkeho/ADJ,drjewjaneho/ADJ,kuska/NOUN
mjechkeje/ADJ,hlinjaneje/ADJ,tafle/NOUN
wjacore/ADJ,pochadowe/ADJ,linije/NOUN
Rozhałžkowany/ADJ,kanalowy/ADJ,system/NOUN
wulki/ADJ,zarjadniski/ADJ,aparat/NOUN
druhimi/ADJ,wědomostnymi/ADJ,zarjadnišćemi/NOUN
wulke/ADJ,wikowanske/ADJ,předewzaća/NOUN
dalša/ADJ,awtochtona/ADJ,rěč/NOUN
mjezynarodny/ADJ,prózdninski/ADJ,kurs/NOUN
kulturelny/ADJ,kontinent/NOUN,wobhladany/ADJ
Prěnju/ADJ,serbsku/ADJ,bibliografiju/NOUN
Lětne/ADJ,wuběrkowe/ADJ,bibliografije/NOUN
serbskemu/ADJ,sydlenskemu/ADJ,rumej/NOUN
wažne/ADJ,serbskorěčne/ADJ,title/NOUN
druhe/ADJ,regionalnohistoriske/ADJ,wobłuki/NOUN
aktualnych/ADJ,sorabistiskich/ADJ,titlow/NOUN
wulke/ADJ,wikowanske/ADJ,předewzaća/NOUN
normalny/ADJ,wodźikowy/ADJ,atom/NOUN
kruty/ADJ,poćahowy/ADJ,dypk/NOUN
Klemenowu/ADJ,třeću/ADJ,zběrkow/NOUN
Wojerowskeho/ADJ,wuměłskeho/ADJ,zwjazka/NOUN
nowy/ADJ,šleski/ADJ,alfabet/NOUN
pjaty/ADJ,najwjetše/ADJ,město/NOUN
prěnje/ADJ,ratarkse/ADJ,činitosće/NOUN
dołhi/ADJ,wuwiwanski/ADJ,proces/NOUN
wjacore/ADJ,rědke/ADJ,kajkosće/NOUN
sylnu/ADJ,powjerchowu/ADJ,napjatosć/NOUN
wysoku/ADJ,specifisku/ADJ,ćopłotu/NOUN
něhdyšej/ADJ,romskej/ADJ,protyce/NOUN
Serbski/ADJ,kulturny/ADJ,archiw/NOUN
narodnostnych/ADJ,zwjazkowych/ADJ,statow/NOUN
Najwažniša/ADJ,hospodarska/ADJ,hałza/NOUN
něhdyši/ADJ,wójnski/ADJ,wjednik/NOUN
chemiske/ADJ,wzajomne/ADJ,skutkowanje/NOUN
eksternymi/ADJ,chemiskimi/ADJ,wěcami/NOUN
Salzburgske/ADJ,stare/ADJ,město/NOUN
Druhu/ADJ,swětowu/ADJ,wójnu/NOUN
bipolarneho/ADJ,swětoweho/ADJ,porjada/NOUN
štwórta/ADJ,najwjetša/ADJ,kupa/NOUN
dotalnych/ADJ,słownikarskich/ADJ,projektow/NOUN
prěnje/ADJ,wulke/ADJ,mócnarstwo/NOUN
europskeho/ADJ,dobreho/ADJ,winowca/NOUN
dobywanske/ADJ,wójnske/ADJ,wuprawy/NOUN
sumeriske/ADJ,měšćanske/ADJ,staty/NOUN
oficijalnych/ADJ,južnoafriskich/ADJ,rěčow/NOUN
prěnich/ADJ,traděrowanych/ADJ,zběrkow/NOUN
jeničku/ADJ,zarjadnisku/ADJ,rěč/NOUN
florěrowace/ADJ,mórske/ADJ,wikowanje/NOUN
germanskich/ADJ,sylnych/ADJ,werbow/NOUN
wyši/ADJ,škrějny/ADJ,dypk/NOUN
kinetiski/ADJ,izotopowy/ADJ,efekt/NOUN
wulkeje/ADJ,masoweje/ADJ,diferency/NOUN
wužiwaneho/ADJ,syćoweho/ADJ,wobhladowaka/NOUN
prěnjemu/ADJ,protykowemu/ADJ,tydźenju/NOUN
profesionalny/ADJ,marxistiski/ADJ,rewolucionar/NOUN
druhich/ADJ,słowjanskich/ADJ,ludow/NOUN
sylneje/ADJ,powjerchoweje/ADJ,napjatosće/NOUN
sumeriskemu/ADJ,klinowemu/ADJ,pismu/NOUN
nowych/ADJ,fylogenetiskich/ADJ,spóznaćach/NOUN
mezopotamiskich/ADJ,jadrowych/ADJ,krajow/NOUN
dalokosahace/ADJ,politiske/ADJ,poćahi/NOUN
zažne/ADJ,persiske/ADJ,mócnarstwo/NOUN
prěni/ADJ,naslědny/ADJ,stat/NOUN
třeće/ADJ,najwjetše/ADJ,město/NOUN
dwanate/ADJ,najwjetše/ADJ,město/NOUN
europskeho/ADJ,dźěłaćerskeho/ADJ,hibanja/NOUN
rozsudna/ADJ,proletariska/ADJ,internacionalistka/NOUN
druhi/ADJ,dešćowy/ADJ,čas/NOUN
charakteristisku/ADJ,wjeleworštowu/ADJ,strukturu/NOUN
Druhej/ADJ,swětowej/ADJ,wójnje/NOUN
assyriski/ADJ,mócnarski/ADJ,wobwod/NOUN
posledni/ADJ,wuznamny/ADJ,knježićel/NOUN
pozdźiše/ADJ,wikowanske/ADJ,poćahi/NOUN
dalši/ADJ,nomadny/ADJ,lud/NOUN
Druheje/ADJ,swětoweje/ADJ,wójny/NOUN
sylnych/ADJ,wodźikowych/ADJ,wjazbow/NOUN
prěnje/ADJ,žiwe/ADJ,organizmy/NOUN
mjezynarodny/ADJ,fotowy/ADJ,model/NOUN
wšelake/ADJ,zwukowe/ADJ,přesunjenja/NOUN
wažnych/ADJ,wikowanskich/ADJ,pućach/NOUN
přupućowacy/ADJ,hórski/ADJ,lud/NOUN
Prěnje/ADJ,pisomne/ADJ,dopokazy/NOUN
