اقلیتی/ADJ,مالیاتی/ADJ,کارپوریشن/NOUN
دوسری/ADJ,سرکاری/ADJ,زبان/NOUN
خصوصی/ADJ,تحقیقاتی/ADJ,ٹیم/NOUN
سینئیر/ADJ,کانگریسی/ADJ,قائدین/NOUN
جاریہ/ADJ,ضمنی/ADJ,انتخابات/NOUN
دوسری/ADJ,فرقہ_پرست/ADJ,جماعتوں/NOUN
مکمل/ADJ,تعلیمی/ADJ,فیس/NOUN
مرکزی/ADJ,سیکوریٹی/ADJ,اداروں/NOUN
تازہ_ترین/ADJ,رہنما/ADJ,خطوط/NOUN
مرکزی/ADJ,سیکوریٹی/ADJ,اداروں/NOUN
خصوصی/ADJ,معاشی/ADJ,زون/NOUN
گھنے/ADJ,جنگلاتی/ADJ,علاقوں/NOUN
فضائی/ADJ,تلاشی/ADJ,مہم/NOUN
فضائی/ADJ,تلاشی/ADJ,مہم/NOUN
خصوصی/ADJ,راڈر/ADJ,نظام/NOUN
گھنے/ADJ,جنگلاتی/ADJ,علاقوں/NOUN
بیشتر/ADJ,غیرضروری/ADJ,اخراجات/NOUN
باضابطہ/ADJ,سرکاری/ADJ,موقف/NOUN
درجنوں/ADJ,باغی/ADJ,کارکن/NOUN
بدترین/ADJ,معاشی/ADJ,بحران/NOUN
تمام/ADJ,مغرب_نواز/ADJ,ڈکٹیٹرس/NOUN
ماتم_کناں/ADJ,مسلم/ADJ,قوم/NOUN
بااثر/ADJ,سیاسی/ADJ,شخصیتوں/NOUN
حریف/ADJ,فلسطینی/ADJ,گروہوں/NOUN
سرکاری/ADJ,خبررساں/ADJ,ادارہ/NOUN
دیگر/ADJ,ضروری/ADJ,امور/NOUN
ہندوستانی/ADJ,تجارتی/ADJ,وفد/NOUN
باہمی/ADJ,دوستانہ/ADJ,روابط/NOUN
مشرقی/ADJ,صحرائی/ADJ,شہر/NOUN
اہم/ADJ,اتحادی/ADJ,ممالک/NOUN
نیم/ADJ,طبی/ADJ,عملہ/NOUN
ہنگامی/ADJ,مرکزی/ADJ,امداد/NOUN
مسلسل/ADJ,دوسرا/ADJ,سال/NOUN
ہندوستانی/ADJ,قومی/ADJ,حکومت/NOUN
متعلقہ/ADJ,انسانی/ADJ,حقوق/NOUN
نئے/ADJ,خصوصی/ADJ,نمائندے/NOUN
سخت/ADJ,ناموافق/ADJ,حالات/NOUN
سابق/ADJ,ہندوستانی/ADJ,کپتان/NOUN
ہندوستانی/ADJ,صنعت_کار/ADJ,شوہر/NOUN
سابق/ADJ,سری_لنکائی/ADJ,کپتان/NOUN
بےشمار/ADJ,بہترین/ADJ,کرکٹرس/NOUN
خصوصی/ADJ,مکمل/ADJ,بینچ/NOUN
غیرامتیازی/ADJ,تجارتی/ADJ,دور/NOUN
گرمائی/ADJ,دینی/ADJ,کلاسیس/NOUN
ریگولر/ADJ,سرکاری/ADJ,ٹیچر/NOUN
حریف/ADJ,سیاسی/ADJ,جماعت/NOUN
بالکلیہ/ADJ,عوامی/ADJ,مسئلہ/NOUN
امریکی/ADJ,فوجی/ADJ,انٹلیجنس/NOUN
غیرقانونی/ADJ,طویل/ADJ,مدت/NOUN
دیگر/ADJ,خارجی/ADJ,پالیسیوں/NOUN
امریکی/ADJ,بدنام/ADJ,جیلوں/NOUN
مجوزہ/ADJ,پارلیمانی/ADJ,انتخابات/NOUN
مختلف/ADJ,کیمیکل/ADJ,اجزاء/NOUN
خصوصی/ADJ,امتحانی/ADJ,نتائج/NOUN
امریکی/ADJ,فوجی/ADJ,امداد/NOUN
سابق/ADJ,زرعی/ADJ,مارکٹ/NOUN
دیگر/ADJ,غریب/ADJ,افراد/NOUN
ممکنہ/ADJ,جانی/ADJ,نقصان/NOUN
مخالف/ADJ,تلنگانہ/ADJ,قائدین/NOUN
واحد/ADJ,مواصلاتی/ADJ,رابطہ/NOUN
سخت/ADJ,عملی/ADJ,محنت/NOUN
ہارے/ADJ,جیتے/ADJ,امیدواروں/NOUN
فوت_شدہ/ADJ,منتخبہ/ADJ,فہرست/NOUN
ریاستی/ADJ,چینی/ADJ,امور/NOUN
سابق/ADJ,عالمی/ADJ,نمبر/NOUN
غیر_اخلاقی/ADJ,انسانی/ADJ,تجارت/NOUN
علاقائی/ADJ,صیانتی/ADJ,مسائل/NOUN
تیزرفتار/ADJ,متحرک/ADJ,چیزوں/NOUN
آٹھویں/ADJ,قانون۔ساز/ADJ,اسمبلی/NOUN
دوسری/ADJ,بڑی/ADJ,لعنت/NOUN
قیمتی/ADJ,انسانی/ADJ,جانوں/NOUN
منعقدہ/ADJ,ضمنی/ADJ,چناؤ/NOUN
قائم/ADJ,دیہی/ADJ,علاقوں/NOUN
دیگر/ADJ,اہم/ADJ,عہدوں/NOUN
پہلے/ADJ,سکھ/ADJ,وزیر/NOUN
دیگر/ADJ,اہم/ADJ,عہدوں/NOUN
لڑاکا/ADJ,بغیر/ADJ,پائلٹ/NOUN
پاکستانی/ADJ,فوجی/ADJ,کارروائی/NOUN
اعلیٰ/ADJ,سطحی/ADJ,قائدین/NOUN
قدیم/ADJ,سرکاری/ADJ,دواخانہ/NOUN
مذکورہ/ADJ,نئی/ADJ,بس/NOUN
سابق/ADJ,مرکزی/ADJ,وزیر/NOUN
سابق/ADJ,مرکزی/ADJ,وزیر/NOUN
سابق/ADJ,مرکزی/ADJ,وزیر/NOUN
علیحدہ/ADJ,سیاسی/ADJ,جماعت/NOUN
ضمنی/ADJ,انتخابی/ADJ,نتائج/NOUN
ہر/ADJ,ممکن/ADJ,کوشش/NOUN
چاروں/ADJ,میزبان/ADJ,ملکوں/NOUN
خودساختہ/ADJ,علاقائی/ADJ,کمانڈر/NOUN
لاپتہ/ADJ,کشمیری/ADJ,پنڈت/NOUN
سہ_فریقی/ADJ,مصالحتی/ADJ,مذاکرات/NOUN
عام/ADJ,نوجوان/ADJ,لڑکیوں/NOUN
دوسرا/ADJ,بڑا/ADJ,شعبہ/NOUN
دوسرے/ADJ,بڑے/ADJ,شعبہ/NOUN
دوسرا/ADJ,بڑا/ADJ,شعبہ/NOUN
واحد/ADJ,مشترک/ADJ,بات/NOUN
سابق/ADJ,عالمی/ADJ,نمبر/NOUN
پہلے/ADJ,بھائی/ADJ,بہن/NOUN
پچھلے/ADJ,مالی/ADJ,سال/NOUN
مشہور/ADJ,غیرمسلم/ADJ,شخصیتوں/NOUN
بےشمار/ADJ,نامور/ADJ,فنکار/NOUN
متعدد/ADJ,دیگر/ADJ,افراد/NOUN
پہلے/ADJ,فوجی/ADJ,سٹیلائیٹ/NOUN
تمام/ADJ,سیاسی/ADJ,قائدین/NOUN
قومی/ADJ,ترقیاتی/ADJ,کونسل/NOUN
پنچ/ADJ,سالہ/ADJ,منصوبہ/NOUN
شدید/ADJ,زخمی/ADJ,حالت/NOUN
تمام/ADJ,گندی/ADJ,بدبو/NOUN
جیتی/ADJ,جاگتی/ADJ,مثال/NOUN
مقدور/ADJ,بھر/ADJ,حصہ/NOUN
ہر/ADJ,ممکن/ADJ,کوشش/NOUN
نئے/ADJ,منتخبہ/ADJ,ارکان/NOUN
بحری/ADJ,جنگی/ADJ,جہاز/NOUN
جنگی/ADJ,بحری/ADJ,جہاز/NOUN
تازہ_ترین/ADJ,عالمی/ADJ,درجہ_بندی/NOUN
