ngày/NOUN,cuối/ADJ,tuần/ADJ
nhiều/ADJ,điều/NOUN,bổ ích/ADJ
cùng/ADJ,lớp/NOUN,tại chức/ADJ
cái/NOUN,rực/ADJ,vàng/ADJ
nỗi/NOUN,buồn/ADJ,khổ/ADJ
chuyện/NOUN,lạ/ADJ,khác/ADJ
người/NOUN,nhu mì/ADJ,hiền lành/ADJ
nhiều/ADJ,năm/NOUN,trước/ADJ
người/NOUN,quen/ADJ,duy nhất/ADJ
nỗi/NOUN,buồn/ADJ,vô hạn/ADJ
dấu hiệu/NOUN,khả nghi/ADJ,nhất/ADJ
tính/NOUN,quan trọng/ADJ,nhất/ADJ
độ/NOUN,chuẩn xác/ADJ,cao/ADJ
thám tử/NOUN,tư/ADJ,duy nhất/ADJ
quầng/NOUN,sáng/ADJ,vàng vọt/ADJ
đốm/NOUN,sáng/ADJ,duy nhất/ADJ
Nhiều/ADJ,năm/NOUN,liền/ADJ
