draddodiad/NOUN,barddol/ADJ,cyfoethog/ADJ
aelodau/NOUN,seneddol/ADJ,cyntaf/ADJ
ryw/ADJ,lefel/NOUN,amhenodol/ADJ
ryddiaith/NOUN,Gymraeg/ADJ,ysgrifenedig/ADJ
rhyddiaith/NOUN,Gymraeg/ADJ,gyfoes/ADJ
nodweddion/NOUN,gramadegol/ADJ,eraill/ADJ
tylwythau/NOUN,paganaidd/ADJ,Tiwtonaidd/ADJ
blynyddoedd/NOUN,cyntaf/ADJ,anodd/ADJ
phob/ADJ,taith/NOUN,tramor/ADJ
traddodiad/NOUN,llafar/ADJ,Cymreig/ADJ
grŵp/NOUN,arloesol/ADJ,Gymraeg/ADJ
hen/ADJ,chwedl/NOUN,Wyddelig/ADJ
Pwyllgor/NOUN,Rhyngwladol/ADJ,Olympaidd/ADJ
Dirprwy/ADJ,Brif/ADJ,Weinidog/NOUN
rhai/ADJ,nodweddion/NOUN,ieithyddol/ADJ
nghymuned/NOUN,Iddewig/ADJ,leol/ADJ
gymuned/NOUN,Iddewig/ADJ,ehangach/ADJ
lyfrau/NOUN,Cymraeg/ADJ,diweddar/ADJ
oglau/NOUN,drwg/ADJ,arall/ADJ
fynegiadau/NOUN,cyhoeddus/ADJ,niferus/ADJ
mannau/NOUN,naturiol/ADJ,eithriadol/ADJ
cyfnod/NOUN,gwleidyddol/ADJ,cyffrous/ADJ
cyfrwng/NOUN,Cymraeg/ADJ,gyflawn/ADJ
holl/ADJ,elfennau/NOUN,atodol/ADJ
sylfaen/NOUN,ddiwydiannol/ADJ,amrywiol/ADJ
adnoddau/NOUN,naturiol/ADJ,gwerthfawr/ADJ
busnesau/NOUN,lleol/ADJ,bychan/ADJ
stryd/NOUN,fawr/ADJ,hiraf/ADJ
unrhyw/ADJ,wybodaeth/NOUN,bersonol/ADJ
offerynwyr/NOUN,lleol/ADJ,gorau/ADJ
strydoedd/NOUN,Canol/ADJ,Oesol/ADJ
prif/ADJ,gynulliad/NOUN,rhyngwladol/ADJ
unedau/NOUN,addysgol/ADJ,cryf/ADJ
holl/ADJ,waith/NOUN,caled/ADJ
Pa/ADJ,Arlywydd/NOUN,Americanaidd/ADJ
diwylliant/NOUN,Cymraeg/ADJ,digidol/ADJ
frwydrau/NOUN,hanesyddol/ADJ,lleol/ADJ
unrhyw/ADJ,fardd/NOUN,arall/ADJ
blant/NOUN,anabl/ADJ,eraill/ADJ
chwarae/NOUN,teg/ADJ,ariannol/ADJ
broblem/NOUN,bach/ADJ,arall/ADJ
trydydd/ADJ,parc/NOUN,cenedlaethol/ADJ
llyn/NOUN,naturiol/ADJ,mwyaf/ADJ
Parc/NOUN,Cenedlaethol/ADJ,mwyaf/ADJ
traethau/NOUN,tywynnog/ADJ,hir/ADJ
Eglurhad/NOUN,posib/ADJ,arall/ADJ
cerddoriaeth/NOUN,werin/ADJ,Gymraeg/ADJ
aelod/NOUN,academaidd/ADJ,uwch/ADJ
cymorth/NOUN,cyntaf/ADJ,sylfaenol/ADJ
rhyw/ADJ,ynys/NOUN,fechan/ADJ
baleontoleg/NOUN,newydd/ADJ,sgleiniog/ADJ
Gwersyll/NOUN,cymysg/ADJ,cyntaf/ADJ
cymhwyster/NOUN,Cymraeg/ADJ,newydd/ADJ
Cyfarfod/NOUN,Cyffredinol/ADJ,Blynyddol/ADJ
unrhyw/ADJ,aelod/NOUN,arall/ADJ
Prif/ADJ,Weinidog/NOUN,presennol/ADJ
stryd/NOUN,fawr/ADJ,hir/ADJ
unig/ADJ,gyngor/NOUN,lleol/ADJ
wyliau/NOUN,teithiol/ADJ,mwyaf/ADJ
gwasanaethau/NOUN,Cymraeg/ADJ,cyrff/ADJ
gwledydd/NOUN,Celtaidd/ADJ,eraill/ADJ
meysydd/NOUN,arbenigol/ADJ,canlynol/ADJ
Beirniadaeth/NOUN,Lenyddol/ADJ,Ymarferol/ADJ
ieithoedd/NOUN,Celtaidd/ADJ,eraill/ADJ
offeryn/NOUN,electronig/ADJ,gwerthfawr/ADJ
broses/NOUN,wleidyddol/ADJ,ryfeddaf/ADJ
pob/ADJ,diwrnod/NOUN,unigol/ADJ
ffynonellau/NOUN,cynnar/ADJ,eraill/ADJ
gwasg/NOUN,annibynnol/ADJ,Gymreig/ADJ
pob/ADJ,ymgyrch/NOUN,wleidyddol/ADJ
elfen/NOUN,ryngwladol/ADJ,newydd/ADJ
Pa/ADJ,Arlywydd/NOUN,Americanaidd/ADJ
dillad/NOUN,addas/ADJ,cynnes/ADJ
Sgwennwr/NOUN,proffesiynol/ADJ,Cymraeg/ADJ
Dysgu/NOUN,Cymraeg/ADJ,Genedlaethol/ADJ
brofiad/NOUN,hynod/ADJ,werthfawr/ADJ
Eisteddfod/NOUN,wych/ADJ,arall/ADJ
