lemma,cl
/NOUN,1
آب/NOUN,2
آثَار/NOUN,3
آذَار/NOUN,4
آسِتَانَة/NOUN,5
آصِرَة/NOUN,6
آفَة/NOUN,7
آل/NOUN,8
آلَة/NOUN,9
آن/NOUN,10
آيَة/NOUN,11
أَب/NOUN,12
أَبرِيل/NOUN,13
أَبَد/NOUN,14
أَتعَاب/NOUN,15
أَثنَاء/NOUN,16
أَثَاث/NOUN,17
أَثَر/NOUN,18
أَجر/NOUN,19
أَجل/NOUN,20
أَجنَبِيّ/NOUN,21
أَجَل/NOUN,22
أَجَندَة/NOUN,23
أَحمَد/NOUN,24
أَحمَر/NOUN,25
أَحَد/NOUN,26
أَخ/NOUN,27
أَخذ/NOUN,28
أَدنَى/NOUN,29
أَدَاء/NOUN,30
أَدَاة/NOUN,31
أَدَب/NOUN,32
أَدِيب/NOUN,33
أَذَربَيجَان/NOUN,34
أَذَى/NOUN,35
أَربَعِينَات/NOUN,36
أَربِعَاء/NOUN,37
أَرجَاء/NOUN,38
أَرجَنتِين/NOUN,39
أَرجَنتِينِيّ/NOUN,40
أَرز/NOUN,41
أَرض/NOUN,42
أَرمَلَة/NOUN,43
أَزر/NOUN,44
أَزمَة/NOUN,45
أَزهَر/NOUN,46
أَسلَمَة/NOUN,47
أَسمَنت/NOUN,48
أَسَاس/NOUN,49
أَسَد/NOUN,50
أَسَف/NOUN,51
أَسِير/NOUN,52
أَصل/NOUN,53
أَضحَى/NOUN,54
أَعيَان/NOUN,55
أَغُسطُس/NOUN,56
أَفرِيقِيّ/NOUN,57
أَفغَانِستَان/NOUN,58
أَقرَب/NOUN,59
أَقصَى/NOUN,60
أَقنِعَة/NOUN,61
أَكل/NOUN,62
أَلبُوم/NOUN,63
أَلمَاس/NOUN,64
أَلمَانِيّ/NOUN,65
أَمر/NOUN,66
أَمرِيكِيّ/NOUN,67
أَمس/NOUN,68
أَمن/NOUN,69
أَمَام/NOUN,70
أَمَان/NOUN,71
أَمَانَة/NOUN,72
أَمَل/NOUN,73
أَمِير/NOUN,74
أَمِيرَال/NOUN,75
أَمِيرَة/NOUN,76
أَمِيرِكِيّ/NOUN,77
أَمِين/NOUN,78
أَمِينَة/NOUN,79
أَنصَار/NOUN,80
أَنف/NOUN,81
أَنقَرَة/NOUN,82
أَنَاقَة/NOUN,83
أَهل/NOUN,84
أَهلِيّ/NOUN,85
أَوج/NOUN,86
أَوَان/NOUN,87
أَيلُول/NOUN,88
أَيمَن/NOUN,89
أُجرَة/NOUN,90
أُذُن/NOUN,91
أُرثُوذُكس/NOUN,92
أُردُنّ/NOUN,93
أُسبُوع/NOUN,94
أُستَاذ/NOUN,95
أُستَاذَة/NOUN,96
أُستُرَالِيّ/NOUN,97
أُسرَة/NOUN,98
أُسطُورَة/NOUN,99
أُسطُول/NOUN,100
أُسلُوب/NOUN,101
أُسوَة/NOUN,102
أُسَامَة/NOUN,103
أُصُولِيّ/NOUN,104
أُفُق/NOUN,105
أُقصُر/NOUN,106
أُكتُوبِر/NOUN,107
أُكذُوبَة/NOUN,108
أُمُومَة/NOUN,109
أُمّ/NOUN,110
أُنبُوب/NOUN,111
أُنثَى/NOUN,112
أُهبَة/NOUN,113
أُورُوبِيّ/NOUN,114
أُوكسِجِين/NOUN,115
إِبحَار/NOUN,116
إِبدَاء/NOUN,117
إِبدَاع/NOUN,118
إِبرَاز/NOUN,119
إِبرَام/NOUN,120
إِبرَاهِيم/NOUN,121
إِبرَاهِيمِيّ/NOUN,122
إِبرَة/NOUN,123
إِبرِيل/NOUN,124
إِبعَاد/NOUN,125
إِبقَاء/NOUN,126
إِبلَاغ/NOUN,127
إِبَادَة/NOUN,128
إِتقَان/NOUN,129
إِتمَام/NOUN,130
إِتَاحَة/NOUN,131
إِثبَات/NOUN,132
إِثَارَة/NOUN,133
إِجبَار/NOUN,134
إِجرَاء/NOUN,135
إِجرَام/NOUN,136
إِجلَاء/NOUN,137
إِجمَاع/NOUN,138
إِجمَال/NOUN,139
إِجمَالِيّ/NOUN,140
إِجهَاد/NOUN,141
إِجهَاض/NOUN,142
إِجَابَة/NOUN,143
إِجَازَة/NOUN,144
إِحبَاط/NOUN,145
إِحجَام/NOUN,146
إِحدَاث/NOUN,147
إِحدَى/NOUN,148
إِحرَاز/NOUN,149
إِحسَاس/NOUN,150
إِحسَان/NOUN,151
إِحصَاء/NOUN,152
إِحلَال/NOUN,153
إِحيَاء/NOUN,154
إِحَاطَة/NOUN,155
إِحَالَة/NOUN,156
إِخرَاج/NOUN,157
إِخضَاع/NOUN,158
إِخطَار/NOUN,159
إِخفَاء/NOUN,160
إِخلَاء/NOUN,161
إِخلَاص/NOUN,162
إِخلَال/NOUN,163
إِخمَاد/NOUN,164
إِخَاء/NOUN,165
إِدخَال/NOUN,166
إِدرَاج/NOUN,167
إِدرَاك/NOUN,168
إِدلَاء/NOUN,169
إِدمَان/NOUN,170
إِدَارَة/NOUN,171
إِدَانَة/NOUN,172
إِذن/NOUN,173
إِذَاعَة/NOUN,174
إِرث/NOUN,175
إِرجَاء/NOUN,176
إِرجَاع/NOUN,177
إِرسَاء/NOUN,178
إِرسَال/NOUN,179
إِرشَاد/NOUN,180
إِرضَاء/NOUN,181
إِرهَاب/NOUN,182
إِرهَابِيّ/NOUN,183
إِرهَاق/NOUN,184
إِرَادَة/NOUN,185
إِزَالَة/NOUN,186
إِسبَانِيّ/NOUN,187
إِسرَاء/NOUN,188
إِسرَائِيل/NOUN,189
إِسرَائِيلِيّ/NOUN,190
إِسرَاع/NOUN,191
إِسرَاف/NOUN,192
إِسطَبل/NOUN,193
إِسعَاف/NOUN,194
إِسقَاط/NOUN,195
إِسكَان/NOUN,196
إِسلَام/NOUN,197
إِسمَاعِيل/NOUN,198
إِسنَاد/NOUN,199
إِسهَام/NOUN,200
إِسَاءَة/NOUN,201
إِشرَاف/NOUN,202
إِشرَاك/NOUN,203
إِشعَار/NOUN,204
إِشعَاع/NOUN,205
إِشعَال/NOUN,206
إِشهَار/NOUN,207
إِشَادَة/NOUN,208
إِشَارَة/NOUN,209
إِشَاعَة/NOUN,210
إِصبَع/NOUN,211
إِصدَار/NOUN,212
إِصرَار/NOUN,213
إِصلَاح/NOUN,214
إِصلَاحِيّ/NOUN,215
إِصَابَة/NOUN,216
إِضفَاء/NOUN,217
إِضَاءَة/NOUN,218
إِضَافَة/NOUN,219
إِطفَاء/NOUN,220
إِطلَاق/NOUN,221
إِطَاحَة/NOUN,222
إِطَار/NOUN,223
إِعجَاب/NOUN,224
إِعدَاد/NOUN,225
إِعدَام/NOUN,226
إِعصَار/NOUN,227
إِعطَاء/NOUN,228
إِعفَاء/NOUN,229
إِعلَام/NOUN,230
إِعلَان/NOUN,231
إِعمَار/NOUN,232
إِعَادَة/NOUN,233
إِعَاشَة/NOUN,234
إِعَاقَة/NOUN,235
إِغرَاء/NOUN,236
إِغرَاق/NOUN,237
إِغلَاق/NOUN,238
إِغَاثَة/NOUN,239
إِفتَاء/NOUN,240
إِفرَاج/NOUN,241
إِفرَاط/NOUN,242
إِفصَاح/NOUN,243
إِفطَار/NOUN,244
إِفلَاس/NOUN,245
إِفَادَة/NOUN,246
إِقبَال/NOUN,247
إِقدَام/NOUN,248
إِقرَار/NOUN,249
إِقرَاض/NOUN,250
إِقطَاع/NOUN,251
إِقفَال/NOUN,252
إِقلَاع/NOUN,253
إِقلِيم/NOUN,254
إِقنَاع/NOUN,255
إِقَالَة/NOUN,256
إِقَامَة/NOUN,257
إِكسَاب/NOUN,258
إِكمَال/NOUN,259
إِلحَاح/NOUN,260
إِلحَاد/NOUN,261
إِلحَاق/NOUN,262
إِلزَام/NOUN,263
إِلغَاء/NOUN,264
إِلقَاء/NOUN,265
إِلمَام/NOUN,266
إِمدَاد/NOUN,267
إِمدَادَات/NOUN,268
إِمكَان/NOUN,269
إِملَاء/NOUN,270
إِمَارَة/NOUN,271
إِمَام/NOUN,272
إِنتَاج/NOUN,273
إِنتِرنِت/NOUN,274
إِنجَاز/NOUN,275
إِنجِيل/NOUN,276
إِندُونِيسِيّ/NOUN,277
إِنذَار/NOUN,278
إِنزَال/NOUN,279
إِنسَان/NOUN,280
إِنشَاء/NOUN,281
إِنعَاش/NOUN,282
إِنفلُوَنزَا/NOUN,283
إِنفَاق/NOUN,284
إِنقَاذ/NOUN,285
إِنكِلتِرَا/NOUN,286
إِنمَاء/NOUN,287
إِنهَاء/NOUN,288
إِنَاء/NOUN,289
إِنَارَة/NOUN,290
إِهدَار/NOUN,291
إِهَانَة/NOUN,292
إِيجَاب/NOUN,293
إِيجَاد/NOUN,294
إِيجَار/NOUN,295
إِيجَاز/NOUN,296
إِيحَاء/NOUN,297
إِيدَاع/NOUN,298
إِيرلَندِيّ/NOUN,299
إِيرَاد/NOUN,300
إِيرَان/NOUN,301
إِيرَانِيّ/NOUN,302
إِيصَال/NOUN,303
إِيضَاح/NOUN,304
إِيطَالِيّ/NOUN,305
إِيعَاز/NOUN,306
إِيفَاد/NOUN,307
إِيقَاظ/NOUN,308
إِيقَاع/NOUN,309
إِيقَاف/NOUN,310
إِيمَان/NOUN,311
إِيوَاء/NOUN,312
إِيَاب/NOUN,313
اَلبَحرَين/NOUN,314
اَللّٰه/NOUN,315
اَليَابَان/NOUN,316
اِئتِلَاف/NOUN,317
اِئتِمَان/NOUN,318
اِبتِدَاء/NOUN,319
