حَرب/NOUN,عَالَمِيّ/ADJ,ثَانِي/ADJ
عِمَارَة/NOUN,بيزنطية/ADJ,جَدِيد/ADJ
طِبّ/NOUN,نَفسِيّ/ADJ,عَسكَرِيّ/ADJ
جَمَاعَة/NOUN,إِسلَامِيّ/ADJ,مُسَلَّح/ADJ
بَحر/NOUN,أَبيَض/ADJ,مُتَوَسِّط/ADJ
حَرب/NOUN,أَهلِيّ/ADJ,الاميريكية/ADJ
عِبرِيّ/NOUN,قَدِيم/ADJ,الخالصة/ADJ
نَشِيد/NOUN,وَطَنِيّ/ADJ,مَغرِبِيّ/ADJ
نِظَام/NOUN,دِيمُقرَاطِيّ/ADJ,إِسرَائِيلِيّ/ADJ
حَرب/NOUN,أَهلِيّ/ADJ,لُبنَانِيّ/ADJ
وِلَايَة/NOUN,مُتَّحِد/ADJ,أَمرِيكِيّ/ADJ
حَدِيد/NOUN,خَام/ADJ,قَادِم/ADJ
لسفينة/NOUN,بُخَارِيّ/ADJ,نظامية/ADJ
مَملَكَة/NOUN,عَرَبِيّ/ADJ,سَعُودِيّ/ADJ
صِرَاع/NOUN,عَرَبِيّ/ADJ,إِسرَائِيلِيّ/ADJ
قُوَّة/NOUN,الانكشارية/ADJ,عُثمَانِيّ/ADJ
بَحر/NOUN,أَبيَض/ADJ,مُتَوَسِّط/ADJ
بَعثَة/NOUN,تعليمية/ADJ,فِلَسطِينِيّ/ADJ
وِلَايَة/NOUN,مُتَّحِد/ADJ,أَمرِيكِيّ/ADJ
قَدَّم/NOUN,سوفيتي/ADJ,سَابِق/ADJ
بالجهة/NOUN,شَمَالِيّ/ADJ,غَربِيّ/ADJ
حَرَكَة/NOUN,شَعبِيّ/ADJ,دُستُورِيّ/ADJ
ثَورَة/NOUN,عَرَبِيّ/ADJ,أَكبَر/ADJ
زخما/NOUN,مَرَّة/ADJ,آخَر/ADJ
أَدَاء/NOUN,صوتي/ADJ,يَابَانِيّ/ADJ
دَولَة/NOUN,إِسلَامِيّ/ADJ,سَابِق/ADJ
خِطَاب/NOUN,إِسلَامِيّ/ADJ,مُعَاصِر/ADJ
وِلَايَة/NOUN,مُتَّحِد/ADJ,أَمرِيكِيّ/ADJ
نَقل/NOUN,عَسكَرِيّ/ADJ,حَدِيث/ADJ
مَملَكَة/NOUN,عَرَبِيّ/ADJ,سَعُودِيّ/ADJ
الدفن/NOUN,صُومَالِيّ/ADJ,قَدِيم/ADJ
حَرَكَة/NOUN,عَامّ/ADJ,ثَانِي/ADJ
أُسرَة/NOUN,الهاشمية/ADJ,أُردُنِّيّ/ADJ
حَرب/NOUN,عَالَمِيّ/ADJ,ثَانِي/ADJ
كِتَاب/NOUN,المسرحيون/ADJ,آخَر/ADJ
التشيكالسودان/NOUN,إِنجلِيزِيّ/ADJ,مِصرِيّ/ADJ
أَدَاء/NOUN,صوتي/ADJ,يَابَانِيّ/ADJ
مذيع/NOUN,ومعلق/ADJ,أَمرِيكِيّ/ADJ
مَركَبَة/NOUN,الغيرعضوية/ADJ,صِنَاعِيّ/ADJ
أَزمَة/NOUN,اِقتِصَادِيّ/ADJ,حَقِيقِيّ/ADJ
لغات/NOUN,آخَر/ADJ,كَثِير/ADJ
وَزِير/NOUN,دَاخِلِيّ/ADJ,فِلَسطِينِيّ/ADJ
حَرَكَة/NOUN,مَسِرحِيّ/ADJ,كُوَيتِيّ/ADJ
أَدَاء/NOUN,صوتي/ADJ,يَابَانِيّ/ADJ
رايحة/NOUN,عطرية/ADJ,قَوِيّ/ADJ
عَاصِفَة/NOUN,الترابية/ADJ,أَصفَر/ADJ
كاتب/NOUN,مَسِرحِيّ/ADJ,سُورِيّ/ADJ
مَدِينَة/NOUN,مِصرِيّ/ADJ,هَامّ/ADJ
فَترَة/NOUN,زَمَنِيّ/ADJ,المعينة/ADJ
صَوت/NOUN,الانفي/ADJ,الانثنايي/ADJ
إِمبِرَاطُورِيَّة/NOUN,رُومَانِيّ/ADJ,مُقَدَّس/ADJ
حَدَث/NOUN,هَامّ/ADJ,آخَر/ADJ
مَتحَف/NOUN,حَربِيّ/ADJ,مِصرِيّ/ADJ
عَهد/NOUN,تُركِيّ/ADJ,مِصرِيّ/ADJ
مُؤتَمَر/NOUN,سُورِيّ/ADJ,عَامّ/ADJ
السوبر/NOUN,إِيطَالِيّ/ADJ,البطل/ADJ
سَفِينَة/NOUN,حَربِيّ/ADJ,سُورِيّ/ADJ
مَركَبَة/NOUN,نَبَاتِيّ/ADJ,جَدِيد/ADJ
اِلتِهَاب/NOUN,الكبدي/ADJ,الفيروسي/ADJ
قِطعَة/NOUN,أَثَرِيّ/ADJ,مُنَقوَشَة/ADJ
رسما/NOUN,توضيحيا/ADJ,كَبِير/ADJ
عَلَاقَة/NOUN,دُوَلِيّ/ADJ,قَدِيم/ADJ
مَدِينَة/NOUN,إِمبِرَاطُورِيَّة/ADJ,حُرّ/ADJ
حِزب/NOUN,شُيُوعِيّ/ADJ,صِينِيّ/ADJ
