lemma,cl
/NOUN,1
gsm/NOUN,2
абитуриент/NOUN,3
абонамент/NOUN,4
абонат/NOUN,5
абордаж/NOUN,6
абревиатура/NOUN,7
абстракция/NOUN,8
аванпост/NOUN,9
аванс/NOUN,10
август/NOUN,11
авиация/NOUN,12
авиокомпания/NOUN,13
австралиец/NOUN,14
австриец/NOUN,15
автобус/NOUN,16
автогол/NOUN,17
автограф/NOUN,18
автомагистрала/NOUN,19
автомат/NOUN,20
автомивка/NOUN,21
автомобил/NOUN,22
автономия/NOUN,23
автопарк/NOUN,24
автор/NOUN,25
авторитет/NOUN,26
авторка/NOUN,27
авторство/NOUN,28
автосалон/NOUN,29
ага/NOUN,30
агент/NOUN,31
агенция/NOUN,32
агитация/NOUN,33
агитка/NOUN,34
агне/NOUN,35
агония/NOUN,36
агресия/NOUN,37
ад/NOUN,38
адаптация/NOUN,39
адаптиране/NOUN,40
адвокат/NOUN,41
администрация/NOUN,42
адмирал/NOUN,43
адрес/NOUN,44
аерогара/NOUN,45
аеропорт/NOUN,46
аец/NOUN,47
аз-образ/NOUN,48
азбука/NOUN,49
академия/NOUN,50
акредитация/NOUN,51
акт/NOUN,52
актив/NOUN,53
активизиране/NOUN,54
активиране/NOUN,55
активист/NOUN,56
активност/NOUN,57
актриса/NOUN,58
актьор/NOUN,59
акцент/NOUN,60
акциз/NOUN,61
акционер/NOUN,62
акция/NOUN,63
ал./NOUN,64
албанец/NOUN,65
албум/NOUN,66
алея/NOUN,67
алианс/NOUN,68
алиби/NOUN,69
алинея/NOUN,70
алкохол/NOUN,71
алпийка/NOUN,72
алтернатива/NOUN,73
алуминий/NOUN,74
алчност/NOUN,75
амбиция/NOUN,76
американец/NOUN,77
американка/NOUN,78
амнистия/NOUN,79
амоняк/NOUN,80
амплоа/NOUN,81
анализ/NOUN,82
анализатор/NOUN,83
анализиране/NOUN,84
аналог/NOUN,85
аналогия/NOUN,86
анатомия/NOUN,87
ангажимент/NOUN,88
ангажиране/NOUN,89
ангел/NOUN,90
англичанка/NOUN,91
анекс/NOUN,92
анкета/NOUN,93
анонимност/NOUN,94
ансамбъл/NOUN,95
антагонизъм/NOUN,96
антена/NOUN,97
антибиотик/NOUN,98
антиквариат/NOUN,99
антипод/NOUN,100
антисемитизъм/NOUN,101
антология/NOUN,102
антракс/NOUN,103
ап./NOUN,104
апарат/NOUN,105
апартамент/NOUN,106
апостол/NOUN,107
април/NOUN,108
аптека/NOUN,109
аптекар/NOUN,110
арбитраж/NOUN,111
арбитър/NOUN,112
арго/NOUN,113
аргумент/NOUN,114
арена/NOUN,115
арест/NOUN,116
арестант/NOUN,117
аржентинец/NOUN,118
аритмия/NOUN,119
армеец/NOUN,120
арменец/NOUN,121
армия/NOUN,122
аромат/NOUN,123
арсенал/NOUN,124
артилерия/NOUN,125
артист/NOUN,126
артистка/NOUN,127
архив/NOUN,128
архиерей/NOUN,129
архитект/NOUN,130
асамблея/NOUN,131
асимилация/NOUN,132
асистент/NOUN,133
аскер/NOUN,134
асоциация/NOUN,135
аспект/NOUN,136
астероид/NOUN,137
астроном/NOUN,138
асфалт/NOUN,139
атака/NOUN,140
аташе/NOUN,141
ателие/NOUN,142
атентат/NOUN,143
атентатор/NOUN,144
атлет/NOUN,145
атмосфера/NOUN,146
атракция/NOUN,147
ауди/NOUN,148
аудитория/NOUN,149
аутобан/NOUN,150
аутопсия/NOUN,151
аутсайдер/NOUN,152
афера/NOUN,153
афиш/NOUN,154
афоризъм/NOUN,155
б/NOUN,156
баба/NOUN,157
багаж/NOUN,158
багра/NOUN,159
база/NOUN,160
баир/NOUN,161
бай/NOUN,162
баклава/NOUN,163
бал/NOUN,164
баланс/NOUN,165
балкан/NOUN,166
балкон/NOUN,167
бан/NOUN,168
банда/NOUN,169
бандерол/NOUN,170
бандит/NOUN,171
баница/NOUN,172
банка/NOUN,173
банкер/NOUN,174
банкет/NOUN,175
банкнота/NOUN,176
банкрут/NOUN,177
баня/NOUN,178
бар/NOUN,179
бара/NOUN,180
барбекю/NOUN,181
барел/NOUN,182
бариера/NOUN,183
барикада/NOUN,184
барман/NOUN,185
барче/NOUN,186
басейн/NOUN,187
баскетбол/NOUN,188
баскетболист/NOUN,189
баскетболистка/NOUN,190
батальон/NOUN,191
батерия/NOUN,192
батко/NOUN,193
баща/NOUN,194
бебе/NOUN,195
беглец/NOUN,196
беда/NOUN,197
бедност/NOUN,198
бедствие/NOUN,199
бездействие/NOUN,200
безмълвие/NOUN,201
безопасност/NOUN,202
безпаричие/NOUN,203
безпокойство/NOUN,204
