дървен/ADJ,тесен/ADJ,мост/NOUN
пръв/ADJ,Кръстоносен/ADJ,поход/NOUN
ежегоден/ADJ,Дельов/ADJ,празник/NOUN
голям/ADJ,кленов/ADJ,гора/NOUN
европейски/ADJ,див/ADJ,заек/NOUN
голям/ADJ,въглищен/ADJ,миня/NOUN
модерно/ADJ,ловен/ADJ,стопанство/NOUN
Масанутен/ADJ,Физиографска/ADJ,карта/NOUN
36-то/ADJ,народен/ADJ,събрание/NOUN
новоосновам/ADJ,немски/ADJ,театър/NOUN
пръв/ADJ,литературен/ADJ,опит/NOUN
прост/ADJ,текстов/ADJ,редактор/NOUN
странджански/ADJ,народен/ADJ,певица/NOUN
пълнометражен/ADJ,документален/ADJ,филм/NOUN
мин/ADJ,миня/ADJ,мина/NOUN
Планираен/ADJ,национален/ADJ,икономика/NOUN
значителен/ADJ,творчески/ADJ,свобода/NOUN
Апатски/ADJ,мергелня/ADJ,наслаги/NOUN
гръцки/ADJ,сухопътен/ADJ,сила/NOUN
необходим/ADJ,писмен/ADJ,работа/NOUN
пръв/ADJ,профилирам/ADJ,език/NOUN
26/ADJ,декември/NOUN,2004/ADJ
14/ADJ,октомври/NOUN,1997/ADJ
Японски/ADJ,електронен/ADJ,компания/NOUN
нормален/ADJ,човешки/ADJ,комуникация/NOUN
причудливя-се/ADJ,скален/ADJ,фигура/NOUN
27/ADJ,февруари/NOUN,2010/ADJ
влажен/ADJ,въздушен/ADJ,маса/NOUN
нов/ADJ,търговски/ADJ,пост/NOUN
нов/ADJ,електрически/ADJ,батерия/NOUN
голям/ADJ,каменен/ADJ,кръст/NOUN
Първоначалн/ADJ,Ниагарски/ADJ,водопад/NOUN
общ/ADJ,годишен/ADJ,улов/NOUN
Постоянен/ADJ,телефонен/ADJ,пост/NOUN
имперски/ADJ,данъчен/ADJ,регистър/NOUN
централен/ADJ,градски/ADJ,част/NOUN
евентуален/ADJ,политически/ADJ,опозиция/NOUN
имперски/ADJ,художествен/ADJ,общество/NOUN
безпристрастен/ADJ,външен/ADJ,политика/NOUN
селски/ADJ,неземеделски/ADJ,работник/NOUN
немски/ADJ,школа/NOUN,водя/ADJ
силен/ADJ,либерален/ADJ,нагласа/NOUN
Средновековен/ADJ,сръбски/ADJ,земя/NOUN
различен/ADJ,противоанемичен/ADJ,средство/NOUN
Стандартен/ADJ,немски/ADJ,език/NOUN
еврейски/ADJ,поселнически/ADJ,територия/NOUN
поваля-(се)/ADJ,правоъгълен/ADJ,гранитен/NOUN
среден/ADJ,общообразователен/ADJ,училище/NOUN
пръв/ADJ,американски/ADJ,щат/NOUN
цял/ADJ,нов/ADJ,теория/NOUN
молекулен/ADJ,формула/NOUN,C6H12O6/ADJ
ясен/ADJ,U-образен/ADJ,форма/NOUN
български/ADJ,православен/ADJ,светк/NOUN
неин/ADJ,пръв/ADJ,командир/NOUN
стар/ADJ,средновековен/ADJ,път/NOUN
тит/ADJ,държавен/ADJ,княз/NOUN
съседен/ADJ,воден/ADJ,басейна/NOUN
древен/ADJ,тракийски/ADJ,път/NOUN
пехотен/ADJ,козлодуйски/ADJ,полк/NOUN
български/ADJ,макроикономически/ADJ,асоциация/NOUN
бликам/ADJ,геотермален/ADJ,вода/NOUN
качествен/ADJ,лавандулово/ADJ,масло/NOUN
определя-(се)/ADJ,традиционен/ADJ,особеност/NOUN
изградя/ADJ,железопътен/ADJ,инфраструктура/NOUN
Остравско-Карвински/ADJ,въгледобивен/ADJ,басейн/NOUN
римски/ADJ,военен/ADJ,лагер/NOUN
брада/ADJ,коренов/ADJ,система/NOUN
италиансък/ADJ,бароков/ADJ,композитор/NOUN
силен/ADJ,рибо-консервен/ADJ,промишленост/NOUN
Буйен/ADJ,планински/ADJ,вода/NOUN
пръв/ADJ,външен/ADJ,министър/NOUN
цял/ADJ,войскови/ADJ,част/NOUN
ползотворен/ADJ,културен/ADJ,дейност/NOUN
различен/ADJ,племенен/ADJ,диалект/NOUN
затворен/ADJ,дълъг/ADJ,време/NOUN
традиционен/ADJ,астрономически/ADJ,метод/NOUN
пловдивски/ADJ,английски/ADJ,гимназия/NOUN
среден/ADJ,орбитален/ADJ,радиус/NOUN
1979/ADJ,нов/ADJ,болид/NOUN
железопътен/ADJ,линия/ADJ,септември/NOUN
Панежки/ADJ,карстов/ADJ,район/NOUN
български/ADJ,гледен/ADJ,точка/NOUN
различен/ADJ,фотографски/ADJ,техника/NOUN
кратък/ADJ,исторически/ADJ,справка/NOUN
привлекателен/ADJ,млад/ADJ,дама/NOUN
Санстефански/ADJ,мирен/ADJ,договор/NOUN
достоверен/ADJ,научен/ADJ,проучване/NOUN
трети/ADJ,Вселенски/ADJ,събор/NOUN
втори/ADJ,тежък/ADJ,контузия/NOUN
Севернокорейски/ADJ,научен/ADJ,институт/NOUN
късометражен/ADJ,новаторски/ADJ,филм/NOUN
огромно/ADJ,безотточен/ADJ,езеро/NOUN
огромен/ADJ,икономически/ADJ,щета/NOUN
друг/ADJ,природен/ADJ,забележителност/NOUN
съществен/ADJ,военен/ADJ,роля/NOUN
първо/ADJ,пълен/ADJ,заледяване/NOUN
биографичен/ADJ,многосериен/ADJ,филм/NOUN
втори/ADJ,пехотен/ADJ,дивизия/NOUN
международен/ADJ,Хармонизирам/ADJ,система/NOUN
пръв/ADJ,общодостъпен/ADJ,версия/NOUN
друг/ADJ,населя/ADJ,място/NOUN
първостепен/ADJ,балкански/ADJ,фактор/NOUN
македонски/ADJ,науча-(се)/ADJ,институт/NOUN
8-часов/ADJ,работен/ADJ,ден/NOUN
Славянски/ADJ,митичен/ADJ,същество/NOUN
Съседен/ADJ,населя/ADJ,място/NOUN
окръжен/ADJ,футболен/ADJ,група/NOUN
съществувам/ADJ,постоянен/ADJ,комисия/NOUN
Варненски/ADJ,Археологически/ADJ,музей/NOUN
китайски/ADJ,шесдесетичен/ADJ,календар/NOUN
директн/ADJ,политически/ADJ,послание/NOUN
двуетажен/ADJ,дървен/ADJ,постройка/NOUN
1943/44/ADJ,Шипченски/ADJ,сокол/NOUN
забележителен/ADJ,монументален/ADJ,скулптура/NOUN
голям/ADJ,дяоля/ADJ,камък/NOUN
Девети/ADJ,вселенски/ADJ,събор/NOUN
