lemma,cl
/NOUN,1
1/NOUN,2
10/NOUN,3
11/NOUN,4
11-s/NOUN,5
12/NOUN,6
14/NOUN,7
15/NOUN,8
1534/NOUN,9
1596/NOUN,10
16/NOUN,11
17/NOUN,12
1714/NOUN,13
1740/NOUN,14
1764/NOUN,15
1791/NOUN,16
1867/NOUN,17
1875/NOUN,18
1878/NOUN,19
18h/NOUN,20
19/NOUN,21
1917/NOUN,22
1919/NOUN,23
1920/NOUN,24
1921/NOUN,25
1923/NOUN,26
1924/NOUN,27
1929/NOUN,28
1930/NOUN,29
1931/NOUN,30
1932/NOUN,31
1936/NOUN,32
1938/NOUN,33
1939/NOUN,34
1940/NOUN,35
1942/NOUN,36
1943/NOUN,37
1945/NOUN,38
1946/NOUN,39
1947/NOUN,40
1948/NOUN,41
1949/NOUN,42
1951/NOUN,43
1952/NOUN,44
1953/NOUN,45
1954/NOUN,46
1955/NOUN,47
1956/NOUN,48
1957/NOUN,49
1958/NOUN,50
1960/NOUN,51
1961/NOUN,52
1962/NOUN,53
1963/NOUN,54
1964/NOUN,55
1965/NOUN,56
1966/NOUN,57
1967/NOUN,58
1968/NOUN,59
1969/NOUN,60
1970/NOUN,61
1971/NOUN,62
1972/NOUN,63
1973/NOUN,64
1974/NOUN,65
1975/NOUN,66
1976/NOUN,67
1977/NOUN,68
1978/NOUN,69
1979/NOUN,70
1980/NOUN,71
1981/NOUN,72
1982/NOUN,73
1983/NOUN,74
1984/NOUN,75
1985/NOUN,76
1986/NOUN,77
1987/NOUN,78
1988/NOUN,79
1989/NOUN,80
1990/NOUN,81
1991/NOUN,82
1992/NOUN,83
1993/NOUN,84
1994/NOUN,85
1995/NOUN,86
1995-1996/NOUN,87
1996/NOUN,88
1997/NOUN,89
1997-98/NOUN,90
1998/NOUN,91
1999/NOUN,92
2/NOUN,93
2000/NOUN,94
2001/NOUN,95
2001-2002/NOUN,96
2002/NOUN,97
2003/NOUN,98
2004/NOUN,99
2005/NOUN,100
2006/NOUN,101
2007/NOUN,102
2009/NOUN,103
2010/NOUN,104
2013/NOUN,105
21/NOUN,106
23/NOUN,107
24/NOUN,108
26/NOUN,109
3/NOUN,110
30/NOUN,111
38/NOUN,112
4/NOUN,113
40/NOUN,114
4x4/NOUN,115
6/NOUN,116
7/NOUN,117
70/NOUN,118
72/NOUN,119
8/NOUN,120
80/NOUN,121
9/NOUN,122
96/NOUN,123
98/NOUN,124
a/NOUN,125
abandonament/NOUN,126
abandó/NOUN,127
abans/NOUN,128
abaratiment/NOUN,129
abast/NOUN,130
abastiment/NOUN,131
abat/NOUN,132
abdomen/NOUN,133
abella/NOUN,134
aberració/NOUN,135
abisme/NOUN,136
abocador/NOUN,137
abocament/NOUN,138
abolició/NOUN,139
abonament/NOUN,140
abonat/NOUN,141
abraçada/NOUN,142
abril/NOUN,143
absis/NOUN,144
absolut/NOUN,145
abstenció/NOUN,146
abstracció/NOUN,147
absurd/NOUN,148
absència/NOUN,149
abús/NOUN,150
ac/NOUN,151
acaballes/NOUN,152
acabament/NOUN,153
acabar/NOUN,154
acabat/NOUN,155
acadèmia/NOUN,156
acceleració/NOUN,157
accent/NOUN,158
acceptació/NOUN,159
accessibilitat/NOUN,160
accident/NOUN,161
accidentabilitat/NOUN,162
accidentat/NOUN,163
accionariat/NOUN,164
accionista/NOUN,165
acció/NOUN,166
accèssit/NOUN,167
accés/NOUN,168
acer/NOUN,169
aclamació/NOUN,170
aclariment/NOUN,171
aclimatació/NOUN,172
acollida/NOUN,173
acolliment/NOUN,174
acomiadament/NOUN,175
acomodament/NOUN,176
acompanyament/NOUN,177
acompanyant/NOUN,178
acompliment/NOUN,179
acord/NOUN,180
acordió/NOUN,181
acoso/NOUN,182
acostament/NOUN,183
acotació/NOUN,184
acrobàcia/NOUN,185
acròbata/NOUN,186
acta/NOUN,187
acte/NOUN,188
actitud/NOUN,189
actiu/NOUN,190
activació/NOUN,191
activisme/NOUN,192
activista/NOUN,193
activitat/NOUN,194
actor/NOUN,195
actriu/NOUN,196
actuació/NOUN,197
actualitat/NOUN,198
actualització/NOUN,199
acudit/NOUN,200
acumulació/NOUN,201
acusació/NOUN,202
acusador/NOUN,203
acusat/NOUN,204
acústica/NOUN,205
adaptació/NOUN,206
addicció/NOUN,207
adepte/NOUN,208
adequació/NOUN,209
adhesiu/NOUN,210
adhesió/NOUN,211
adjectiu/NOUN,212
adjudicació/NOUN,213
adjudicatari/NOUN,214
administració/NOUN,215
administrador/NOUN,216
admissió/NOUN,217
adob/NOUN,218
adolescent/NOUN,219
adolescència/NOUN,220
adopció/NOUN,221
adquirida/NOUN,222
adquisició/NOUN,223
adreça/NOUN,224
adscripció/NOUN,225
adult/NOUN,226
adversari/NOUN,227
advertència/NOUN,228
advocació/NOUN,229
advocada/NOUN,230
advocat/NOUN,231
adéu/NOUN,232
aeri/NOUN,233
aerolínia/NOUN,234
aeroport/NOUN,235
aerosol/NOUN,236
aeròbic/NOUN,237
aeròdrom/NOUN,238
afany/NOUN,239
afecció/NOUN,240
afectació/NOUN,241
afectada/NOUN,242
afectat/NOUN,243
afecte/NOUN,244
afer/NOUN,245
aficionat/NOUN,246
afició/NOUN,247
afiliació/NOUN,248
afiliat/NOUN,249
afinitat/NOUN,250
afirmació/NOUN,251
afluent/NOUN,252
afluència/NOUN,253
aforament/NOUN,254
afores/NOUN,255
africà/NOUN,256
afusellament/NOUN,257
agenda/NOUN,258
agent/NOUN,259
agents/NOUN,260
agilitat/NOUN,261
agitació/NOUN,262
aglomeració/NOUN,263
aglomerat/NOUN,264
aglutinador/NOUN,265
