lemma,cl
/NOUN,1
a/NOUN,2
ab/NOUN,3
aba/NOUN,4
abatyše/NOUN,5
abdikace/NOUN,6
abeceda/NOUN,7
aberace/NOUN,8
abnormalita/NOUN,9
abs/NOUN,10
absence/NOUN,11
absolutismus/NOUN,12
absolutno/NOUN,13
absolutorium/NOUN,14
absolvent/NOUN,15
absolvování/NOUN,16
absorbér/NOUN,17
absorpce/NOUN,18
abstinence/NOUN,19
abstinent/NOUN,20
abstrakce/NOUN,21
abstraktum/NOUN,22
absurdita/NOUN,23
absurdnost/NOUN,24
ac/NOUN,25
acd/NOUN,26
ace/NOUN,27
acetylén/NOUN,28
acta/NOUN,29
actum/NOUN,30
ad/NOUN,31
adaptace/NOUN,32
adaptovanost/NOUN,33
adaptér/NOUN,34
adc/NOUN,35
adenosinmonofosfát/NOUN,36
adept/NOUN,37
adeptka/NOUN,38
adheze/NOUN,39
adjektivum/NOUN,40
administrace/NOUN,41
administrativa/NOUN,42
administrátor/NOUN,43
administrátorka/NOUN,44
admirál/NOUN,45
admitance/NOUN,46
adopce/NOUN,47
adorace/NOUN,48
adresa/NOUN,49
adresát/NOUN,50
adresář/NOUN,51
adsorpce/NOUN,52
adukt/NOUN,53
adverbium/NOUN,54
advokacie/NOUN,55
advokát/NOUN,56
aerobik/NOUN,57
aerodynamika/NOUN,58
aeroklub/NOUN,59
aerolinie/NOUN,60
aerolinka/NOUN,61
aerosol/NOUN,62
aerotaxi/NOUN,63
afekt/NOUN,64
afel/NOUN,65
aferentace/NOUN,66
affaires/NOUN,67
afinita/NOUN,68
afix/NOUN,69
aflatoxin/NOUN,70
aforismus/NOUN,71
aféra/NOUN,72
ag/NOUN,73
age/NOUN,74
agenda/NOUN,75
agent/NOUN,76
agentka/NOUN,77
agentura/NOUN,78
agitace/NOUN,79
agitka/NOUN,80
agitátor/NOUN,81
aglomerace/NOUN,82
agonie/NOUN,83
agora/NOUN,84
agregace/NOUN,85
agregát/NOUN,86
agrese/NOUN,87
agresivita/NOUN,88
agresor/NOUN,89
agrochemikálie/NOUN,90
agronom/NOUN,91
agrotechnika/NOUN,92
agrárník/NOUN,93
agónie/NOUN,94
ai/NOUN,95
