lemma,cl
/NOUN,1
13-tal/NOUN,2
1600-tal/NOUN,3
1700-tal/NOUN,4
1980er/NOUN,5
2-liter/NOUN,6
3-serie/NOUN,7
4-cylinder/NOUN,8
4-hjulstræk/NOUN,9
80er/NOUN,10
900-tal/NOUN,11
90er/NOUN,12
a-kasse/NOUN,13
a-landshold/NOUN,14
abonnement/NOUN,15
abonnent/NOUN,16
abort/NOUN,17
abstinens/NOUN,18
accent/NOUN,19
accept/NOUN,20
additiv/NOUN,21
adfærd/NOUN,22
adgang/NOUN,23
adgangskrav/NOUN,24
adjudant/NOUN,25
adjunkt/NOUN,26
administration/NOUN,27
adresse/NOUN,28
adskillelse/NOUN,29
advarsel/NOUN,30
advokat/NOUN,31
advokatfirma/NOUN,32
afbud/NOUN,33
afdeling/NOUN,34
afdelingschef/NOUN,35
affald/NOUN,36
affære/NOUN,37
afføring/NOUN,38
afghaner/NOUN,39
afgift/NOUN,40
afgørelse/NOUN,41
afhængighed/NOUN,42
afhøring/NOUN,43
afklaring/NOUN,44
afkom/NOUN,45
aflysning/NOUN,46
afløb/NOUN,47
afløser/NOUN,48
afløsning/NOUN,49
afmagt/NOUN,50
afmatning/NOUN,51
afskaffelse/NOUN,52
afskedsgave/NOUN,53
afskygning/NOUN,54
afslag/NOUN,55
afslutning/NOUN,56
afsløring/NOUN,57
afsnit/NOUN,58
afspærring/NOUN,59
afstand/NOUN,60
afstemning/NOUN,61
afstemningsresultat/NOUN,62
afsæt/NOUN,63
aftager/NOUN,64
aftale/NOUN,65
aften/NOUN,66
aftenskole/NOUN,67
afvaskning/NOUN,68
afvisning/NOUN,69
agent/NOUN,70
aggression/NOUN,71
agt/NOUN,72
agurk/NOUN,73
aids/NOUN,74
akademiker/NOUN,75
akkompagnement/NOUN,76
akrobat/NOUN,77
aktie/NOUN,78
aktiemarked/NOUN,79
aktiepost/NOUN,80
aktieselskab/NOUN,81
aktieudvidelse/NOUN,82
aktion/NOUN,83
aktionær/NOUN,84
aktiv/NOUN,85
aktivering/NOUN,86
aktivist/NOUN,87
aktivitet/NOUN,88
aktør/NOUN,89
alarm/NOUN,90
alarmberedskab/NOUN,91
alarmcentral/NOUN,92
album/NOUN,93
alder/NOUN,94
alfabet/NOUN,95
alfons/NOUN,96
alge/NOUN,97
alkohol/NOUN,98
alkoholiker/NOUN,99
allergi/NOUN,100
alliance/NOUN,101
almindelighed/NOUN,102
almueskole/NOUN,103
alt/NOUN,104
alternativ/NOUN,105
alvor/NOUN,106
ambassade/NOUN,107
ambassadør/NOUN,108
ambition/NOUN,109
ambulance/NOUN,110
amerikaner/NOUN,111
amerikanisering/NOUN,112
amt/NOUN,113
amtsborgmester/NOUN,114
amtsdirektør/NOUN,115
amtskreds/NOUN,116
amtsråd/NOUN,117
amtssygehus/NOUN,118
analyse/NOUN,119
analysemetode/NOUN,120
analytiker/NOUN,121
andel/NOUN,122
andelsbevægelse/NOUN,123
andelsbolig/NOUN,124
andelsforening/NOUN,125
andelskasse/NOUN,126
andenplads/NOUN,127
anelse/NOUN,128
anerkendelse/NOUN,129
anfald/NOUN,130
anfører/NOUN,131
angiver/NOUN,132
angreb/NOUN,133
angriber/NOUN,134
angst/NOUN,135
anholdelse/NOUN,136
ankel/NOUN,137
ankenævn/NOUN,138
anklage/NOUN,139
anklagemyndighed/NOUN,140
anklagepunkt/NOUN,141
anklager/NOUN,142
ankomst/NOUN,143
anledning/NOUN,144
anlæg/NOUN,145
anlæggelse/NOUN,146
anlægsgartner/NOUN,147
anmeldelse/NOUN,148
anmelder/NOUN,149
anmodning/NOUN,150
annonce/NOUN,151
ansigt/NOUN,152
anskuelse/NOUN,153
anstrengelse/NOUN,154
ansvar/NOUN,155
ansvarsplacering/NOUN,156
ansættelse/NOUN,157
ansættelsesvilkår/NOUN,158
ansøger/NOUN,159
ansøgning/NOUN,160
antagelse/NOUN,161
antal/NOUN,162
antenne/NOUN,163
antikvitet/NOUN,164
antiluftskyts/NOUN,165
antydning/NOUN,166
anvendelse/NOUN,167
anvisning/NOUN,168
apotek/NOUN,169
apparat/NOUN,170
apparatur/NOUN,171
appel/NOUN,172
appelsin/NOUN,173
applikation/NOUN,174
april/NOUN,175
arbejde/NOUN,176
arbejder/NOUN,177
arbejdsdag/NOUN,178
arbejdsformidling/NOUN,179
arbejdsfunktion/NOUN,180
arbejdsgang/NOUN,181
arbejdsgiver/NOUN,182
arbejdsgiverforening/NOUN,183
arbejdsgruppe/NOUN,184
arbejdsindsats/NOUN,185
arbejdskraft/NOUN,186
arbejdsløshed/NOUN,187
arbejdsmand/NOUN,188
arbejdsmarked/NOUN,189
arbejdsmetode/NOUN,190
arbejdsplads/NOUN,191
arbejdsskade/NOUN,192
arbejdssprog/NOUN,193
arbejdsvilkår/NOUN,194
areal/NOUN,195
argument/NOUN,196
argumentation/NOUN,197
arkipelag/NOUN,198
arkitekt/NOUN,199
