lemma,cl
/NOUN,1
*/NOUN,2
-technik/NOUN,3
-zeit/NOUN,4
1-/NOUN,5
10-/NOUN,6
16-/NOUN,7
1838/NOUN,8
1920/NOUN,9
1920er/NOUN,10
1930ern/NOUN,11
1933/NOUN,12
1950ern/NOUN,13
1960/NOUN,14
1960er/NOUN,15
1963/NOUN,16
1970er/NOUN,17
1980er/NOUN,18
1980ern/NOUN,19
1990er/NOUN,20
2d-/NOUN,21
32-/NOUN,22
3d/NOUN,23
60er/NOUN,24
70er/NOUN,25
90°/NOUN,26
a/NOUN,27
aalstrich/NOUN,28
ab-/NOUN,29
abarbeiten/NOUN,30
abarbeitung/NOUN,31
abart/NOUN,32
abartigkeit/NOUN,33
abb/NOUN,34
abbau/NOUN,35
abbild/NOUN,36
abbildung/NOUN,37
abbruch/NOUN,38
abbuchung/NOUN,39
abdankung/NOUN,40
abdeckung/NOUN,41
abdichtung/NOUN,42
abdomen/NOUN,43
abdruck/NOUN,44
abend/NOUN,45
abend-/NOUN,46
abendessen/NOUN,47
abendgebet/NOUN,48
abendmahl/NOUN,49
abendschule/NOUN,50
abendstunde/NOUN,51
abenteuer/NOUN,52
abenteuerfilm/NOUN,53
abenteuerliteratur/NOUN,54
abenteurer/NOUN,55
aberglaube/NOUN,56
aberkennung/NOUN,57
abfahrt/NOUN,58
abfahrtszeit/NOUN,59
abfall/NOUN,60
abfangen/NOUN,61
abfassung/NOUN,62
abfertigung/NOUN,63
abfindung/NOUN,64
abflachung/NOUN,65
abflug/NOUN,66
abfluß/NOUN,67
abfolge/NOUN,68
abfrage/NOUN,69
abfragen/NOUN,70
abfuhr/NOUN,71
abgabe/NOUN,72
abgang/NOUN,73
abgas/NOUN,74
abgasstrom/NOUN,75
abgeordnet/NOUN,76
abgeordnete/NOUN,77
abgeordnetenhaus/NOUN,78
abgeordnetenhauswahl/NOUN,79
abgesang/NOUN,80
abgeschiedenheit/NOUN,81
abgleich/NOUN,82
abgleichen/NOUN,83
abgott/NOUN,84
abgrenzung/NOUN,85
abgrund/NOUN,86
abhandlung/NOUN,87
abhang|abhängen/NOUN,88
abhilfe/NOUN,89
abhängigkeit/NOUN,90
