lemma,cl
/NOUN,1
10ετία/NOUN,2
1453/NOUN,3
1589/NOUN,4
15ετία/NOUN,5
1794/NOUN,6
1797/NOUN,7
1806/NOUN,8
1815/NOUN,9
1821/NOUN,10
1829/NOUN,11
1884/NOUN,12
1897/NOUN,13
1908/NOUN,14
1920/NOUN,15
1923/NOUN,16
1924/NOUN,17
1942/NOUN,18
1943-44/NOUN,19
1946/NOUN,20
1949/NOUN,21
1950/NOUN,22
1951/NOUN,23
1959/NOUN,24
1970/NOUN,25
1991/NOUN,26
1992/NOUN,27
1994/NOUN,28
1998/NOUN,29
1999/NOUN,30
2000/NOUN,31
2001/NOUN,32
2002/NOUN,33
2003/NOUN,34
2004/NOUN,35
2006/NOUN,36
20ετίας/NOUN,37
3./NOUN,38
4./NOUN,39
80/NOUN,40
bp./NOUN,41
άγιος/NOUN,42
άγκυρα/NOUN,43
άδεια/NOUN,44
άζωτο/NOUN,45
άκρο/NOUN,46
άλλοθι/NOUN,47
άμαχος/NOUN,48
άμμος/NOUN,49
άμυνα/NOUN,50
άνεμος/NOUN,51
άνεργος/NOUN,52
άνθρακας/NOUN,53
άνθρωπος/NOUN,54
άνοδος/NOUN,55
άνοιγμα/NOUN,56
άντρας/NOUN,57
άξονας/NOUN,58
άποικος/NOUN,59
άποψη/NOUN,60
άρθρο/NOUN,61
άρνηση/NOUN,62
άρση/NOUN,63
άσθμα/NOUN,64
άσκηση/NOUN,65
άσυλο/NOUN,66
άτομο/NOUN,67
έγγραφο/NOUN,68
έγκλημα/NOUN,69
έγκριση/NOUN,70
έδαφος/NOUN,71
έδρα/NOUN,72
έθιμο/NOUN,73
έθνος/NOUN,74
έκβαση/NOUN,75
έκδοση/NOUN,76
έκθεση/NOUN,77
έκκληση/NOUN,78
έκπληξη/NOUN,79
έκπτωση/NOUN,80
έκρηξη/NOUN,81
έκταση/NOUN,82
έκφραση/NOUN,83
έλατο/NOUN,84
έλεγχος/NOUN,85
έλευση/NOUN,86
έλλειμμα/NOUN,87
έλλειψη/NOUN,88
έλξη/NOUN,89
έμβλημα/NOUN,90
έμπορος/NOUN,91
έμφαση/NOUN,92
έναρξη/NOUN,93
έναυσμα/NOUN,94
ένδεια/NOUN,95
ένδειξη/NOUN,96
έννοια/NOUN,97
ένταλμα/NOUN,98
ένταξη/NOUN,99
ένταση/NOUN,100
ένωση/NOUN,101
έξαρση/NOUN,102
έξοδο/NOUN,103
έξοδος/NOUN,104
έπαρση/NOUN,105
έργο/NOUN,106
έρευνα/NOUN,107
έρημος/NOUN,108
έριδα/NOUN,109
έσοδο/NOUN,110
έτος/NOUN,111
έφεση/NOUN,112
ήπειρος/NOUN,113
ήττα/NOUN,114
ίδρυμα/NOUN,115
ίδρυση/NOUN,116
ίχνος/NOUN,117
αέρας/NOUN,118
αέριο/NOUN,119
αίθουσα/NOUN,120
αίμα/NOUN,121
αίτημα/NOUN,122
αίτηση/NOUN,123
αίτιο/NOUN,124
αγαθό/NOUN,125
αγγείο/NOUN,126
αγγελιοφόρος/NOUN,127
αγορά/NOUN,128
αγοραστής/NOUN,129
αγριογούρουνο/NOUN,130
αγριοκάτσικο/NOUN,131
αγωγή/NOUN,132
αγωγός/NOUN,133
αγωνιστής/NOUN,134
αγόρευση/NOUN,135
αγόρι/NOUN,136
αγώνας/NOUN,137
αδέρφι/NOUN,138
αδίκημα/NOUN,139
αδελφοποίηση/NOUN,140
αδελφός/NOUN,141
αδράνεια/NOUN,142
αδυναμία/NOUN,143
αεροδρόμιο/NOUN,144
αεροπλάνο/NOUN,145
αεροπορία/NOUN,146
αεροσκάφος/NOUN,147
αιγίδα/NOUN,148
αισιοδοξία/NOUN,149
αιτία/NOUN,150
αιχμή/NOUN,151
αιώνας/NOUN,152
ακαδημία/NOUN,153
ακινησία/NOUN,154
ακμή/NOUN,155
ακρίβεια/NOUN,156
ακρωτήρι/NOUN,157
ακρόαση/NOUN,158
ακρόπολη/NOUN,159
ακτίνα/NOUN,160
ακτιβιστής/NOUN,161
ακτινογραφία/NOUN,162
ακτοπλοΐα/NOUN,163
ακύρωση/NOUN,164
αλήθεια/NOUN,165
αλεξίπτωτο/NOUN,166
αλεξιπτωτιστής/NOUN,167
αλλαγή/NOUN,168
αλληλεγγύη/NOUN,169
αλληλεπίδραση/NOUN,170
αλληλογραφία/NOUN,171
αλυσίδα/NOUN,172
αλφαβητισμός/NOUN,173
αλώνι/NOUN,174
αμνήστευση/NOUN,175
