lemma,cl
/NOUN,1
10th/NOUN,2
11th/NOUN,3
12th/NOUN,4
1350/NOUN,5
13th/NOUN,6
1490/NOUN,7
14th/NOUN,8
15th/NOUN,9
16/NOUN,10
16th/NOUN,11
17th/NOUN,12
1920/NOUN,13
1950/NOUN,14
1960/NOUN,15
1970/NOUN,16
1980/NOUN,17
1990/NOUN,18
19th/NOUN,19
1st/NOUN,20
20/NOUN,21
2000s/NOUN,22
20th/NOUN,23
21st/NOUN,24
22/NOUN,25
22nd/NOUN,26
23rd/NOUN,27
24th/NOUN,28
25th/NOUN,29
26th/NOUN,30
27th/NOUN,31
28th/NOUN,32
29th/NOUN,33
2nd/NOUN,34
3/NOUN,35
30/NOUN,36
31st/NOUN,37
3g/NOUN,38
3rd/NOUN,39
4th/NOUN,40
5th/NOUN,41
60/NOUN,42
6th/NOUN,43
70/NOUN,44
7th/NOUN,45
80s/NOUN,46
8th/NOUN,47
90/NOUN,48
9th/NOUN,49
a/NOUN,50
aa/NOUN,51
abandon/NOUN,52
abandonment/NOUN,53
abattoir/NOUN,54
abbey/NOUN,55
aberration/NOUN,56
ability/NOUN,57
abnormality/NOUN,58
abortion/NOUN,59
about/NOUN,60
abroad/NOUN,61
absence/NOUN,62
absentee/NOUN,63
absorber/NOUN,64
absorption/NOUN,65
abstention/NOUN,66
abstinence/NOUN,67
abstract/NOUN,68
abstraction/NOUN,69
absurdity/NOUN,70
abundance/NOUN,71
abuse/NOUN,72
abuser/NOUN,73
abyss/NOUN,74
academia/NOUN,75
academic/NOUN,76
academics/NOUN,77
academy/NOUN,78
accelerator/NOUN,79
accent/NOUN,80
acceptance/NOUN,81
access/NOUN,82
accessibility/NOUN,83
accession/NOUN,84
accessory/NOUN,85
accident/NOUN,86
acclaim/NOUN,87
accolade/NOUN,88
accommodation/NOUN,89
accomplice/NOUN,90
accomplishment/NOUN,91
accord/NOUN,92
accordance/NOUN,93
account/NOUN,94
accountability/NOUN,95
accountant/NOUN,96
accounting/NOUN,97
accumulation/NOUN,98
accuracy/NOUN,99
accusation/NOUN,100
achievement/NOUN,101
acid/NOUN,102
acidity/NOUN,103
acne/NOUN,104
acquaintance/NOUN,105
acquisition/NOUN,106
acquittal/NOUN,107
acre/NOUN,108
acrimony/NOUN,109
acronym/NOUN,110
act/NOUN,111
actin/NOUN,112
acting/NOUN,113
action/NOUN,114
activation/NOUN,115
activism/NOUN,116
activist/NOUN,117
activity/NOUN,118
actor/NOUN,119
actress/NOUN,120
acuity/NOUN,121
acupuncture/NOUN,122
acupuncturist/NOUN,123
ad/NOUN,124
ada/NOUN,125
adage/NOUN,126
adaptation/NOUN,127
adaption/NOUN,128
addendum/NOUN,129
addict/NOUN,130
addiction/NOUN,131
addition/NOUN,132
additive/NOUN,133
address/NOUN,134
addressee/NOUN,135
adhd/NOUN,136
adherent/NOUN,137
adjective/NOUN,138
adjournment/NOUN,139
adjuster/NOUN,140
adjustment/NOUN,141
administration/NOUN,142
administrator/NOUN,143
admiral/NOUN,144
admiration/NOUN,145
admirer/NOUN,146
admission/NOUN,147
ado/NOUN,148
adolescence/NOUN,149
adolescent/NOUN,150
adoption/NOUN,151
adoration/NOUN,152
adsl/NOUN,153
adulation/NOUN,154
adult/NOUN,155
adulterer/NOUN,156
adulthood/NOUN,157
advance/NOUN,158
advancement/NOUN,159
advantage/NOUN,160
advent/NOUN,161
adventure/NOUN,162
adventurer/NOUN,163
adverb/NOUN,164
adversary/NOUN,165
adversity/NOUN,166
advert/NOUN,167
advertisement/NOUN,168
advertiser/NOUN,169
advertising/NOUN,170
advice/NOUN,171
advise/NOUN,172
adviser/NOUN,173
advisor/NOUN,174
advisory/NOUN,175
advocacy/NOUN,176
advocate/NOUN,177
aeroplane/NOUN,178
aerospace/NOUN,179
affair/NOUN,180
affect/NOUN,181
affectation/NOUN,182
affection/NOUN,183
affiliate/NOUN,184
affinity/NOUN,185
affliction/NOUN,186
affluent/NOUN,187
affront/NOUN,188
aficionado/NOUN,189
afterlife/NOUN,190
aftermath/NOUN,191
afternoon/NOUN,192
aftershock/NOUN,193
ag/NOUN,194
age/NOUN,195
agency/NOUN,196
agenda/NOUN,197
agent/NOUN,198
agglomeration/NOUN,199
aggravation/NOUN,200
aggregate/NOUN,201
aggregation/NOUN,202
aggregator/NOUN,203
aggression/NOUN,204
aging/NOUN,205
agitation/NOUN,206
agony/NOUN,207
agreement/NOUN,208
agriculturalist/NOUN,209
agriculture/NOUN,210
ah/NOUN,211
ahead/NOUN,212
aid/NOUN,213
aide/NOUN,214
aids/NOUN,215
ailment/NOUN,216
aim/NOUN,217
air/NOUN,218
airbase/NOUN,219
aircraft/NOUN,220
airfare/NOUN,221
airlift/NOUN,222
airline/NOUN,223
airliner/NOUN,224
airplane/NOUN,225
airport/NOUN,226
airway/NOUN,227
aisle/NOUN,228
ak/NOUN,229
alacrity/NOUN,230
alarm/NOUN,231
album/NOUN,232
alchemy/NOUN,233
alcohol/NOUN,234
alcoholism/NOUN,235
alderman/NOUN,236
ale/NOUN,237
alert/NOUN,238
alga/NOUN,239
algebra/NOUN,240
algorithm/NOUN,241
alias/NOUN,242
alienist/NOUN,243
alignment/NOUN,244
all/NOUN,245
allegation/NOUN,246
allegiance/NOUN,247
allegory/NOUN,248
allergy/NOUN,249
alley/NOUN,250
alleyway/NOUN,251
alliance/NOUN,252
allocation/NOUN,253
allowance/NOUN,254
allusion/NOUN,255
ally/NOUN,256
almanac/NOUN,257
almond/NOUN,258
alpha/NOUN,259
alphabet/NOUN,260
altar/NOUN,261
alteration/NOUN,262
altercation/NOUN,263
alternate/NOUN,264
alternative/NOUN,265
altitude/NOUN,266
aluminum/NOUN,267
alumnus/NOUN,268
am/NOUN,269
amalgam/NOUN,270
amalgamation/NOUN,271
amateur/NOUN,272
amazon/NOUN,273
ambassador/NOUN,274
ambiance/NOUN,275
ambience/NOUN,276
ambiguity/NOUN,277
ambition/NOUN,278
ambulance/NOUN,279
ambush/NOUN,280
amendment/NOUN,281
amenity/NOUN,282
ammonia/NOUN,283
ammonium/NOUN,284
ammunition/NOUN,285
amnesty/NOUN,286
amount/NOUN,287
amp/NOUN,288
amphitheatre/NOUN,289
amplitude/NOUN,290
amusement/NOUN,291
analogue/NOUN,292
analogy/NOUN,293
analysis/NOUN,294
analyst/NOUN,295
anarchy/NOUN,296
anatomy/NOUN,297
ancestor/NOUN,298
ancestry/NOUN,299
anchor/NOUN,300
anchorage/NOUN,301
andrea/NOUN,302
anecdote/NOUN,303
anemone/NOUN,304
anesthetic/NOUN,305
angel/NOUN,306
anger/NOUN,307
angle/NOUN,308
animal/NOUN,309
animation/NOUN,310
anime/NOUN,311
ankle/NOUN,312
annex/NOUN,313
annexation/NOUN,314
annexe/NOUN,315
anniversary/NOUN,316
anniversay/NOUN,317
annotation/NOUN,318
announcement/NOUN,319
annoyance/NOUN,320
annual/NOUN,321
another/NOUN,322
ans/NOUN,323
answer/NOUN,324
ant/NOUN,325
antecedent/NOUN,326
antenna/NOUN,327
anthem/NOUN,328
anthology/NOUN,329
anthrax/NOUN,330
anthropologist/NOUN,331
anti-americanism/NOUN,332
anti-semite/NOUN,333
anti-semitism/NOUN,334
antibiotic/NOUN,335
anticipation/NOUN,336
antifreeze/NOUN,337
antipode/NOUN,338
antique/NOUN,339
antiquity/NOUN,340
antiseptic/NOUN,341
anxiety/NOUN,342
anytime/NOUN,343
anywhere/NOUN,344
ap/NOUN,345
apartment/NOUN,346
aperture/NOUN,347
aphid/NOUN,348
api/NOUN,349
apogee/NOUN,350
apology/NOUN,351
apostle/NOUN,352
apothecary/NOUN,353
app/NOUN,354
apparatus/NOUN,355
apparition/NOUN,356
appeal/NOUN,357
appearance/NOUN,358
appellation/NOUN,359
appendix/NOUN,360
appetite/NOUN,361
appetizer/NOUN,362
applause/NOUN,363
apple/NOUN,364
appliance/NOUN,365
applicant/NOUN,366
application/NOUN,367
appointee/NOUN,368
appointment/NOUN,369
appraisal/NOUN,370
appreciation/NOUN,371
apprehension/NOUN,372
apprentice/NOUN,373
apprenticeship/NOUN,374
approach/NOUN,375
appropriateness/NOUN,376
appropriation/NOUN,377
approval/NOUN,378
approximation/NOUN,379
apps/NOUN,380
apricot/NOUN,381
apron/NOUN,382
apse/NOUN,383
aptitude/NOUN,384
aquarist/NOUN,385
aquarium/NOUN,386
ar/NOUN,387
arab/NOUN,388
arabic/NOUN,389
arbitration/NOUN,390
arbitrator/NOUN,391
arc/NOUN,392
arch/NOUN,393
arch-enemy/NOUN,394
archbishop/NOUN,395
archeologist/NOUN,396
archer/NOUN,397
archetype/NOUN,398
archipelago/NOUN,399
architect/NOUN,400
architecture/NOUN,401
archive/NOUN,402
archivist/NOUN,403
archosaur/NOUN,404
archway/NOUN,405
area/NOUN,406
arena/NOUN,407
argument/NOUN,408
aristocracy/NOUN,409
aristocrat/NOUN,410
arm/NOUN,411
armament/NOUN,412
armature/NOUN,413
armchair/NOUN,414
armenian/NOUN,415
armour/NOUN,416
army/NOUN,417
around/NOUN,418
arrangement/NOUN,419
array/NOUN,420
arrest/NOUN,421
arrival/NOUN,422
arrogance/NOUN,423
arrow/NOUN,424
arse/NOUN,425
arsenal/NOUN,426
arsenic/NOUN,427
art/NOUN,428
artery/NOUN,429
arthritis/NOUN,430
article/NOUN,431
artifact/NOUN,432
artillery/NOUN,433
artisan/NOUN,434
artist/NOUN,435
artistry/NOUN,436
artwork/NOUN,437
asbestos/NOUN,438
ascetic/NOUN,439
ash/NOUN,440
asparagus/NOUN,441
aspect/NOUN,442
asphalt/NOUN,443
aspiration/NOUN,444
aspirin/NOUN,445
ass/NOUN,446
assailant/NOUN,447
assassin/NOUN,448
assassination/NOUN,449
assault/NOUN,450
assembly/NOUN,451
assertion/NOUN,452
assessment/NOUN,453
asset/NOUN,454
assets/NOUN,455
assignment/NOUN,456
assistance/NOUN,457
assistant/NOUN,458
associate/NOUN,459
association/NOUN,460
assortment/NOUN,461
assumption/NOUN,462
assurance/NOUN,463
asterisk/NOUN,464
asteroid/NOUN,465
asthma/NOUN,466
astonishment/NOUN,467
astrology/NOUN,468
astronaut/NOUN,469
astronomer/NOUN,470
astronomy/NOUN,471
asylum/NOUN,472
atheism/NOUN,473
atheist/NOUN,474
athlete/NOUN,475
atm/NOUN,476
atmosphere/NOUN,477
atoll/NOUN,478
atom/NOUN,479
atrocity/NOUN,480
atrophy/NOUN,481
attachment/NOUN,482
attack/NOUN,483
attacker/NOUN,484
attainment/NOUN,485
attempt/NOUN,486
attendance/NOUN,487
attendant/NOUN,488
attendee/NOUN,489
attention/NOUN,490
attic/NOUN,491
attitude/NOUN,492
attorney/NOUN,493
attraction/NOUN,494
attribute/NOUN,495
