last/ADJ,night/NOUN
best/ADJ,answer/NOUN
scary/ADJ,movies/NOUN
simple/ADJ,tasks/NOUN
fresh/ADJ,energy/NOUN
recent/ADJ,events/NOUN
ordinary/ADJ,meals/NOUN
financial/ADJ,hypertrophy/NOUN
concrete/ADJ,facts/NOUN
Nervous/ADJ,people/NOUN
last/ADJ,night/NOUN
economic/ADJ,values/NOUN
further/ADJ,study/NOUN
fair/ADJ,weather/NOUN
elementary/ADJ,school/NOUN
First/ADJ,room/NOUN
Great/ADJ,Barber/NOUN
future/ADJ,costs/NOUN
European/ADJ,governments/NOUN
hostile/ADJ,environment/NOUN
long/ADJ,term/NOUN
Greek/ADJ,court/NOUN
such/ADJ,pain/NOUN
further/ADJ,doubts/NOUN
Many/ADJ,times/NOUN
relative/ADJ,proportions/NOUN
microbial/ADJ,communities/NOUN
universal/ADJ,words/NOUN
national/ADJ,development/NOUN
last/ADJ,week/NOUN
such/ADJ,payment/NOUN
common/ADJ,sense/NOUN
military/ADJ,pressure/NOUN
average/ADJ,temperatures/NOUN
indoor/ADJ,pet/NOUN
religious/ADJ,groups/NOUN
local/ADJ,golfers/NOUN
natural/ADJ,disaster/NOUN
other/ADJ,work/NOUN
Most/ADJ,travellers/NOUN
Imaginary/ADJ,evil/NOUN
extra/ADJ,sunshine/NOUN
general/ADJ,peace/NOUN
Other/ADJ,studies/NOUN
implementing/ADJ,measures/NOUN
hi-tech/ADJ,growth/NOUN
swell/ADJ,heads/NOUN
Scottish/ADJ,friends/NOUN
Direct/ADJ,access/NOUN
higher/ADJ,yields/NOUN
national/ADJ,provisions/NOUN
fake/ADJ,snitches/NOUN
biochemical/ADJ,weapons/NOUN
considerable/ADJ,credence/NOUN
renewable/ADJ,energy/NOUN
arrogant/ADJ,people/NOUN
Oxalic/ADJ,acid/NOUN
last/ADJ,night/NOUN
gay/ADJ,marriage/NOUN
many/ADJ,immigrants/NOUN
large/ADJ,bag/NOUN
sharp/ADJ,criticism/NOUN
immense/ADJ,pain/NOUN
whole/ADJ,heart/NOUN
femoral/ADJ,retraction/NOUN
Elizabethan/ADJ,views/NOUN
transformational/ADJ,grammar/NOUN
7th/ADJ,Floor/NOUN
Purple/ADJ,basil/NOUN
Many/ADJ,students/NOUN
next/ADJ,year/NOUN
last/ADJ,night/NOUN
civil/ADJ,engineering/NOUN
bad/ADJ,faith/NOUN
Terrible/ADJ,Service/NOUN
big/ADJ,activities/NOUN
internal/ADJ,audit/NOUN
friendly/ADJ,fire/NOUN
basic/ADJ,math/NOUN
many/ADJ,people/NOUN
considerable/ADJ,light/NOUN
last/ADJ,week/NOUN
Large/ADJ,Fries/NOUN
sexual/ADJ,releif/NOUN
original/ADJ,extent/NOUN
Feminine/ADJ,Future/NOUN
future/ADJ,disasters/NOUN
homeopathic/ADJ,drops/NOUN
worse/ADJ,ideas/NOUN
medical/ADJ,school/NOUN
Executive/ADJ,Committee/NOUN
hard/ADJ,copy/NOUN
last/ADJ,night/NOUN
high/ADJ,end/NOUN
illegal/ADJ,whale/NOUN
nuclear/ADJ,weapons/NOUN
public/ADJ,school/NOUN
full/ADJ,disease/NOUN
Common/ADJ,room/NOUN
different/ADJ,things/NOUN
