lemma,cl
/NOUN,1
10/NOUN,2
11/NOUN,3
1629/NOUN,4
1695/NOUN,5
1697/NOUN,6
1708/NOUN,7
1759/NOUN,8
1765/NOUN,9
1801/NOUN,10
1804/NOUN,11
1812/NOUN,12
1822/NOUN,13
1823/NOUN,14
1838/NOUN,15
1860/NOUN,16
1863/NOUN,17
1878/NOUN,18
1892/NOUN,19
1896/NOUN,20
1897/NOUN,21
1900/NOUN,22
1903/NOUN,23
1904/NOUN,24
1906/NOUN,25
1908/NOUN,26
1912/NOUN,27
1913/NOUN,28
1914/NOUN,29
1918/NOUN,30
1921/NOUN,31
1924/NOUN,32
1925/NOUN,33
1926/NOUN,34
1927/NOUN,35
1928/NOUN,36
1930/NOUN,37
1935/NOUN,38
1937/NOUN,39
1941/NOUN,40
1942/NOUN,41
1943/NOUN,42
1944/NOUN,43
1945/NOUN,44
1946/NOUN,45
1947/NOUN,46
1948/NOUN,47
1950/NOUN,48
1952/NOUN,49
1955/NOUN,50
1956/NOUN,51
1960/NOUN,52
1963/NOUN,53
1965/NOUN,54
1966/NOUN,55
1967/NOUN,56
1968/NOUN,57
1969/NOUN,58
1970/NOUN,59
1971/NOUN,60
1972/NOUN,61
1973/NOUN,62
1974/NOUN,63
1975/NOUN,64
1976/NOUN,65
1977/NOUN,66
1978/NOUN,67
1979/NOUN,68
1980/NOUN,69
1981/NOUN,70
1982/NOUN,71
1983/NOUN,72
1984/NOUN,73
1985/NOUN,74
1986/NOUN,75
1987/NOUN,76
1988/NOUN,77
1989/NOUN,78
1990/NOUN,79
1991/NOUN,80
1992/NOUN,81
1993/NOUN,82
1994/NOUN,83
1995/NOUN,84
1996/NOUN,85
1997/NOUN,86
1998/NOUN,87
1999/NOUN,88
1999-2000/NOUN,89
2/NOUN,90
2000/NOUN,91
2001/NOUN,92
2002/NOUN,93
2003/NOUN,94
2004/NOUN,95
2005/NOUN,96
2006/NOUN,97
2008/NOUN,98
2009/NOUN,99
4/NOUN,100
40/NOUN,101
58/NOUN,102
68/NOUN,103
69/NOUN,104
7/NOUN,105
70/NOUN,106
80/NOUN,107
90/NOUN,108
a/NOUN,109
abad/NOUN,110
abadesa/NOUN,111
abadía/NOUN,112
abajo/NOUN,113
abanderado/NOUN,114
abandono/NOUN,115
abanico/NOUN,116
abaratamiento/NOUN,117
abastecimiento/NOUN,118
abasto/NOUN,119
abdicación/NOUN,120
abdomen/NOUN,121
abductor/NOUN,122
abeja/NOUN,123
abejo/NOUN,124
abejorro/NOUN,125
abertura/NOUN,126
abeto/NOUN,127
abierto/NOUN,128
abismo/NOUN,129
abogada/NOUN,130
abogado/NOUN,131
abolición/NOUN,132
abombamiento/NOUN,133
abonado/NOUN,134
abono/NOUN,135
