lemma,cl
/NOUN,1
3d/NOUN,2
a/NOUN,3
aa/NOUN,4
aade/NOUN,5
aadelkond/NOUN,6
aadre/NOUN,7
aadress/NOUN,8
aafriklane/NOUN,9
aaria/NOUN,10
aas/NOUN,11
aasta/NOUN,12
aasta_sada/NOUN,13
aatom/NOUN,14
aatrium/NOUN,15
abajas/NOUN,16
abi/NOUN,17
abiline/NOUN,18
abistaja/NOUN,19
abistamine/NOUN,20
abiturient/NOUN,21
abitus/NOUN,22
ablatsioon/NOUN,23
aborigeen/NOUN,24
abort/NOUN,25
abs/NOUN,26
absint/NOUN,27
abstraktsionism/NOUN,28
abstsess/NOUN,29
adjutant/NOUN,30
administraator/NOUN,31
administratsioon/NOUN,32
admiral/NOUN,33
adressaat/NOUN,34
advokaat/NOUN,35
aed/NOUN,36
aednik/NOUN,37
aeg/NOUN,38
aeg_ruum/NOUN,39
aega/NOUN,40
aeglus/NOUN,41
aerosool/NOUN,42
aferist/NOUN,43
afgaan/NOUN,44
afäär/NOUN,45
age/NOUN,46
agens/NOUN,47
agent/NOUN,48
agentuur/NOUN,49
agnoosia/NOUN,50
agressiivsus/NOUN,51
agressioon/NOUN,52
agressor/NOUN,53
agu/NOUN,54
agul/NOUN,55
ah/NOUN,56
ahastus/NOUN,57
ahel/NOUN,58
ahenemine/NOUN,59
ahi/NOUN,60
ahistamine/NOUN,61
ahnus/NOUN,62
ahv/NOUN,63
ahvatlus/NOUN,64
aiand/NOUN,65
aids/NOUN,66
aim/NOUN,67
aimdus/NOUN,68
aimus/NOUN,69
aine/NOUN,70
aines/NOUN,71
ainus/NOUN,72
aisting/NOUN,73
ait/NOUN,74
aitamine/NOUN,75
aja_kiri/NOUN,76
aja_leht/NOUN,77
aja_lugu/NOUN,78
ajalugu/NOUN,79
ajastu/NOUN,80
ajastus/NOUN,81
ajatolla/NOUN,82
ajend/NOUN,83
aju/NOUN,84
akaatsia/NOUN,85
akadeemia/NOUN,86
akadeemik/NOUN,87
akadeemiline/NOUN,88
aken/NOUN,89
akordion/NOUN,90
akordionist/NOUN,91
akretsioon/NOUN,92
aksessuaar/NOUN,93
akt/NOUN,94
aktiivsus/NOUN,95
aktivatsioon/NOUN,96
aktivist/NOUN,97
aktiviteet/NOUN,98
aktsent/NOUN,99
aktsia/NOUN,100
aktsia_kapital/NOUN,101
aktsionär/NOUN,102
aktsioon/NOUN,103
aktuaalsus/NOUN,104
aktus/NOUN,105
aku/NOUN,106
akumulatsioon/NOUN,107
akvaarium/NOUN,108
al/NOUN,109
ala/NOUN,110
ala_osa/NOUN,111
ala_pool/NOUN,112
ala_teadvus/NOUN,113
alaan/NOUN,114
alal/NOUN,115
alam/NOUN,116
alam-palk/NOUN,117
alam_koda/NOUN,118
alam_piir/NOUN,119
alandamine/NOUN,120
alandlikkus/NOUN,121
alanemine/NOUN,122
alarm/NOUN,123
albaanlane/NOUN,124
albeedo/NOUN,125
albiino/NOUN,126
albinism/NOUN,127
album/NOUN,128
alev/NOUN,129
alevik/NOUN,130
alg/NOUN,131
alg_seis/NOUN,132
algaja/NOUN,133
algataja/NOUN,134
algatus/NOUN,135
alge/NOUN,136
algebra/NOUN,137
algoritm/NOUN,138
algus/NOUN,139
algus_koht/NOUN,140
alistumine/NOUN,141
alkohol/NOUN,142
alkoholism/NOUN,143
alkohoolik/NOUN,144
all_kiri/NOUN,145
allergia/NOUN,146
allianss/NOUN,147
allikas/NOUN,148
allusioon/NOUN,149
allutamine/NOUN,150
alluv/NOUN,151
alluvus/NOUN,152
allüür/NOUN,153
alpinist/NOUN,154
altar/NOUN,155
alternatiiv/NOUN,156
alus/NOUN,157
alustamine/NOUN,158
amatöör/NOUN,159
ambitsioon/NOUN,160
ameeriklane/NOUN,161
ameeriklanna/NOUN,162
amet/NOUN,163
ameti_koht/NOUN,164
ameti_vanne/NOUN,165
ametkond/NOUN,166
ametnik/NOUN,167
ametnikkond/NOUN,168
amneesia/NOUN,169
amnestia/NOUN,170
amortisaator/NOUN,171
amortisatsioon/NOUN,172
ampermeeter/NOUN,173
ampull/NOUN,174
amüloidoos/NOUN,175
anakonda/NOUN,176
analoog/NOUN,177
analoogia/NOUN,178
analüüs/NOUN,179
analüütik/NOUN,180
anamnees/NOUN,181
ananass/NOUN,182
anarhia/NOUN,183
anatoomia/NOUN,184
anatoomikum/NOUN,185
and/NOUN,186
andekus/NOUN,187
andja/NOUN,188
andme/NOUN,189
andme_kogu/NOUN,190
andme_side/NOUN,191
andmestik/NOUN,192
andmine/NOUN,193
andur/NOUN,194
anekdoot/NOUN,195
angaar/NOUN,196
ani/NOUN,197
aniis/NOUN,198
animatsioon/NOUN,199
ankeet/NOUN,200
ankur/NOUN,201
anne/NOUN,202
annetaja/NOUN,203
annetus/NOUN,204
annotatsioon/NOUN,205
annus/NOUN,206
anomaalia/NOUN,207
anonüümsus/NOUN,208
ansambel/NOUN,209
antagonism/NOUN,210
antagonist/NOUN,211
ante/NOUN,212
antenn/NOUN,213
anti_keha/NOUN,214
antiik/NOUN,215
antiloop/NOUN,216
antioksüdant/NOUN,217
antipaatia/NOUN,218
antoloogia/NOUN,219
antropoloogia/NOUN,220
anum/NOUN,221
anšoovis/NOUN,222
aort/NOUN,223
ap/NOUN,224
aparaat/NOUN,225
aparatuur/NOUN,226
api/NOUN,227
aplaus/NOUN,228
apoptoos/NOUN,229
apostel/NOUN,230
app/NOUN,231
aprill/NOUN,232
apteek/NOUN,233
apteeker/NOUN,234
araablane/NOUN,235
arb/NOUN,236
areen/NOUN,237
arendaja/NOUN,238
arendamine/NOUN,239
arendus/NOUN,240
arenemine/NOUN,241
areng/NOUN,242
arest/NOUN,243
aretus_töö/NOUN,244
argentiinlane/NOUN,245
argument/NOUN,246
arheoloog/NOUN,247
arhiiv/NOUN,248
arhitekt/NOUN,249
arhitektoonika/NOUN,250
arhitektuur/NOUN,251
aristokraat/NOUN,252
arm/NOUN,253
armastatu/NOUN,254
armastus/NOUN,255
armastus_laul/NOUN,256
armee/NOUN,257
armeenlane/NOUN,258
armsam/NOUN,259
armu-laud/NOUN,260
armu_kadedus/NOUN,261
armuke/NOUN,262
armulikkus/NOUN,263
aroom/NOUN,264
arreteerimine/NOUN,265
arsenal/NOUN,266
arst/NOUN,267
arstim/NOUN,268
arstkond/NOUN,269
arter/NOUN,270
arteriool/NOUN,271
artikkel/NOUN,272
artist/NOUN,273
aru/NOUN,274
arukus/NOUN,275
arutamine/NOUN,276
arutelu/NOUN,277
arutlemine/NOUN,278
arutlus/NOUN,279
arv/NOUN,280
arvamus/NOUN,281
arve/NOUN,282
arveldus/NOUN,283
arvestamine/NOUN,284
arvestus/NOUN,285
arvukus/NOUN,286
arvustus/NOUN,287
arvutamine/NOUN,288
arvuti/NOUN,289
arvuti_mäng/NOUN,290
arvuti_võrk/NOUN,291
arvutus/NOUN,292
arütmia/NOUN,293
as/NOUN,294
ase/NOUN,295
ase_täitja/NOUN,296
asend/NOUN,297
asendaja/NOUN,298
asendamine/NOUN,299
asendus/NOUN,300
aser/NOUN,301
asetamine/NOUN,302
asetus/NOUN,303
asfalt/NOUN,304
asfalt_tee/NOUN,305
asi/NOUN,306
asja_ajamine/NOUN,307
asja_olu/NOUN,308
asja_pulk/NOUN,309
asja_tundlikkus/NOUN,310
asjalikkus/NOUN,311
askeldamine/NOUN,312
aspekt/NOUN,313
aspirantuur/NOUN,314
assistent/NOUN,315
assotsiatsioon/NOUN,316
aste/NOUN,317
asteroid/NOUN,318
astma/NOUN,319
astroloog/NOUN,320
astroloogia/NOUN,321
astromeetria/NOUN,322
astronoom/NOUN,323
astronoomia/NOUN,324
astumine/NOUN,325
asu_koht/NOUN,326
asu_maa/NOUN,327
asu_paik/NOUN,328
asukas/NOUN,329
asula/NOUN,330
asum/NOUN,331
asumine/NOUN,332
asutaja/NOUN,333
asutamine/NOUN,334
asutus/NOUN,335
asümmeetria/NOUN,336
asüül/NOUN,337
at/NOUN,338
atakk/NOUN,339
ataksia/NOUN,340
