lemma,cl
/NOUN,1
5/NOUN,2
a/NOUN,3
ab/NOUN,4
abade/NOUN,5
abal/NOUN,6
abangoardista/NOUN,7
abantaila/NOUN,8
abar/NOUN,9
abeltzain/NOUN,10
abeltzaintza/NOUN,11
abendu/NOUN,12
abentura/NOUN,13
aberastasun/NOUN,14
aberats/NOUN,15
abere/NOUN,16
abertzale/NOUN,17
abertzaletasun/NOUN,18
abesti/NOUN,19
abiaburu/NOUN,20
abiada/NOUN,21
abiapuntu/NOUN,22
abiazio/NOUN,23
abisu/NOUN,24
abizen/NOUN,25
abokatu/NOUN,26
abortu/NOUN,27
abuztu/NOUN,28
adar/NOUN,29
adia/NOUN,30
adibide/NOUN,31
adierazgarri/NOUN,32
adierazle/NOUN,33
adierazpen/NOUN,34
adimen/NOUN,35
adin/NOUN,36
adina/NOUN,37
adiskidantza/NOUN,38
adiskide/NOUN,39
adiskidetze/NOUN,40
aditu/NOUN,41
aditza/NOUN,42
adizki/NOUN,43
administratibo/NOUN,44
administratzaile/NOUN,45
administrazio/NOUN,46
adore/NOUN,47
adostasun/NOUN,48
adreilu/NOUN,49
afari/NOUN,50
afera/NOUN,51
afiliazio/NOUN,52
agenda/NOUN,53
agente/NOUN,54
agentzia/NOUN,55
agerraldi/NOUN,56
agerrera/NOUN,57
agindu/NOUN,58
agindupe/NOUN,59
aginpide/NOUN,60
agintaldi/NOUN,61
agintari/NOUN,62
agintaritza/NOUN,63
aginte/NOUN,64
aginte+!pe/NOUN,65
agiri/NOUN,66
agur/NOUN,67
agure/NOUN,68
ahal/NOUN,69
ahaldun/NOUN,70
ahalegin/NOUN,71
ahalmen/NOUN,72
ahate/NOUN,73
ahizpa/NOUN,74
aho/NOUN,75
aholku/NOUN,76
aholkulari/NOUN,77
ahoskera/NOUN,78
ahots/NOUN,79
ahuldade/NOUN,80
ahulezia/NOUN,81
ahultasun/NOUN,82
aipamen/NOUN,83
aipu/NOUN,84
aire/NOUN,85
aireportu/NOUN,86
aireztapen/NOUN,87
aita/NOUN,88
aitorpen/NOUN,89
aitzakia/NOUN,90
aitzin/NOUN,91
aitzinalde/NOUN,92
aitzindari/NOUN,93
aitzineko/NOUN,94
aizkolari/NOUN,95
aizkora/NOUN,96
aizto/NOUN,97
aje/NOUN,98
akademia/NOUN,99
akats/NOUN,100
akordio/NOUN,101
aktibitate/NOUN,102
aktibo/NOUN,103
aktore/NOUN,104
akusatu/NOUN,105
akusazio/NOUN,106
akzio/NOUN,107
akziodun/NOUN,108
alaba/NOUN,109
alaitasun/NOUN,110
alargun/NOUN,111
alarma/NOUN,112
albaniar/NOUN,113
albiste/NOUN,114
albo/NOUN,115
alboka/NOUN,116
albokari/NOUN,117
aldaera/NOUN,118
aldaketa/NOUN,119
aldakortasun/NOUN,120
aldamen/NOUN,121
aldapa/NOUN,122
aldare/NOUN,123
aldarrikapen/NOUN,124
aldats/NOUN,125
alde/NOUN,126
aldeko/NOUN,127
alderdi/NOUN,128
alderdikide/NOUN,129
aldi/NOUN,130
aldizkari/NOUN,131
