lemma,cl
/NOUN,1
a/NOUN,2
b/NOUN,3
bbc/NOUN,4
d/NOUN,5
f/NOUN,6
g/NOUN,7
k/NOUN,8
m/NOUN,9
y/NOUN,10
آ/NOUN,11
آب/NOUN,12
آباد/NOUN,13
آبادان/NOUN,14
آبادانی/NOUN,15
آبادی/NOUN,16
آبجو/NOUN,17
آبرسانی/NOUN,18
آبرو/NOUN,19
آبریز/NOUN,20
آبزی/NOUN,21
آبسه/NOUN,22
آبشار/NOUN,23
آبشش/NOUN,24
آبله/NOUN,25
آبی/NOUN,26
آبیاری/NOUN,27
آتش/NOUN,28
آتشفشان/NOUN,29
آتشکده/NOUN,30
آتن/NOUN,31
آتو/NOUN,32
آجان/NOUN,33
آجر/NOUN,34
آجرپزی/NOUN,35
آجرچینی/NOUN,36
آخ/NOUN,37
آخر/NOUN,38
آخرالزمان/NOUN,39
آخرت/NOUN,40
آخوند/NOUN,41
آداب/NOUN,42
آدرس/NOUN,43
آدم/NOUN,44
آدمک/NOUN,45
آدولف/NOUN,46
آدیداس/NOUN,47
آدینه/NOUN,48
آذربایجان/NOUN,49
آذوقه/NOUN,50
آذین/NOUN,51
آر/NOUN,52
آراستن/NOUN,53
آراستگی/NOUN,54
آرامش/NOUN,55
آرامگاه/NOUN,56
آرایش/NOUN,57
آرایشگاه/NOUN,58
آرتیکل/NOUN,59
آرزو/NOUN,60
آرزومندی/NOUN,61
آرسنیک/NOUN,62
آرش/NOUN,63
آرشیو/NOUN,64
آرمان/NOUN,65
آرمین/NOUN,66
آروغ/NOUN,67
آرژانتین/NOUN,68
آرژانتینی/NOUN,69
آریا/NOUN,70
آزاداندیش/NOUN,71
آزادراه/NOUN,72
آزادسازی/NOUN,73
آزاده/NOUN,74
آزادی/NOUN,75
آزار/NOUN,76
آزمایش/NOUN,77
آزمایشگاه/NOUN,78
آزمند/NOUN,79
آزمودنی/NOUN,80
آزمون/NOUN,81
آسان/NOUN,82
آسانسور/NOUN,83
آسانی/NOUN,84
آسایش/NOUN,85
آستارا/NOUN,86
آستانه/NOUN,87
آستر/NOUN,88
آستین/NOUN,89
آسم/NOUN,90
آسمان/NOUN,91
آسمانخراش/NOUN,92
