lemma,cl
/NOUN,1
2n/NOUN,2
3d/NOUN,3
3g/NOUN,4
4x4/NOUN,5
a/NOUN,6
a87/NOUN,7
abandon/NOUN,8
abattage/NOUN,9
abattement/NOUN,10
abattoir/NOUN,11
abbatiale/NOUN,12
abbatiat/NOUN,13
abbaye/NOUN,14
abbé/NOUN,15
abdication/NOUN,16
abdominaux/NOUN,17
abeille/NOUN,18
ablation/NOUN,19
abnégation/NOUN,20
abois/NOUN,21
abolition/NOUN,22
abolitionniste/NOUN,23
abondance/NOUN,24
abonnement/NOUN,25
abonné/NOUN,26
abord/NOUN,27
abordage/NOUN,28
aborigène/NOUN,29
aboutissants/NOUN,30
aboutissement/NOUN,31
abri/NOUN,32
abrogation/NOUN,33
abrupt/NOUN,34
abréviation/NOUN,35
abscisse/NOUN,36
absence/NOUN,37
absentéisme/NOUN,38
abside/NOUN,39
absorption/NOUN,40
abstention/NOUN,41
abstentionnisme/NOUN,42
abstinence/NOUN,43
abstraction/NOUN,44
absurde/NOUN,45
abus/NOUN,46
abîme/NOUN,47
acacia/NOUN,48
academy/NOUN,49
académicien/NOUN,50
académie/NOUN,51
accent/NOUN,52
accentuation/NOUN,53
acceptation/NOUN,54
accepter/NOUN,55
accessibilité/NOUN,56
accession/NOUN,57
accessoire/NOUN,58
accessoiriste/NOUN,59
accident/NOUN,60
acclamation/NOUN,61
accompagnateur/NOUN,62
accompagnement/NOUN,63
accomplissement/NOUN,64
accord/NOUN,65
accotement/NOUN,66
accouchement/NOUN,67
accoudoir/NOUN,68
accrochage/NOUN,69
accroissement/NOUN,70
accueil/NOUN,71
accumulation/NOUN,72
accusateur/NOUN,73
accusation/NOUN,74
accusé/NOUN,75
accès/NOUN,76
accélération/NOUN,77
achalandage/NOUN,78
acharnement/NOUN,79
achat/NOUN,80
acheminement/NOUN,81
acheteur/NOUN,82
achoppement/NOUN,83
achèvement/NOUN,84
achéen/NOUN,85
acide/NOUN,86
acier/NOUN,87
aciérie/NOUN,88
acolyte/NOUN,89
acoustique/NOUN,90
acquis/NOUN,91
acquisition/NOUN,92
acquittement/NOUN,93
acquéreur/NOUN,94
acronyme/NOUN,95
acrylique/NOUN,96
act/NOUN,97
acte/NOUN,98
acteur/NOUN,99
actif/NOUN,100
action/NOUN,101
actionnaire/NOUN,102
activation/NOUN,103
