bonne/ADJ,réputation/NOUN
Colonial/ADJ,War/NOUN
Plusieurs/ADJ,analystes/NOUN
Grand/ADJ,Chancelier/NOUN
Informations/NOUN,supplémentaires/ADJ
Lien/NOUN,interne/ADJ
plusieurs/ADJ,sites/NOUN
match/NOUN,nul/ADJ
2ème/ADJ,Bureau/NOUN
Sapeur-pompier/NOUN,volontaire/ADJ
ostéoporose/NOUN,post-ménopausique/ADJ
partie/NOUN,intégrante/ADJ
match/NOUN,nul/ADJ
Premier/ADJ,jour/NOUN
ANNEXE/NOUN,II/ADJ
grand/ADJ,public/NOUN
détective/NOUN,privé/ADJ
Nouvelles/NOUN,orientales/ADJ
Grand/ADJ,Tourisme/NOUN
vieux/ADJ,style/NOUN
pleine/ADJ,expression/NOUN
monument/NOUN,historique/ADJ
mercredi/NOUN,prochain/ADJ
Certains/ADJ,animaux/NOUN
cinquième/ADJ,contreur/NOUN
monument/NOUN,historique/ADJ
basketteur/NOUN,professionnel/ADJ
publicité/NOUN,mensongère/ADJ
jeudi/NOUN,dernier/ADJ
Saignements/NOUN,majeurs/ADJ
certaines/ADJ,particules/NOUN
Indications/NOUN,thérapeutiques/ADJ
énergies/NOUN,nouvelles/ADJ
partie/NOUN,intégrante/ADJ
bonne/ADJ,humeur/NOUN
dimanche/NOUN,dernier/ADJ
deuxième/ADJ,année/NOUN
partie/NOUN,civile/ADJ
rive/NOUN,droite/ADJ
miroir/NOUN,vivifiant/ADJ
bonne/ADJ,journée/NOUN
ancien/ADJ,arbitre/NOUN
Black/ADJ,Panther/NOUN
inventeur/NOUN,français/ADJ
caillots/NOUN,sanguins/ADJ
hard/ADJ,rock/NOUN
troisième/ADJ,classe/NOUN
partie/NOUN,intégrante/ADJ
Affaire/NOUN,politico-financière/ADJ
moult/ADJ,fois/NOUN
différents/ADJ,abonnements/NOUN
Bivalidurine/NOUN,seule/ADJ
Liens/NOUN,externes/ADJ
grand/ADJ,seigneur/NOUN
quelques/ADJ,courses/NOUN
diverses/ADJ,mesures/NOUN
Bivalidurine/NOUN,seule/ADJ
Propriétés/NOUN,pharmacodynamiques/ADJ
Monument/NOUN,historique/ADJ
N1/NOUN,hollandaise/ADJ
plusieurs/ADJ,fois/NOUN
Effets/NOUN,indésirables/ADJ
bivalirudine/NOUN,seule/ADJ
Mer/NOUN,Rouge/ADJ
Insuffisance/NOUN,rénale/ADJ
Monument/NOUN,historique/ADJ
ingénieurs/NOUN,militaires/ADJ
Références/NOUN,bibliographiques/ADJ
partie/NOUN,intégrante/ADJ
Lundi/NOUN,dernier/ADJ
Troubles/NOUN,gastro-intestinaux/ADJ
chaque/ADJ,empereur/NOUN
langue/NOUN,étrangère/ADJ
toxémie/NOUN,gravidique/ADJ
mercredi/NOUN,dernier/ADJ
Fréquence/NOUN,inconnue/ADJ
Chaque/ADJ,poème/NOUN
ambiance/NOUN,africaine/ADJ
vendredi/NOUN,dernier/ADJ
hiver/NOUN,prochain/ADJ
monuments/NOUN,historiques/ADJ
extrême/ADJ,urgence/NOUN
plusieurs/ADJ,fois/NOUN
conditionnement/NOUN,unitaire/ADJ
monument/NOUN,historique/ADJ
Liens/NOUN,internes/ADJ
troisième/ADJ,catégorie/NOUN
Art/NOUN,Nouveau/ADJ
Liens/NOUN,externes/ADJ
pied/NOUN,noir/ADJ
première/ADJ,lecture/NOUN
new/ADJ,wave/NOUN
vendredi/NOUN,prochain/ADJ
lundi/NOUN,prochain/ADJ
mini/ADJ,série/NOUN
plein/ADJ,format/NOUN
grand/ADJ,chose/NOUN
hautes/ADJ,résolutions/NOUN
Dead/ADJ,Season/NOUN
agent/NOUN,libre/ADJ
courant/NOUN,faible/ADJ
Edition/NOUN,Universitaires/ADJ
