autres/ADJ,quantités/NOUN,physiques/ADJ
Intelligence/NOUN,collective/ADJ,mondiale/ADJ
l’expansion/NOUN,navale/ADJ,soviétique/ADJ
conceptual/ADJ,landscape/NOUN,model/ADJ
Noms/ADJ,communs/NOUN,japonais/ADJ
Suave/ADJ,mari/NOUN,magno/ADJ
Républiques/NOUN,socialistes/ADJ,soviétiques/ADJ
Premières/ADJ,activités/NOUN,humaines/ADJ
homme/NOUN,politique/ADJ,tchadien/ADJ
homme/NOUN,politique/ADJ,genevois/ADJ
Assemblée/NOUN,constituante/ADJ,birmane/ADJ
Églises/NOUN,historiques/ADJ,noires/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
Religion/NOUN,grecque/ADJ,antique/ADJ
Mandats/NOUN,nationaux/ADJ,actuels/ADJ
Église/NOUN,catholique/ADJ,romaine/ADJ
autre/ADJ,polymathe/NOUN,parisien/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
circuit/NOUN,touristique/ADJ,ludique/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
principaux/ADJ,foyers/NOUN,protestants/ADJ
Station/NOUN,balnéaire/ADJ,française/ADJ
Union/NOUN,socialiste/ADJ,arabe/ADJ
transformation/NOUN,cellulaire/ADJ,virale/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
peintre/NOUN,rococo/ADJ,italien/ADJ
Importante/ADJ,base/NOUN,britannique/ADJ
qu’en/ADJ,droit/NOUN,international/ADJ
élections/NOUN,législatives/ADJ,islandaises/ADJ
First/ADJ,shots/NOUN,fired/ADJ
peintre/NOUN,postimpressionniste/ADJ,français/ADJ
pilote/NOUN,automobile/ADJ,français/ADJ
ancienne/ADJ,colonie/NOUN,phénicienne/ADJ
entreprise/NOUN,agroalimentaire/ADJ,sud-coréenne/ADJ
homme/NOUN,politique/ADJ,français/ADJ
Anciens/ADJ,mandats/NOUN,locaux/ADJ
Produit/NOUN,fissile/ADJ,naturel/ADJ
lettre/NOUN,latine/ADJ,minuscule/ADJ
peintre/NOUN,académique/ADJ,français/ADJ
coureur/NOUN,cycliste/ADJ,suédois/ADJ
élections/NOUN,législatives/ADJ,islandaises/ADJ
Autres/ADJ,taxons/NOUN,endémiques/ADJ
Église/NOUN,catholique/ADJ,romaine/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
Principaux/ADJ,partis/NOUN,politiques/ADJ
heure/NOUN,l’horloge/ADJ,biologique/ADJ
Politique/NOUN,agricole/ADJ,commune/ADJ
Arts/NOUN,martiaux/ADJ,japonais/ADJ
poète/NOUN,épique/ADJ,hongrois/ADJ
Catégorie:Ancienne/ADJ,colonie/NOUN,espagnole/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
peintre/NOUN,baroque/ADJ,français/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
coureur/NOUN,cycliste/ADJ,allemand/ADJ
nouveau/ADJ,tarif/NOUN,douanier/ADJ
homme/NOUN,politique/ADJ,français/ADJ
Musique/NOUN,tribale/ADJ,indienne/ADJ
Philosophie/NOUN,juive/ADJ,moderne/ADJ
homme/NOUN,politique/ADJ,français/ADJ
Territoires/ADJ,palestiniens/NOUN,occupés/ADJ
Féminisme/NOUN,radical/ADJ,différentialiste/ADJ
véritable/ADJ,seigneur/NOUN,féodal/ADJ
théologien/NOUN,catholique/ADJ,allemand/ADJ
traditionnels/ADJ,d’origine/NOUN,japonaise/ADJ
Assemblée/NOUN,nationale/ADJ,prussienne/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
Meilleurs/ADJ,effets/NOUN,visuels/ADJ
peintre/NOUN,enlumineur/ADJ,allemand/ADJ
Assemblées/NOUN,parlementaires/ADJ,actuelles/ADJ
coureur/NOUN,cycliste/ADJ,professionnel/ADJ
Ancienne/ADJ,colonie/NOUN,britannique/ADJ
peintre/NOUN,orientaliste/ADJ,français/ADJ
activités/NOUN,humaines/ADJ,sylvo-agro-pastorales/ADJ
dentales/ADJ,rétroflexes/NOUN,palatales/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
Premières/ADJ,années/NOUN,viennoises/ADJ
