lemma,cl
/NOUN,1
a/NOUN,2
abairt/NOUN,3
abha/NOUN,4
abhainn/NOUN,5
acadamh/NOUN,6
achadh/NOUN,7
achar/NOUN,8
achomharc/NOUN,9
achrann/NOUN,10
acht/NOUN,11
aclaíocht/NOUN,12
acmhainn/NOUN,13
acra/NOUN,14
adhlacadh/NOUN,15
adhmad/NOUN,16
adhradh/NOUN,17
admháil/NOUN,18
aeir/NOUN,19
aer/NOUN,20
aerfort/NOUN,21
aeráid/NOUN,22
agairt/NOUN,23
agallamh/NOUN,24
aghaidh/NOUN,25
agóid/NOUN,26
aibreán/NOUN,27
aibítir/NOUN,28
aicme/NOUN,29
aicíd/NOUN,30
aidhm/NOUN,31
aidiacht/NOUN,32
aifreann/NOUN,33
aighneas/NOUN,34
aigne/NOUN,35
aigéan/NOUN,36
ailse/NOUN,37
ailtireacht/NOUN,38
aimsir/NOUN,39
aimsiú/NOUN,40
aingeal/NOUN,41
ainm/NOUN,42
ainmhí/NOUN,43
ainmniú/NOUN,44
ainneoin/NOUN,45
ainriail/NOUN,46
aird/NOUN,47
airde/NOUN,48
aire/NOUN,49
aireacht/NOUN,50
aireachtáil/NOUN,51
airgead/NOUN,52
airgeadas/NOUN,53
airgeadra/NOUN,54
airteagal/NOUN,55
airíonna/NOUN,56
ais/NOUN,57
aisling/NOUN,58
aiste/NOUN,59
aisteoir/NOUN,60
aisteoireacht/NOUN,61
aistriú/NOUN,62
aistriúchán/NOUN,63
aisíoc/NOUN,64
aitheantas/NOUN,65
aithint/NOUN,66
aithne/NOUN,67
aithris/NOUN,68
albam/NOUN,69
alcól/NOUN,70
alt/NOUN,71
altóir/NOUN,72
am/NOUN,73
amach/NOUN,74
amharc/NOUN,75
amharclann/NOUN,76
amhras/NOUN,77
amhrán/NOUN,78
amhránaí/NOUN,79
amhránaíocht/NOUN,80
anam/NOUN,81
ann/NOUN,82
anraith/NOUN,83
aoi/NOUN,84
aois/NOUN,85
aonach/NOUN,86
aonad/NOUN,87
aonar/NOUN,88
aontacht/NOUN,89
aontas/NOUN,90
aontú/NOUN,91
aos/NOUN,92
arbhar/NOUN,93
ard/NOUN,94
ard-chomhairle/NOUN,95
