lemma,cl
/NOUN,1
abandono/NOUN,2
abaneo/NOUN,3
abastecemento/NOUN,4
abdome/NOUN,5
abeiro/NOUN,6
abelairas/NOUN,7
abeleira/NOUN,8
abelá/NOUN,9
abertura/NOUN,10
abono/NOUN,11
abordaxe/NOUN,12
aborto/NOUN,13
abreviatura/NOUN,14
abrigo/NOUN,15
abril/NOUN,16
abrocho/NOUN,17
abruñeiro/NOUN,18
absorción/NOUN,19
abundancia/NOUN,20
abuso/NOUN,21
acacia/NOUN,22
académico/NOUN,23
accesibilidade/NOUN,24
acceso/NOUN,25
accesorio/NOUN,26
accidente/NOUN,27
accionariado/NOUN,28
accionista/NOUN,29
acción/NOUN,30
aceiro/NOUN,31
aceite/NOUN,32
aceleración/NOUN,33
aceno/NOUN,34
acento/NOUN,35
acepción/NOUN,36
aceptación/NOUN,37
acerto/NOUN,38
achado/NOUN,39
achegamento/NOUN,40
acidez/NOUN,41
acidificación/NOUN,42
aclaración/NOUN,43
acompañamento/NOUN,44
acondicionamento/NOUN,45
acontecemento/NOUN,46
acordo/NOUN,47
acosador/NOUN,48
acoso/NOUN,49
acreditación/NOUN,50
acredor/NOUN,51
acrobacia/NOUN,52
acta/NOUN,53
actitude/NOUN,54
activación/NOUN,55
actividade/NOUN,56
activista/NOUN,57
activo/NOUN,58
acto/NOUN,59
actor/NOUN,60
actuación/NOUN,61
actual/NOUN,62
actualidade/NOUN,63
actualización/NOUN,64
acuicultura/NOUN,65
aculturización/NOUN,66
acumulación/NOUN,67
acupuntura/NOUN,68
acusación/NOUN,69
adaptación/NOUN,70
adecuación/NOUN,71
adenocarcinoma/NOUN,72
adherencia/NOUN,73
adhesivo/NOUN,74
adhesión/NOUN,75
adición/NOUN,76
aditivo/NOUN,77
adiviñanza/NOUN,78
administración/NOUN,79
administrador/NOUN,80
administrativo/NOUN,81
admiración/NOUN,82
adn/NOUN,83
adolescente/NOUN,84
adopción/NOUN,85
adquisición/NOUN,86
adscrición/NOUN,87
adulto/NOUN,88
advección/NOUN,89
adversario/NOUN,90
advertencia/NOUN,91
adxudicación/NOUN,92
aeroporto/NOUN,93
aerosol/NOUN,94
afasia/NOUN,95
afección/NOUN,96
afectación/NOUN,97
afectado/NOUN,98
afectividade/NOUN,99
afecto/NOUN,100
afiliación/NOUN,101
afiliado/NOUN,102
afirmación/NOUN,103
afluencia/NOUN,104
afluente/NOUN,105
afondamento/NOUN,106
aforro/NOUN,107
afundimento/NOUN,108
agarimo/NOUN,109
aglomeración/NOUN,110
agoiro/NOUN,111
agonistas/NOUN,112
agosto/NOUN,113
agravamento/NOUN,114
agravio/NOUN,115
agregado/NOUN,116
agresión/NOUN,117
agresor/NOUN,118
agricultor/NOUN,119
agricultura/NOUN,120
agrupación/NOUN,121
agua/NOUN,122
agudización/NOUN,123
agudo/NOUN,124
agulla/NOUN,125
ahora/NOUN,126
aia/NOUN,127
aida/NOUN,128
aire/NOUN,129
al/NOUN,130
alberca/NOUN,131
albo/NOUN,132
alboio/NOUN,133
alcalde/NOUN,134
alcaldía/NOUN,135
alcance/NOUN,136
alcohol/NOUN,137
