lemma,cl
/NOUN,1
אב/NOUN,2
אבא/NOUN,3
אבדה/NOUN,4
אבהות/NOUN,5
אבחון/NOUN,6
אבחנה/NOUN,7
אבטחה/NOUN,8
אבטלה/NOUN,9
אביב/NOUN,10
אביזר/NOUN,11
אבל/NOUN,12
אבלות/NOUN,13
אבן/NOUN,14
אבק/NOUN,15
אבר/NOUN,16
אגדה/NOUN,17
אגודה/NOUN,18
אגוז/NOUN,19
אגם/NOUN,20
אגף/NOUN,21
אגרה/NOUN,22
אגרונום/NOUN,23
אגרוף/NOUN,24
אד/NOUN,25
אדון/NOUN,26
אדישות/NOUN,27
אדם/NOUN,28
אדמה/NOUN,29
אדריכל/NOUN,30
אדריכלות/NOUN,31
אהבה/NOUN,32
אהבים/NOUN,33
אהדה/NOUN,34
אהוב/NOUN,35
אובדן/NOUN,36
אובייקט/NOUN,37
אובססיה/NOUN,38
אודיסיאה/NOUN,39
אוהד/NOUN,40
אוהל/NOUN,41
אוויר/NOUN,42
אווירה/NOUN,43
אוורור/NOUN,44
אוזן/NOUN,45
אוטובוס/NOUN,46
אוטוביוגרפיה/NOUN,47
אוטומט/NOUN,48
אוטונומיה/NOUN,49
אוטופיה/NOUN,50
אויב/NOUN,51
אוכל/NOUN,52
אוכלוסייה/NOUN,53
אולטימטום/NOUN,54
אולימפיאדה/NOUN,55
אולם/NOUN,56
אולפן/NOUN,57
אום/NOUN,58
אומדן/NOUN,59
אומה/NOUN,60
אומללות/NOUN,61
אומנות/NOUN,62
אומץ/NOUN,63
און/NOUN,64
אוניברסיטה/NOUN,65
אונייה/NOUN,66
אוננות/NOUN,67
אונס/NOUN,68
אונקיה/NOUN,69
אוסף/NOUN,70
אופה/NOUN,71
אופוזיציה/NOUN,72
אופוריה/NOUN,73
אופטימיות/NOUN,74
אופי/NOUN,75
אופן/NOUN,76
אופנה/NOUN,77
אופנוע/NOUN,78
אופניים/NOUN,79
אופציה/NOUN,80
אופק/NOUN,81
אופרה/NOUN,82
אוצר/NOUN,83
אוקיינוס/NOUN,84
אור/NOUN,85
אורח/NOUN,86
אורך/NOUN,87
אורן/NOUN,88
אורתודוקסיה/NOUN,89
אושיה/NOUN,90
אושר/NOUN,91
אות/NOUN,92
אזהרה/NOUN,93
אזוב/NOUN,94
אזור/NOUN,95
אזכור/NOUN,96
אזכרה/NOUN,97
אזעקה/NOUN,98
אזרח/NOUN,99
אח/NOUN,100
אחדות/NOUN,101
אחווה/NOUN,102
אחוז/NOUN,103
אחוזה/NOUN,104
אחזקה/NOUN,105
אחיזה/NOUN,106
אחראי/NOUN,107
אחריות/NOUN,108
אטרקציה/NOUN,109
אי/NOUN,110
איבה/NOUN,111
איבוד/NOUN,112
איבר/NOUN,113
איגוד/NOUN,114
איגרת/NOUN,115
אידיאולוגיה/NOUN,116
איום/NOUN,117
איון/NOUN,118
איזון/NOUN,119
איחוד/NOUN,120
איחוי/NOUN,121
איחור/NOUN,122
איטום/NOUN,123
איטיות/NOUN,124
אייל/NOUN,125
איכות/NOUN,126
איכר/NOUN,127
איל/NOUN,128
אילוץ/NOUN,129
אימאם/NOUN,130
אימה/NOUN,131
אימון/NOUN,132
אימוץ/NOUN,133
אימפריה/NOUN,134
אימפרסיוניזם/NOUN,135
אין/NOUN,136
אינדוקטרינציה/NOUN,137
אינדיאני/NOUN,138
אינדיקציה/NOUN,139
אינטונציה/NOUN,140
אינטלקטואל/NOUN,141
אינטרס/NOUN,142
אינסטינקט/NOUN,143
אינפלציה/NOUN,144
אינרציה/NOUN,145
אינתיפאדה/NOUN,146
איסוף/NOUN,147
איסור/NOUN,148
איפוק/NOUN,149
אירוח/NOUN,150
אירוניה/NOUN,151
אירוע/NOUN,152
אירי/NOUN,153
איש/NOUN,154
אישום/NOUN,155
אישור/NOUN,156
אישיות/NOUN,157
אישים/NOUN,158
אישר/NOUN,159
איתור/NOUN,160
איתות/NOUN,161
אכזבה/NOUN,162
אכילה/NOUN,163
אכיפה/NOUN,164
אכסניה/NOUN,165
אל/NOUN,166
אלבום/NOUN,167
אלגנטיות/NOUN,168
אלוהים/NOUN,169
אלוזיה/NOUN,170
אלומה/NOUN,171
אלומיניום/NOUN,172
אלון/NOUN,173
אלונקה/NOUN,174
אלוף/NOUN,175
אלופה/NOUN,176
אלטרנטיבה/NOUN,177
אליבי/NOUN,178
אלימות/NOUN,179
אליפות/NOUN,180
אלכוהול/NOUN,181
אלכוהוליזם/NOUN,182
אלכוהוליסט/NOUN,183
אלכימיה/NOUN,184
אלמוניות/NOUN,185
אלמנה/NOUN,186
אלמנט/NOUN,187
אלקטרוניקה/NOUN,188
אלתור/NOUN,189
אם/NOUN,190
אמא/NOUN,191
אמבולנס/NOUN,192
אמה/NOUN,193
אמון/NOUN,194
אמונה/NOUN,195
אמין/NOUN,196
אמינות/NOUN,197
אמיר/NOUN,198
אמירה/NOUN,199
אמירות/NOUN,200
אמן/NOUN,201
אמנה/NOUN,202
אמנות/NOUN,203
אמצע/NOUN,204
אמצעי/NOUN,205
אמרה/NOUN,206
אמריקני/NOUN,207
אמת/NOUN,208
אנגלי/NOUN,209
אנוש/NOUN,210
אנחה/NOUN,211
אנטישמיות/NOUN,212
אנימציה/NOUN,213
אנציקלופדיה/NOUN,214
אנרגיה/NOUN,215
אנרכיה/NOUN,216
אסון/NOUN,217
אסופה/NOUN,218
אסטרטגיה/NOUN,219
אסיסט/NOUN,220
אסיפה/NOUN,221
אסיר/NOUN,222
אסכולה/NOUN,223
אסלאם/NOUN,224
אסם/NOUN,225
אספה/NOUN,226
אספן/NOUN,227
אספקה/NOUN,228
אספקט/NOUN,229
אף/NOUN,230
אפוד/NOUN,231
אפוטרופסות/NOUN,232
אפונה/NOUN,233
אפוס/NOUN,234
אפיון/NOUN,235
אפיזודה/NOUN,236
אפיפיור/NOUN,237
אפיק/NOUN,238
אפלה/NOUN,239
אפליה/NOUN,240
אפס/NOUN,241
אפסות/NOUN,242
אפקט/NOUN,243
אפרוח/NOUN,244
אפשרות/NOUN,245
אצבע/NOUN,246
אצולה/NOUN,247
אצטדיון/NOUN,248
אצטלה/NOUN,249
אקדח/NOUN,250
אקדמאי/NOUN,251
אקט/NOUN,252
אקלים/NOUN,253
אקסיומה/NOUN,254
אקספוזיציה/NOUN,255
אקציה/NOUN,256
ארגון/NOUN,257
ארובה/NOUN,258
ארוחה/NOUN,259
ארוטיקה/NOUN,260
ארון/NOUN,261
ארז/NOUN,262
אריג/NOUN,263
אריגה/NOUN,264
אריה/NOUN,265
אריזה/NOUN,266
אריכות/NOUN,267
אריס/NOUN,268
ארכה/NOUN,269
ארכיטקט/NOUN,270
ארמון/NOUN,271
ארנונה/NOUN,272
ארנק/NOUN,273
ארסנל/NOUN,274
ארץ/NOUN,275
ארשת/NOUN,276
אש/NOUN,277
אשכנזי/NOUN,278
אשליה/NOUN,279
אשם/NOUN,280
אשמה/NOUN,281
אשף/NOUN,282
אשראי/NOUN,283
אשרה/NOUN,284
אתגר/NOUN,285
אתיקה/NOUN,286
אתלט/NOUN,287
אתלטיקה/NOUN,288
אתנחתא/NOUN,289
אתר/NOUN,290
באר/NOUN,291
בבלי/NOUN,292
בגד/NOUN,293
בגידה/NOUN,294
בגרות/NOUN,295
בד/NOUN,296
בדידות/NOUN,297
בדיחה/NOUN,298
בדיקה/NOUN,299
בדלנות/NOUN,300
בדק/NOUN,301
בדרן/NOUN,302
בהירות/NOUN,303
בהלה/NOUN,304
בוא/NOUN,305
בובה/NOUN,306
בוגר/NOUN,307
בודד/NOUN,308
בוהו/NOUN,309
בוהק/NOUN,310
בוז/NOUN,311
בוחר/NOUN,312
בוטות/NOUN,313
בוטנאי/NOUN,314
בול/NOUN,315
בונה/NOUN,316
בוס/NOUN,317
בועה/NOUN,318
בוץ/NOUN,319
בוק/NOUN,320
בוקר/NOUN,321
בור/NOUN,322
בורא/NOUN,323
בורסה/NOUN,324
בורר/NOUN,325
בוררות/NOUN,326
בושם/NOUN,327
בושת/NOUN,328
בז/NOUN,329
בזבוז/NOUN,330
בזק/NOUN,331
בחור/NOUN,332
בחינה/NOUN,333
בחירה/NOUN,334
בחירות/NOUN,335
בטון/NOUN,336
בטיחות/NOUN,337
ביב/NOUN,338
ביגוד/NOUN,339
בידוד/NOUN,340
בידור/NOUN,341
ביוב/NOUN,342
ביולוג/NOUN,343
ביון/NOUN,344
ביורוקרט/NOUN,345
ביורוקרטיה/NOUN,346
ביטאון/NOUN,347
ביטוח/NOUN,348
ביטוי/NOUN,349
ביטול/NOUN,350
ביטחון/NOUN,351
בייר/NOUN,352
בילוי/NOUN,353
בימה/NOUN,354
בימוי/NOUN,355
בינוי/NOUN,356
ביניים/NOUN,357
ביצה/NOUN,358
ביצוע/NOUN,359
ביצור/NOUN,360
ביקור/NOUN,361
ביקורת/NOUN,362
ביקוש/NOUN,363
בירה/NOUN,364
בירור/NOUN,365
בישול/NOUN,366
בית/NOUN,367
ביתור/NOUN,368
בכורה/NOUN,369
בכי/NOUN,370
בכיר/NOUN,371
בכנסייה/NOUN,372
בלאי/NOUN,373
בלבול/NOUN,374
בלגי/NOUN,375
בלגן/NOUN,376
בלו/NOUN,377
בלוטה/NOUN,378
בלון/NOUN,379
בלטה/NOUN,380
בלילה/NOUN,381
בלימה/NOUN,382
בלם/NOUN,383
בלש/NOUN,384
במאי/NOUN,385
במה/NOUN,386
בן/NOUN,387
בנזן/NOUN,388
בנייה/NOUN,389
בניין/NOUN,390
בנק/NOUN,391
בנקאות/NOUN,392
בס/NOUN,393
בסיס/NOUN,394
בעיה/NOUN,395
בעיטה/NOUN,396
בעל/NOUN,397
בעלות/NOUN,398
בעלים/NOUN,399
בעת/NOUN,400
בצל/NOUN,401
בקבוק/NOUN,402
בקעה/NOUN,403
בקר/NOUN,404
בקרה/NOUN,405
בקשה/NOUN,406
ברבור/NOUN,407
ברום/NOUN,408
ברון/NOUN,409
ברונזה/NOUN,410
ברז/NOUN,411
ברזל/NOUN,412
בריאות/NOUN,413
בריון/NOUN,414
בריח/NOUN,415
בריחה/NOUN,416
בריטי/NOUN,417
בריכה/NOUN,418
ברירה/NOUN,419
ברית/NOUN,420
ברך/NOUN,421
ברכה/NOUN,422
ברנדי/NOUN,423
בשורה/NOUN,424
בשר/NOUN,425
בת/NOUN,426
בתולים/NOUN,427
גאווה/NOUN,428
גאולה/NOUN,429
גאון/NOUN,430
גב/NOUN,431
גבה/NOUN,432
גבוה/NOUN,433
גבול/NOUN,434
גבורה/NOUN,435
גבייה/NOUN,436
גבינה/NOUN,437
גביע/NOUN,438
גבעה/NOUN,439
גבעול/NOUN,440
גבר/NOUN,441
גברת/NOUN,442
גג/NOUN,443
גדה/NOUN,444
גדוד/NOUN,445
גדול/NOUN,446
גדולה/NOUN,447
גדולות/NOUN,448
גדר/NOUN,449
גו/NOUN,450
גוב/NOUN,451
גובה/NOUN,452
גודל/NOUN,453
גוון/NOUN,454
גוי/NOUN,455
גול/NOUN,456
גולם/NOUN,457
גולף/NOUN,458
גומחה/NOUN,459
גומי/NOUN,460
גומלין/NOUN,461
גוף/NOUN,462
גופה/NOUN,463
גופרית/NOUN,464
גורל/NOUN,465
גורם/NOUN,466
גורן/NOUN,467
גוש/NOUN,468
גז/NOUN,469
גזבר/NOUN,470
גזירה/NOUN,471
גזענות/NOUN,472
גזר/NOUN,473
גזרה/NOUN,474
גטו/NOUN,475
גיא/NOUN,476
גיבוי/NOUN,477
גיבור/NOUN,478
גיבוש/NOUN,479
גידול/NOUN,480
גיהינום/NOUN,481
גיוון/NOUN,482
גיוס/NOUN,483
גיטרה/NOUN,484
גייס/NOUN,485
גיל/NOUN,486
גילוי/NOUN,487
גילוף/NOUN,488
גיליון/NOUN,489
גימור/NOUN,490
גינה/NOUN,491
גינוי/NOUN,492
גינון/NOUN,493
גינקולוג/NOUN,494
גיס/NOUN,495
גירוש/NOUN,496
גירושין/NOUN,497
גירעון/NOUN,498
גישה/NOUN,499
גל/NOUN,500
גלאוקומה/NOUN,501
גלגול/NOUN,502
גלובוס/NOUN,503
גלולה/NOUN,504
גלון/NOUN,505
גלות/NOUN,506
גלידה/NOUN,507
גליל/NOUN,508
גלימה/NOUN,509
גלישה/NOUN,510
גלם/NOUN,511
גלריה/NOUN,512
גמול/NOUN,513
גמל/NOUN,514
גמלה/NOUN,515
גמר/NOUN,516
גן/NOUN,517
גנב/NOUN,518
גניבה/NOUN,519
גנרל/NOUN,520
גסות/NOUN,521
געגוע/NOUN,522
גפן/NOUN,523
גרגר/NOUN,524
גרון/NOUN,525
גרוש/NOUN,526
גרזן/NOUN,527
גרילה/NOUN,528
גרימה/NOUN,529
גריסה/NOUN,530
גרם/NOUN,531
גרמני/NOUN,532
גרסה/NOUN,533
גרעין/NOUN,534
גרפיטי/NOUN,535
גשם/NOUN,536
גשר/NOUN,537
גשש/NOUN,538
ד/NOUN,539
דאגה/NOUN,540
דבק/NOUN,541
דבקות/NOUN,542
דבר/NOUN,543
דגל/NOUN,544
דגם/NOUN,545
דגן/NOUN,546
דגש/NOUN,547
דהירה/NOUN,548
דואליות/NOUN,549
דואר/NOUN,550
דוב/NOUN,551
דובר/NOUN,552
דוגמה/NOUN,553
דוד/NOUN,554
דודא/NOUN,555
דוחק/NOUN,556
דוכן/NOUN,557
דולר/NOUN,558
דום/NOUN,559
דומי/NOUN,560
דומייה/NOUN,561
דון/NOUN,562
דונם/NOUN,563
דופן/NOUN,564
דופק/NOUN,565
דוק/NOUN,566
דוקטור/NOUN,567
דוקטורט/NOUN,568
דוקטרינה/NOUN,569
דור/NOUN,570
דורבן/NOUN,571
דחייה/NOUN,572
דחיסה/NOUN,573
דחיפה/NOUN,574
דחיפות/NOUN,575
דיאלוג/NOUN,576
דיאלקטיקה/NOUN,577
דיבור/NOUN,578
דיווח/NOUN,579
דיוויזיות/NOUN,580
דיון/NOUN,581
דיוק/NOUN,582
דיוקן/NOUN,583
דיור/NOUN,584
דייל/NOUN,585
דיין/NOUN,586
דייקנות/NOUN,587
דייר/NOUN,588
דיכאון/NOUN,589
דיכוי/NOUN,590
דילמה/NOUN,591
דימוי/NOUN,592
דין/NOUN,593
דינמיקה/NOUN,594
דיסק/NOUN,595
דיסקט/NOUN,596
דיפלומט/NOUN,597
דיקטטור/NOUN,598
דיקטטורה/NOUN,599
דיקן/NOUN,600
דיר/NOUN,601
דירה/NOUN,602
דירוג/NOUN,603
דירקטור/NOUN,604
דירקטוריון/NOUN,605
דלדול/NOUN,606
דלי/NOUN,607
דלפק/NOUN,608
דלק/NOUN,609
דלקת/NOUN,610
דלת/NOUN,611
דם/NOUN,612
דמה/NOUN,613
דמוי/NOUN,614
דמוקרט/NOUN,615
דמוקרטיה/NOUN,616
דמוקרטיזציה/NOUN,617
דמות/NOUN,618
דמיון/NOUN,619
דממה/NOUN,620
דמעה/NOUN,621
דמקה/NOUN,622
דעה/NOUN,623
דעיכה/NOUN,624
דעים/NOUN,625
דעת/NOUN,626
דף/NOUN,627
דפוס/NOUN,628
דפנה/NOUN,629
דקדקנות/NOUN,630
דקה/NOUN,631
דקירה/NOUN,632
דקלום/NOUN,633
דראמה/NOUN,634
דרבי/NOUN,635
דרג/NOUN,636
דרגה/NOUN,637
דרוזי/NOUN,638
דרום/NOUN,639
דרור/NOUN,640
דרישה/NOUN,641
דרך/NOUN,642
דרמה/NOUN,643
דרשה/NOUN,644
דשא/NOUN,645
דת/NOUN,646
דתי/NOUN,647
האדרה/NOUN,648
האטה/NOUN,649
