lemma,cl
/NOUN,1
3/NOUN,2
अँधेरा/NOUN,3
अंक/NOUN,4
अंकल/NOUN,5
अंकुश/NOUN,6
अंग/NOUN,7
अंग्रेज/NOUN,8
अंग्रेजी/NOUN,9
अंचल/NOUN,10
अंजाम/NOUN,11
अंडरवर्ल्ड/NOUN,12
अंडरवियर/NOUN,13
अंडा/NOUN,14
अंत/NOUN,15
अंतर/NOUN,16
अंतरराष्ट्रीय/NOUN,17
अंतराल/NOUN,18
अंतरिक्ष/NOUN,19
अंतरिक्षयात्री/NOUN,20
अंतर्राष्ट्रीय/NOUN,21
अंतर्राष्ट्रीयकरण/NOUN,22
अंतर्विरोध/NOUN,23
अंत्येष्टि/NOUN,24
अंदाज/NOUN,25
अंदाजा/NOUN,26
अंदेशा/NOUN,27
अंपायर/NOUN,28
अंश/NOUN,29
अकाउंटेंट/NOUN,30
अकादमी/NOUN,31
अक्षमता/NOUN,32
अक्षांश/NOUN,33
अक्षांस/NOUN,34
अखंडता/NOUN,35
अखबार/NOUN,36
अखाडा/NOUN,37
अगरबत्ती/NOUN,38
अगवा/NOUN,39
अगुआई/NOUN,40
अगुवाई/NOUN,41
अग्नि/NOUN,42
अग्निकांड/NOUN,43
अग्रिम/NOUN,44
अजनबी/NOUN,45
अजूबा/NOUN,46
अटकल/NOUN,47
अटकलबाजी/NOUN,48
अटैची/NOUN,49
अटॉर्नी/NOUN,50
अडचन/NOUN,51
अड़चन/NOUN,52
अड्डा/NOUN,53
अणु/NOUN,54
अतिक्रमण/NOUN,55
अतिथि/NOUN,56
अतिरिक्त/NOUN,57
अतीत/NOUN,58
अत्याचार/NOUN,59
अदा/NOUN,60
अदाकारा/NOUN,61
अदालत/NOUN,62
अधिक/NOUN,63
अधिकर/NOUN,64
अधिकरण/NOUN,65
अधिकांश/NOUN,66
अधिकार/NOUN,67
अधिकारी/NOUN,68
अधिग्रहण/NOUN,69
अधिनियम/NOUN,70
अधिभार/NOUN,71
अधिवक्ता/NOUN,72
अधिवेशन/NOUN,73
अधिसूचना/NOUN,74
अधीक्षक/NOUN,75
अधीक्षण/NOUN,76
अधीनस्थ/NOUN,77
अध्यक्ष/NOUN,78
अध्यक्षता/NOUN,79
अध्यक्षा/NOUN,80
अध्ययन/NOUN,81
अध्यादेश/NOUN,82
अध्यापक/NOUN,83
अध्यापिका/NOUN,84
अध्याय/NOUN,85
अनंत/NOUN,86
अनदेखा/NOUN,87
अनाज/NOUN,88
अनिच्छा/NOUN,89
अनियमितता/NOUN,90
अनिवार्यता/NOUN,91
अनिश्चितकाल/NOUN,92
अनिश्चितता/NOUN,93
अनुकूलता/NOUN,94
अनुग्रह/NOUN,95
अनुदान/NOUN,96
अनुपलब्धता/NOUN,97
अनुपस्थिति/NOUN,98
अनुपात/NOUN,99
अनुपालन/NOUN,100
अनुबंध/NOUN,101
अनुभव/NOUN,102
अनुभूति/NOUN,103
अनुमति/NOUN,104
अनुमान/NOUN,105
अनुमोदन/NOUN,106
अनुयायी/NOUN,107
अनुरोध/NOUN,108
अनुवाद/NOUN,109
अनुशंसा/NOUN,110
अनुशासन/NOUN,111
अनुशासनहीनता/NOUN,112
अनुसंधान/NOUN,113
अनुसूचित/NOUN,114
अनुसूची/NOUN,115
अनेकता/NOUN,116
