lemma,cl
/NOUN,1
3d/NOUN,2
3g/NOUN,3
a/NOUN,4
abraziv/NOUN,5
account/NOUN,6
aceton/NOUN,7
adaptacija/NOUN,8
administracija/NOUN,9
admiral/NOUN,10
admirati/NOUN,11
adresa/NOUN,12
adut/NOUN,13
advent/NOUN,14
aerodinamika/NOUN,15
aeromiting/NOUN,16
afera/NOUN,17
afinitet/NOUN,18
afirmacija/NOUN,19
agencija/NOUN,20
agent/NOUN,21
aglomeracija/NOUN,22
agnostik/NOUN,23
agonija/NOUN,24
agresija/NOUN,25
agronom/NOUN,26
agrum/NOUN,27
ah/NOUN,28
aids/NOUN,29
akademija/NOUN,30
akademik/NOUN,31
akcija/NOUN,32
akrobatika/NOUN,33
aksiom/NOUN,34
akt/NOUN,35
akter/NOUN,36
aktiva/NOUN,37
aktiviranje/NOUN,38
aktivist/NOUN,39
aktivistica/NOUN,40
aktivnost/NOUN,41
akupunktura/NOUN,42
akustika/NOUN,43
akvarel/NOUN,44
akvarij/NOUN,45
akvizicija/NOUN,46
alarm/NOUN,47
alat/NOUN,48
alata/NOUN,49
alatka/NOUN,50
alato/NOUN,51
album/NOUN,52
ale/NOUN,53
aleja/NOUN,54
alergija/NOUN,55
alfabet/NOUN,56
alga/NOUN,57
algoritam/NOUN,58
alibi/NOUN,59
alka/NOUN,60
alkohol/NOUN,61
alokacija/NOUN,62
alt/NOUN,63
alternativa/NOUN,64
alžirac/NOUN,65
amandman/NOUN,66
amater/NOUN,67
ambalaža/NOUN,68
ambasador/NOUN,69
ambicija/NOUN,70
ambijent/NOUN,71
ambulanta/NOUN,72
aminokiselina/NOUN,73
analitika/NOUN,74
analitičar/NOUN,75
analitičarka/NOUN,76
analiza/NOUN,77
analog/NOUN,78
analogija/NOUN,79
anarhija/NOUN,80
anatomija/NOUN,81
anegdota/NOUN,82
aneks/NOUN,83
anemija/NOUN,84
anestezija/NOUN,85
angažiranje/NOUN,86
angažiranost/NOUN,87
angažman/NOUN,88
anketa/NOUN,89
anonimac/NOUN,90
ansamb/NOUN,91
antagonist/NOUN,92
antibiotik/NOUN,93
antidepresiv/NOUN,94
antika/NOUN,95
antikvarijat/NOUN,96
antikvitet/NOUN,97
antisemitizam/NOUN,98
antivirus/NOUN,99
antologija/NOUN,100
antropocentrizam/NOUN,101
antropologija/NOUN,102
antropozofija/NOUN,103
anđeo/NOUN,104
aparat/NOUN,105
apartman/NOUN,106
apatija/NOUN,107
apel/NOUN,108
aperitiv/NOUN,109
apetit/NOUN,110
aplauz/NOUN,111
aplikacija/NOUN,112
apoen/NOUN,113
apostol/NOUN,114
apsurd/NOUN,115
aranžman/NOUN,116
argument/NOUN,117
arheolog/NOUN,118
arheologija/NOUN,119
arhitekt/NOUN,120
arhitektura/NOUN,121
arhiv/NOUN,122
arhiva/NOUN,123
armatura/NOUN,124
armija/NOUN,125
aroma/NOUN,126
aromaterapija/NOUN,127
arsenal/NOUN,128
artefakt/NOUN,129
arterija/NOUN,130
artikulacija/NOUN,131
artiljerija/NOUN,132
as/NOUN,133
asfalt/NOUN,134
asfaltiranje/NOUN,135
asistencija/NOUN,136
asistent/NOUN,137
asistentica/NOUN,138
asocijacija/NOUN,139
asortiman/NOUN,140
aspekt/NOUN,141
astma/NOUN,142
astrolog/NOUN,143
astronaut/NOUN,144
astronom/NOUN,145
astronomija/NOUN,146
ateist/NOUN,147
ateizam/NOUN,148
atelijer/NOUN,149
atentat/NOUN,150
atentator/NOUN,151
atlas/NOUN,152
atletika/NOUN,153
atletičar/NOUN,154
atletičarka/NOUN,155
atmosfera/NOUN,156
atrakcija/NOUN,157
audi/NOUN,158
auditorij/NOUN,159
aukcija/NOUN,160
autentičnost/NOUN,161
autizam/NOUN,162
auto/NOUN,163
autobus/NOUN,164
autocesta/NOUN,165
autoindustrija/NOUN,166
autoklub/NOUN,167
automobil/NOUN,168
automobilo/NOUN,169
autonomija/NOUN,170
autoput/NOUN,171
autor/NOUN,172
autorica/NOUN,173
autoritet/NOUN,174
avangarda/NOUN,175
avantura/NOUN,176
avaz/NOUN,177
avijatičar/NOUN,178
aviokompanija/NOUN,179
avioprijevoznik/NOUN,180
azbuka/NOUN,181
azil/NOUN,182
ažuriranje/NOUN,183
bac/NOUN,184
bacanje/NOUN,185
bacač/NOUN,186
badem/NOUN,187
badminton/NOUN,188
bager/NOUN,189
bajt/NOUN,190
baka/NOUN,191
baklja/NOUN,192
bakterija/NOUN,193
balans/NOUN,194
balansiranje/NOUN,195
balet/NOUN,196
balkon/NOUN,197
balon/NOUN,198
banana/NOUN,199
band/NOUN,200
banda/NOUN,201
banka/NOUN,202
bankar/NOUN,203
bankarstvo/NOUN,204
bankomat/NOUN,205
bar/NOUN,206
bara/NOUN,207
baraka/NOUN,208
barel/NOUN,209
barijera/NOUN,210
barikada/NOUN,211
basist/NOUN,212
baterija/NOUN,213
batina/NOUN,214
batinaš/NOUN,215
bavljenje/NOUN,216
baza/NOUN,217
bazen/NOUN,218
baština/NOUN,219
bdp/NOUN,220
beba/NOUN,221
bebica/NOUN,222
bedem/NOUN,223
beduin/NOUN,224
bela/NOUN,225
bend/NOUN,226
benefit/NOUN,227
benificija/NOUN,228
benzin/NOUN,229
benzinac/NOUN,230
beretka/NOUN,231
besjeda/NOUN,232
beskraj/NOUN,233
besmislica/NOUN,234
bestseler/NOUN,235
bestseller/NOUN,236
beta/NOUN,237
bezbroj/NOUN,238
biblioteka/NOUN,239
bicik/NOUN,240
bicikl/NOUN,241
biciklijada/NOUN,242
biennale/NOUN,243
bijeda/NOUN,244
bijeg/NOUN,245
bijenale/NOUN,246
bijes/NOUN,247
bikarbonat/NOUN,248
bilaj/NOUN,249
bilanca/NOUN,250
bilje/NOUN,251
biljeg/NOUN,252
bilješka/NOUN,253
bilježak/NOUN,254
biljka/NOUN,255
bilten/NOUN,256
biogorivo/NOUN,257
biologija/NOUN,258
biologinja/NOUN,259
biomasa/NOUN,260
bios/NOUN,261
biranje/NOUN,262
birač/NOUN,263
biro/NOUN,264
birokracija/NOUN,265
birtija/NOUN,266
biser/NOUN,267
biskup/NOUN,268
bit/NOUN,269
bitka/NOUN,270
bitumen/NOUN,271
bivak/NOUN,272
biznis/NOUN,273
biće/NOUN,274
bjelina/NOUN,275
blagajna/NOUN,276
blagajnica/NOUN,277
blagajnik/NOUN,278
blagdan/NOUN,279
blago/NOUN,280
blagodat/NOUN,281
blagoslov/NOUN,282
blagostanje/NOUN,283
blato/NOUN,284
blitzkrieg/NOUN,285
blizanka/NOUN,286
blizina/NOUN,287
bljeskalica/NOUN,288
blog/NOUN,289
bloger/NOUN,290
blok/NOUN,291
blokada/NOUN,292
blokiranje/NOUN,293
bluegrass/NOUN,294
blues/NOUN,295
bluetooth/NOUN,296
boca/NOUN,297
bod/NOUN,298
bog/NOUN,299
bogatstvo/NOUN,300
bogaćenje/NOUN,301
boginja/NOUN,302
boja/NOUN,303
bojazan/NOUN,304
bojenje/NOUN,305
bojkot/NOUN,306
bojnik/NOUN,307
bok/NOUN,308
boks/NOUN,309
boksač/NOUN,310
bol/NOUN,311
bolesnica/NOUN,312
bolesnik/NOUN,313
bolest/NOUN,314
bolestan/NOUN,315
boljitak/NOUN,316
boljka/NOUN,317
bolnica/NOUN,318
bomba/NOUN,319
bombardiranje/NOUN,320
bon/NOUN,321
bonton/NOUN,322
bonus/NOUN,323
boom/NOUN,324
bor/NOUN,325
borac/NOUN,326
boravak/NOUN,327
borba/NOUN,328
boća/NOUN,329
bočica/NOUN,330
br./NOUN,331
brada/NOUN,332
bradavica/NOUN,333
brak/NOUN,334
brana/NOUN,335
brand/NOUN,336
branding/NOUN,337
branitelj/NOUN,338
braniteljica/NOUN,339
branič/NOUN,340
branjenik/NOUN,341
branša/NOUN,342
brat/NOUN,343
bratić/NOUN,344
bratovština/NOUN,345
bratstvo/NOUN,346
brava/NOUN,347
braća/NOUN,348
brdo/NOUN,349
brend/NOUN,350
brevijar/NOUN,351
brežuljak/NOUN,352
briga/NOUN,353
