lemma,cl
/NOUN,1
1960an/NOUN,2
a/NOUN,3
abad/NOUN,4
abel/NOUN,5
abjad/NOUN,6
abnormal/NOUN,7
absen/NOUN,8
abu/NOUN,9
acak/NOUN,10
acara/NOUN,11
acuan/NOUN,12
adaptasi/NOUN,13
adapter/NOUN,14
adat/NOUN,15
adegan/NOUN,16
adik/NOUN,17
adipati/NOUN,18
administrasi/NOUN,19
administrator/NOUN,20
adu/NOUN,21
ae/NOUN,22
aerosol/NOUN,23
agama/NOUN,24
agen/NOUN,25
agenda/NOUN,26
agregat/NOUN,27
agresi/NOUN,28
agrikultur/NOUN,29
agustus/NOUN,30
ah/NOUN,31
ahli/NOUN,32
ahlun/NOUN,33
ahmad/NOUN,34
ai/NOUN,35
aikido/NOUN,36
air/NOUN,37
aire/NOUN,38
airline/NOUN,39
ajang/NOUN,40
ajaran/NOUN,41
akademi/NOUN,42
akademik/NOUN,43
akademisi/NOUN,44
akal/NOUN,45
akar/NOUN,46
akb48/NOUN,47
akhir/NOUN,48
akhiran/NOUN,49
akhirnya/NOUN,50
akhlak/NOUN,51
akibat/NOUN,52
akik/NOUN,53
akil/NOUN,54
akreditasi/NOUN,55
akronim/NOUN,56
aksara/NOUN,57
aksen/NOUN,58
akses/NOUN,59
aksesori/NOUN,60
aksi/NOUN,61
aksioma/NOUN,62
aktifitas/NOUN,63
akting/NOUN,64
aktivasi/NOUN,65
aktivis/NOUN,66
aktivisme/NOUN,67
aktivitas/NOUN,68
aktor/NOUN,69
aktris/NOUN,70
aktuator/NOUN,71
akuarium/NOUN,72
akuisisi/NOUN,73
akumulasi/NOUN,74
akun/NOUN,75
akuntan/NOUN,76
akurasi/NOUN,77
akustik/NOUN,78
ala/NOUN,79
alam/NOUN,80
alamat/NOUN,81
alasan/NOUN,82
alat/NOUN,83
album/NOUN,84
alergi/NOUN,85
alfabet/NOUN,86
alga/NOUN,87
algoritma/NOUN,88
aliansi/NOUN,89
alias/NOUN,90
alien/NOUN,91
alih/NOUN,92
alik/NOUN,93
aliran/NOUN,94
alkimia/NOUN,95
alkimiawan/NOUN,96
alkitab/NOUN,97
alkohol/NOUN,98
all/NOUN,99
allah/NOUN,100
almarhum/NOUN,101
altar/NOUN,102
alternatif/NOUN,103
alumunium/NOUN,104
alun/NOUN,105
alur/NOUN,106
am/NOUN,107
amanah/NOUN,108
amanat/NOUN,109
amarah/NOUN,110
ambang/NOUN,111
ambar/NOUN,112
amber/NOUN,113
ambiguitas/NOUN,114
amfibi/NOUN,115
amfibia/NOUN,116
amina/NOUN,117
aminadab/NOUN,118
amonia/NOUN,119
amunisi/NOUN,120
anak/NOUN,121
analisis/NOUN,122
anarkisme/NOUN,123
anatomi/NOUN,124
ancaman/NOUN,125
andalan/NOUN,126
andesit/NOUN,127
andil/NOUN,128
aneh/NOUN,129
angel/NOUN,130
anggaran/NOUN,131
anggota/NOUN,132
anggrek/NOUN,133
anggur/NOUN,134
angin/NOUN,135
angka/NOUN,136
angkasa/NOUN,137
angkat/NOUN,138
angkatan/NOUN,139
angkut/NOUN,140
angkutan/NOUN,141
angsuran/NOUN,142
animasi/NOUN,143
animator/NOUN,144
anime/NOUN,145
animisme/NOUN,146
anion/NOUN,147
anjing/NOUN,148
anjuran/NOUN,149
antara/NOUN,150
antarkota/NOUN,151
antarmuka/NOUN,152
antena/NOUN,153
anti/NOUN,154
antimikroba/NOUN,155
anting/NOUN,156
antioksidan/NOUN,157
antisipasi/NOUN,158
antusias/NOUN,159
anugerah/NOUN,160
apartemen/NOUN,161
apendiks/NOUN,162
api/NOUN,163
aplikasi/NOUN,164
apung/NOUN,165
arab/NOUN,166
arah/NOUN,167
arak/NOUN,168
aras/NOUN,169
arbitrase/NOUN,170
arca/NOUN,171
area/NOUN,172
aren/NOUN,173
arena/NOUN,174
argumen/NOUN,175
argument/NOUN,176
aristokrasi/NOUN,177
arkeologi/NOUN,178
arloji/NOUN,179
armada/NOUN,180
aroma/NOUN,181
arondisemen/NOUN,182
arsip/NOUN,183
arsitek/NOUN,184
arsitektur/NOUN,185
arteri/NOUN,186
arti/NOUN,187
artian/NOUN,188
artikel/NOUN,189
artikulasi/NOUN,190
artileri/NOUN,191
artis/NOUN,192
artritis/NOUN,193
arus/NOUN,194
arwah/NOUN,195
asa/NOUN,196
asal/NOUN,197
asam/NOUN,198
asin/NOUN,199
asing/NOUN,200
asisten/NOUN,201
asma/NOUN,202
asmara/NOUN,203
asosiasi/NOUN,204
aspek/NOUN,205
aspirasi/NOUN,206
asrama/NOUN,207
astronom/NOUN,208
astronomi/NOUN,209
astronomis/NOUN,210
astronot/NOUN,211
asuhan/NOUN,212
asuransi/NOUN,213
atap/NOUN,214
atas/NOUN,215
atlet/NOUN,216
atletik/NOUN,217
atmosfer/NOUN,218
atom/NOUN,219
atraksi/NOUN,220
aturan/NOUN,221
audio/NOUN,222
audisi/NOUN,223
auditor/NOUN,224
auditorium/NOUN,225
augustus/NOUN,226
aula/NOUN,227
autisme/NOUN,228
awak/NOUN,229
awal/NOUN,230
awalan/NOUN,231
awan/NOUN,232
awatara/NOUN,233
ayah/NOUN,234
ayam/NOUN,235
ayat/NOUN,236
b/NOUN,237
ba/NOUN,238
bab/NOUN,239
babad/NOUN,240
babak/NOUN,241
babi/NOUN,242
baca/NOUN,243
bacang/NOUN,244
background/NOUN,245
badai/NOUN,246
badan/NOUN,247
bagian/NOUN,248
bagunan/NOUN,249
bahagia/NOUN,250
bahan/NOUN,251
bahasa/NOUN,252
bahasan/NOUN,253
bahaya/NOUN,254
bahu/NOUN,255
bait/NOUN,256
baja/NOUN,257
bajaj/NOUN,258
bajak/NOUN,259
baju/NOUN,260
bakal/NOUN,261
bakar/NOUN,262
bakat/NOUN,263
bakteri/NOUN,264
baku/NOUN,265
bala/NOUN,266
balada/NOUN,267
balai/NOUN,268
balap/NOUN,269
balapan/NOUN,270
balasan/NOUN,271
balet/NOUN,272
balik/NOUN,273
baling/NOUN,274
ballad/NOUN,275
balok/NOUN,276
balon/NOUN,277
bamboo/NOUN,278
bambu/NOUN,279
ban/NOUN,280
band/NOUN,281
bandar/NOUN,282
bandara/NOUN,283
bandeng/NOUN,284
banding/NOUN,285
bandung/NOUN,286
bangau/NOUN,287
bangkai/NOUN,288
bangkrut/NOUN,289
bangsa/NOUN,290
bangsawan/NOUN,291
bangunan/NOUN,292
banjir/NOUN,293
bank/NOUN,294
bankir/NOUN,295
bantahan/NOUN,296
bantalan/NOUN,297
bantu/NOUN,298
bantuan/NOUN,299
bapak/NOUN,300
baptis/NOUN,301
baptisan/NOUN,302
bar/NOUN,303
bara/NOUN,304
barang/NOUN,305
barangan/NOUN,306
barat/NOUN,307
baratdaya/NOUN,308
baris/NOUN,309
barisan/NOUN,310
bas/NOUN,311
basa/NOUN,312
base/NOUN,313
basement/NOUN,314
basin/NOUN,315
basis/NOUN,316
basket/NOUN,317
bass/NOUN,318
bassist/NOUN,319
bata/NOUN,320
batalyon/NOUN,321
batang/NOUN,322
batas/NOUN,323
batasan/NOUN,324
baterai/NOUN,325
batik/NOUN,326
batin/NOUN,327
batu/NOUN,328
batuan/NOUN,329
bau/NOUN,330
bawaan/NOUN,331
bawah/NOUN,332
bawahan/NOUN,333
bawang/NOUN,334
baya/NOUN,335
bayar/NOUN,336
bayaran/NOUN,337
bayi/NOUN,338
beasiswa/NOUN,339
beban/NOUN,340
bebatuan/NOUN,341
bebek/NOUN,342
bek/NOUN,343
bekas/NOUN,344
bekerja/NOUN,345
beku/NOUN,346
bela/NOUN,347
belah/NOUN,348
belahan/NOUN,349
belajar/NOUN,350
belaka/NOUN,351
belakang/NOUN,352
belakangan/NOUN,353
belanja/NOUN,354
belati/NOUN,355
belukar/NOUN,356
belut/NOUN,357
benak/NOUN,358
benang/NOUN,359
benar/NOUN,360
bencana/NOUN,361
benda/NOUN,362
bendahara/NOUN,363
bendera/NOUN,364
bener/NOUN,365
benih/NOUN,366
bening/NOUN,367
bentangan/NOUN,368
benteng/NOUN,369
bentrokan/NOUN,370
bentuk/NOUN,371
bentukan/NOUN,372
benua/NOUN,373
berangsur/NOUN,374
beras/NOUN,375
berat/NOUN,376
berbahaya/NOUN,377
berbendera/NOUN,378
berburu/NOUN,379
berdiri/NOUN,380
berdua/NOUN,381
berengsel/NOUN,382
berfokus/NOUN,383
berhak/NOUN,384
berhala/NOUN,385
berharga/NOUN,386
berhubungan/NOUN,387
beribadah/NOUN,388
berikut/NOUN,389
berita/NOUN,390
berjudi/NOUN,391
berkain/NOUN,392
berkaki/NOUN,393
berkas/NOUN,394
berkembang/NOUN,395
berkepanjangan/NOUN,396
berlomba/NOUN,397
bermacam/NOUN,398
bermuatan/NOUN,399
bermukim/NOUN,400
bermusim/NOUN,401
bernilai/NOUN,402
bersaudara/NOUN,403
bersemangat/NOUN,404
bersih/NOUN,405
berspekulasi/NOUN,406
bersumpah/NOUN,407
bertahun/NOUN,408
bertekanan/NOUN,409
bertenaga/NOUN,410
bertubuh/NOUN,411
beruang/NOUN,412
berwarna/NOUN,413
besar/NOUN,414
besaran/NOUN,415
besi/NOUN,416
betina/NOUN,417
beton/NOUN,418
biak/NOUN,419
biara/NOUN,420
biarawan/NOUN,421
biaya/NOUN,422
bibir/NOUN,423
bicara/NOUN,424
bidaah/NOUN,425
bidang/NOUN,426
bidikan/NOUN,427
bijak/NOUN,428
bijaksana/NOUN,429
biji/NOUN,430
bijih/NOUN,431
biksu/NOUN,432
biksuni/NOUN,433
bilangan/NOUN,434
bimbang/NOUN,435
bimbingan/NOUN,436
bin/NOUN,437
binatang/NOUN,438
biner/NOUN,439
bingkai/NOUN,440
bintang/NOUN,441
biografi/NOUN,442
biola/NOUN,443
biolog/NOUN,444
biologi/NOUN,445
bioma/NOUN,446
bioskop/NOUN,447
bioteknologi/NOUN,448
birokrasi/NOUN,449
birokrat/NOUN,450
biru/NOUN,451
bis/NOUN,452
bisnis/NOUN,453
bit/NOUN,454
blambangan/NOUN,455
blitzmegaplex/NOUN,456
block/NOUN,457
blog/NOUN,458
blok/NOUN,459
bobot/NOUN,460
bocoran/NOUN,461
body/NOUN,462
bogotá/NOUN,463
bola/NOUN,464
bolt/NOUN,465
bom/NOUN,466
boneka/NOUN,467
bonus/NOUN,468
border/NOUN,469
bordir/NOUN,470
borough/NOUN,471
bos/NOUN,472
botani/NOUN,473
box/NOUN,474
boyband/NOUN,475
bph/NOUN,476
brand/NOUN,477
bridge/NOUN,478
buah/NOUN,479
buangan/NOUN,480
buas/NOUN,481
buatan/NOUN,482
buaya/NOUN,483
bubar/NOUN,484
bubuk/NOUN,485
bubungan/NOUN,486
budak/NOUN,487
budaya/NOUN,488
budget/NOUN,489
budi/NOUN,490
bujur/NOUN,491
bukit/NOUN,492
bukti/NOUN,493
buku/NOUN,494
bulan/NOUN,495
bulanan/NOUN,496
bulat/NOUN,497
bulir/NOUN,498
bulu/NOUN,499
bumbu/NOUN,500
bumi/NOUN,501
bunga/NOUN,502
bungsu/NOUN,503
bunyi/NOUN,504
bupati/NOUN,505
buronan/NOUN,506
bursa/NOUN,507
buruan/NOUN,508
buruh/NOUN,509
burung/NOUN,510
bus/NOUN,511
busa/NOUN,512
busana/NOUN,513
butik/NOUN,514
butir/NOUN,515
byte/NOUN,516
c/NOUN,517
cabang/NOUN,518
cacat/NOUN,519
cacing/NOUN,520
cadangan/NOUN,521
cafe/NOUN,522
cagub/NOUN,523
cahaya/NOUN,524
cairan/NOUN,525
cakar/NOUN,526
cakram/NOUN,527
calon/NOUN,528
cameo/NOUN,529
camp/NOUN,530
campur/NOUN,531
campuran/NOUN,532
candi/NOUN,533
cangkang/NOUN,534
cangkir/NOUN,535
canna/NOUN,536
cappello/NOUN,537
cara/NOUN,538
carok/NOUN,539
casing/NOUN,540
casting/NOUN,541
cat/NOUN,542
catatan/NOUN,543
catur/NOUN,544
causes/NOUN,545
cd/NOUN,546
cedera/NOUN,547
celah/NOUN,548
celana/NOUN,549
cendawan/NOUN,550
cendekiawan/NOUN,551
cenderamata/NOUN,552
cendikiawan/NOUN,553
cengkeh/NOUN,554
cengkeraman/NOUN,555
cengkih/NOUN,556
centre/NOUN,557
cerita/NOUN,558
cermin/NOUN,559
cerpen/NOUN,560
cerpennya/NOUN,561
ceruk/NOUN,562
cetakan/NOUN,563
cha/NOUN,564
channel/NOUN,565
chart/NOUN,566
chi/NOUN,567
chief/NOUN,568
cikal/NOUN,569
cincin/NOUN,570
cinta/NOUN,571
cipta/NOUN,572
ciptaan/NOUN,573
ciri/NOUN,574
cita/NOUN,575
citra/NOUN,576
city/NOUN,577
cl/NOUN,578
client/NOUN,579
close/NOUN,580
cobaan/NOUN,581
code/NOUN,582
codex/NOUN,583
cokelat/NOUN,584
coklat/NOUN,585
color/NOUN,586
comeback/NOUN,587
computer/NOUN,588
consumer/NOUN,589
