lemma,cl
/NOUN,1
абырой/NOUN,2
авиация/NOUN,3
агенттік/NOUN,4
адам/NOUN,5
адамзат/NOUN,6
адым/NOUN,7
ажал/NOUN,8
азамат/NOUN,9
азаматтық/NOUN,10
азық/NOUN,11
азық-түлік/NOUN,12
ай/NOUN,13
айбын/NOUN,14
айдын/NOUN,15
аймақ/NOUN,16
айна/NOUN,17
айнала/NOUN,18
айналым/NOUN,19
айт/NOUN,20
айтыс/NOUN,21
академик/NOUN,22
академия/NOUN,23
актер/NOUN,24
алап/NOUN,25
алд/NOUN,26
алтын/NOUN,27
алғышарт/NOUN,28
алқап/NOUN,29
ана/NOUN,30
апа/NOUN,31
ар/NOUN,32
ар-ождан/NOUN,33
ара/NOUN,34
араб/NOUN,35
аралық/NOUN,36
арақатынас/NOUN,37
арий/NOUN,38
армия/NOUN,39
армян/NOUN,40
арт/NOUN,41
археолог/NOUN,42
арқа/NOUN,43
ас/NOUN,44
аспан/NOUN,45
аспап/NOUN,46
ассоциация/NOUN,47
аст/NOUN,48
астана/NOUN,49
астрономия/NOUN,50
астық/NOUN,51
асу/NOUN,52
асхана/NOUN,53
ат/NOUN,54
ата/NOUN,55
ата-ана/NOUN,56
атау/NOUN,57
атлет/NOUN,58
аудан/NOUN,59
аумақ/NOUN,60
ауру/NOUN,61
аурухана/NOUN,62
ауыз/NOUN,63
ауыл/NOUN,64
ауырлық/NOUN,65
ауқым/NOUN,66
ахуал/NOUN,67
аят/NOUN,68
аяқ/NOUN,69
аға/NOUN,70
ағайын/NOUN,71
ағаш/NOUN,72
ағылшын/NOUN,73
ағым/NOUN,74
ағын/NOUN,75
ақсүйек/NOUN,76
ақша/NOUN,77
ақыл/NOUN,78
ақын/NOUN,79
аң/NOUN,80
база/NOUN,81
базар/NOUN,82
бай/NOUN,83
байланыс/NOUN,84
байлық/NOUN,85
бакалавр/NOUN,86
бала/NOUN,87
баласы/NOUN,88
балық/NOUN,89
барыс/NOUN,90
бас/NOUN,91
баспасөз/NOUN,92
бастық/NOUN,93
басшы/NOUN,94
басшылық/NOUN,95
басы/NOUN,96
басылым/NOUN,97
