lemma,cl
/NOUN,1
36/NOUN,2
4/NOUN,3
75/NOUN,4
a/NOUN,5
acid/NOUN,6
b/NOUN,7
bmw/NOUN,8
c/NOUN,9
cd/NOUN,10
ceo/NOUN,11
cf/NOUN,12
dna/NOUN,13
eu/NOUN,14
fifa/NOUN,15
fm/NOUN,16
gcc/NOUN,17
gm/NOUN,18
ibm/NOUN,19
ip/NOUN,20
m/NOUN,21
mbc/NOUN,22
mc/NOUN,23
o/NOUN,24
pc/NOUN,25
sbs/NOUN,26
tv/NOUN,27
uefa/NOUN,28
xml/NOUN,29
가격/NOUN,30
가능성/NOUN,31
가닥/NOUN,32
가사/NOUN,33
가상/NOUN,34
가설/NOUN,35
가수/NOUN,36
가스/NOUN,37
가연성/NOUN,38
가운데/NOUN,39
가전/NOUN,40
가정용/NOUN,41
가족/NOUN,42
가지/NOUN,43
가짜/NOUN,44
가치/NOUN,45
가치관/NOUN,46
가톨릭/NOUN,47
각급/NOUN,48
각도/NOUN,49
각종/NOUN,50
감각/NOUN,51
감독/NOUN,52
감리교/NOUN,53
감사/NOUN,54
값/NOUN,55
강/NOUN,56
강아지/NOUN,57
강원도/NOUN,58
강의/NOUN,59
강제/NOUN,60
개/NOUN,61
개념/NOUN,62
개미/NOUN,63
개발/NOUN,64
개별/NOUN,65
개봉/NOUN,66
개선/NOUN,67
개신교/NOUN,68
개인/NOUN,69
개조/NOUN,70
개풍군/NOUN,71
개혁/NOUN,72
개화파/NOUN,73
객체/NOUN,74
갱신/NOUN,75
거/NOUN,76
거대/NOUN,77
거리/NOUN,78
거주/NOUN,79
거주민/NOUN,80
걱정/NOUN,81
건/NOUN,82
건강/NOUN,83
건물/NOUN,84
건설/NOUN,85
건의/NOUN,86
건축/NOUN,87
건축물/NOUN,88
걸/NOUN,89
검사/NOUN,90
검색/NOUN,91
검정색/NOUN,92
검증/NOUN,93
검진/NOUN,94
것/NOUN,95
것들/NOUN,96
겉보기/NOUN,97
게/NOUN,98
게임/NOUN,99
겨울/NOUN,100
견제/NOUN,101
견해/NOUN,102
결과/NOUN,103
결승/NOUN,104
겹/NOUN,105
경계/NOUN,106
경기/NOUN,107
경기도/NOUN,108
경기장/NOUN,109
경남/NOUN,110
경량/NOUN,111
경력/NOUN,112
경로/NOUN,113
경부고속도로/NOUN,114
경북/NOUN,115
경상북도/NOUN,116
경우/NOUN,117
경위/NOUN,118
경쟁/NOUN,119
경제/NOUN,120
경제학/NOUN,121
경찰/NOUN,122
경향/NOUN,123
경향신문/NOUN,124
경험/NOUN,125
계급/NOUN,126
계산/NOUN,127
계약/NOUN,128
계열사/NOUN,129
계정/NOUN,130
계층/NOUN,131
계획/NOUN,132
고객/NOUN,133
고고학/NOUN,134
