lemma,cl
/NOUN,1
abonements/NOUN,2
aborts/NOUN,3
absolvente/NOUN,4
absolvents/NOUN,5
absurds/NOUN,6
acs/NOUN,7
aculiecinieks/NOUN,8
acumirklis/NOUN,9
administrators/NOUN,10
administrācija/NOUN,11
adrenalīns/NOUN,12
adrese/NOUN,13
adresācija/NOUN,14
adresāts/NOUN,15
advente/NOUN,16
advokāts/NOUN,17
aerobika/NOUN,18
aes/NOUN,19
afrikānis/NOUN,20
agresija/NOUN,21
agronoms/NOUN,22
aicinājums/NOUN,23
aile/NOUN,24
aina/NOUN,25
ainava/NOUN,26
aisbergs/NOUN,27
aita/NOUN,28
aizbildniecība/NOUN,29
aizbildnis/NOUN,30
aizdevums/NOUN,31
aizdomas/NOUN,32
aizkavēšanās/NOUN,33
aizliegums/NOUN,34
aizmugure/NOUN,35
aizplūšana/NOUN,36
aizrautība/NOUN,37
aizraušanās/NOUN,38
aizrādījums/NOUN,39
aizsardzība/NOUN,40
aizsargmehānisms/NOUN,41
aizsargs/NOUN,42
aizskaršana/NOUN,43
aizspriedums/NOUN,44
aizsprosts/NOUN,45
aizstāve/NOUN,46
aizstāvis/NOUN,47
aizstāvēšana/NOUN,48
aizstāvība/NOUN,49
aizture/NOUN,50
aizturēšana/NOUN,51
aizvainojums/NOUN,52
aizņemtība/NOUN,53
akadēmija/NOUN,54
akadēmiķis/NOUN,55
akcelerācija/NOUN,56
akcents/NOUN,57
akcija/NOUN,58
akcionārs/NOUN,59
akcīze/NOUN,60
akmens/NOUN,61
akmentiņš/NOUN,62
akordeonists/NOUN,63
akords/NOUN,64
akots/NOUN,65
aksesuārs/NOUN,66
aktieris/NOUN,67
aktiermeistarība/NOUN,68
aktierspēle/NOUN,69
aktivitāte/NOUN,70
aktrise/NOUN,71
akts/NOUN,72
aktīvists/NOUN,73
aktīvs/NOUN,74
akumulators/NOUN,75
akustika/NOUN,76
akvarelists/NOUN,77
akvārijs/NOUN,78
ala/NOUN,79
albatross/NOUN,80
albums/NOUN,81
albānis/NOUN,82
albūms/NOUN,83
aleja/NOUN,84
alerģija/NOUN,85
alianse/NOUN,86
alkoholisms/NOUN,87
alkoholiķis/NOUN,88
alkohols/NOUN,89
alksnis/NOUN,90
alksnājs/NOUN,91
alternatīva/NOUN,92
amatiere/NOUN,93
amatniecība/NOUN,94
amatnieks/NOUN,95
amatpersona/NOUN,96
amats/NOUN,97
ambīcija/NOUN,98
amerikānis/NOUN,99
aminoskābe/NOUN,100
amonjaks/NOUN,101
analītiķis/NOUN,102
analīze/NOUN,103
anekdote/NOUN,104
aneksija/NOUN,105
anglis/NOUN,106
angārs/NOUN,107
animācija/NOUN,108
ansamblis/NOUN,109
antena/NOUN,110
anticiklons/NOUN,111
antioksidants/NOUN,112
antisemītisms/NOUN,113
antiseptiķis/NOUN,114
antitoksīns/NOUN,115
antropoloģija/NOUN,116
apakšdaļa/NOUN,117
apakšdelms/NOUN,118
apakšgrupa/NOUN,119
apakškomisija/NOUN,120
apakšveļa/NOUN,121
apakšžoklis/NOUN,122
aparatūra/NOUN,123
aparāts/NOUN,124
apavi/NOUN,125
apavs/NOUN,126
apbalvojums/NOUN,127
apbalvošana/NOUN,128
apbedījums/NOUN,129
apbedīšana/NOUN,130
apbūve/NOUN,131
apcere/NOUN,132
apcerējums/NOUN,133
apdare/NOUN,134
apdegums/NOUN,135
apdraudējums/NOUN,136
apdrošināšana/NOUN,137
apelsīns/NOUN,138
apelācija/NOUN,139
apgabals/NOUN,140
apgaismojums/NOUN,141
apgaismība/NOUN,142
apgalvojums/NOUN,143
apgrieziens/NOUN,144
apgrozība/NOUN,145
apgrozījums/NOUN,146
apgrūtinājums/NOUN,147
apguve/NOUN,148
apgāde/NOUN,149
apgāds/NOUN,150
apinis/NOUN,151
apjoms/NOUN,152
apjukums/NOUN,153
apkakle/NOUN,154
apkalpe/NOUN,155
apkalpošana/NOUN,156
apkarošana/NOUN,157
apkope/NOUN,158
apkopojums/NOUN,159
apkure/NOUN,160
apkārtne/NOUN,161
apledojums/NOUN,162
apliecinājums/NOUN,163
aplis/NOUN,164
aploksne/NOUN,165
apmaiņa/NOUN,166
apmaksa/NOUN,167
apmale/NOUN,168
apmeklējums/NOUN,169
apmeklētājs/NOUN,170
apmetums/NOUN,171
apmešanās/NOUN,172
apmierinājums/NOUN,173
apmierināšana/NOUN,174
apmācība/NOUN,175
apmērs/NOUN,176
apraksts/NOUN,177
aprise/NOUN,178
aprite/NOUN,179
apriņķis/NOUN,180
aprēķins/NOUN,181
aprēķināšana/NOUN,182
aprīkojums/NOUN,183
aprīlis/NOUN,184
aprūpe/NOUN,185
apsaimniekotājs/NOUN,186
apsaimniekošana/NOUN,187
apsardze/NOUN,188
apsargs/NOUN,189
apse/NOUN,190
apskate/NOUN,191
apskatnieks/NOUN,192
apskats/NOUN,193
apskāviens/NOUN,194
apspiešana/NOUN,195
apspriede/NOUN,196
apspriešana/NOUN,197
apspriešanās/NOUN,198
apstiprinājums/NOUN,199
apstiprināšana/NOUN,200
apstrāde/NOUN,201
apstāklis/NOUN,202
apsvērums/NOUN,203
apsējs/NOUN,204
apsūdzība/NOUN,205
aptauja/NOUN,206
aptaukošanās/NOUN,207
aptumsums/NOUN,208
apvainojums/NOUN,209
apvalks/NOUN,210
apvidus/NOUN,211
apvienojums/NOUN,212
apvienošanās/NOUN,213
apvienība/NOUN,214
apvārsnis/NOUN,215
apziņa/NOUN,216
apzīmējums/NOUN,217
apzīmēšana/NOUN,218
apģērbs/NOUN,219
apļveida/NOUN,220
apņēmība/NOUN,221
apšaude/NOUN,222
aranžējums/NOUN,223
arests/NOUN,224
areāls/NOUN,225
argentīnietis/NOUN,226
arguments/NOUN,227
argumentācija/NOUN,228
arheologs/NOUN,229
arhetips/NOUN,230
arhibīskaps/NOUN,231
arhitekts/NOUN,232
arhitektūra/NOUN,233
arhivēšana/NOUN,234
arhīvs/NOUN,235
aristokrāts/NOUN,236
armija/NOUN,237
armēnis/NOUN,238
arodbiedrība/NOUN,239
arods/NOUN,240
arodskola/NOUN,241
arodvidusskola/NOUN,242
aromāts/NOUN,243
arsenāls/NOUN,244
artava/NOUN,245
artefakts/NOUN,246
artelis/NOUN,247
artilērija/NOUN,248
artrīts/NOUN,249
artērija/NOUN,250
arābs/NOUN,251
arēna/NOUN,252
as/NOUN,253
asaka/NOUN,254
asambleja/NOUN,255
asara/NOUN,256
asfalts/NOUN,257
asinis/NOUN,258
asins/NOUN,259
asinsrite/NOUN,260
asinsspiediens/NOUN,261
asinsvads/NOUN,262
asistents/NOUN,263
asiņošana/NOUN,264
asociācija/NOUN,265
aspekts/NOUN,266
aste/NOUN,267
asteroīds/NOUN,268
astotdaļfināla/NOUN,269
astoņstūris/NOUN,270
astrologs/NOUN,271
astronauts/NOUN,272
astronomija/NOUN,273
asums/NOUN,274
atalgojums/NOUN,275
atbalss/NOUN,276
atbalsts/NOUN,277
atbalstītājs/NOUN,278
atbilde/NOUN,279
atbildība/NOUN,280
atbilstība/NOUN,281
atbrīvotājs/NOUN,282
atbrīvotība/NOUN,283
atbrīvošana/NOUN,284
atdalīšana/NOUN,285
atdarinājums/NOUN,286
ateists/NOUN,287
atgadījums/NOUN,288
atgriešanās/NOUN,289
atgūšana/NOUN,290
atjaunošana/NOUN,291
atjaunošanās/NOUN,292
atkarība/NOUN,293
atklājums/NOUN,294
atklājējs/NOUN,295
atklāsme/NOUN,296
atklāšana/NOUN,297
atkopšanās/NOUN,298
atkritumi/NOUN,299
atkāpe/NOUN,300
atkāpšanās/NOUN,301
atkārtojums/NOUN,302
atkārtošanās/NOUN,303
atlabšana/NOUN,304
atlaide/NOUN,305
atlaišana/NOUN,306
atlase/NOUN,307
atliekas/NOUN,308
atloks/NOUN,309
atlīdzība/NOUN,310
atmata/NOUN,311
atmešana/NOUN,312
atmiņa/NOUN,313
atmiņas/NOUN,314
atmoda/NOUN,315
atmosfēra/NOUN,316
atombumba/NOUN,317
atomelektrostacija/NOUN,318
atpalicība/NOUN,319
atpazīstamība/NOUN,320
atpestīšana/NOUN,321
atpūta/NOUN,322
atpūtnieks/NOUN,323
atradums/NOUN,324
atrakcija/NOUN,325
atrašana/NOUN,326
atrašanās/NOUN,327
atribūts/NOUN,328
atrisinājums/NOUN,329
atsauce/NOUN,330
atsaucība/NOUN,331
atsauksme/NOUN,332
atsavināšana/NOUN,333
atskaite/NOUN,334
atslēga/NOUN,335
atspere/NOUN,336
atspulgs/NOUN,337
atsvešināšanās/NOUN,338
atteikums/NOUN,339
atteikšanās/NOUN,340
attiecība/NOUN,341
attiecības/NOUN,342
attieksme/NOUN,343
attālums/NOUN,344
attēlošana/NOUN,345
attēls/NOUN,346
attīrīšana/NOUN,347
attīstība/NOUN,348
attīstīšana/NOUN,349
atvase/NOUN,350
atvasinājums/NOUN,351
atvaļinājums/NOUN,352
atveidotājs/NOUN,353
atvere/NOUN,354
atveseļošanās/NOUN,355
atvieglojums/NOUN,356
atvēršana/NOUN,357
atzars/NOUN,358
atzinums/NOUN,359
atzinība/NOUN,360
atziņa/NOUN,361
atzveltne/NOUN,362
atzīme/NOUN,363
atzīšana/NOUN,364
atļauja/NOUN,365
atņemšana/NOUN,366
atšķirība/NOUN,367
audekls/NOUN,368
audio/NOUN,369
audioieraksts/NOUN,370
auditorija/NOUN,371
auditors/NOUN,372
audits/NOUN,373
auds/NOUN,374
audums/NOUN,375
audze/NOUN,376
audzinātājs/NOUN,377
audzināšana/NOUN,378
audzējs/NOUN,379
audzēkne/NOUN,380
audzēknis/NOUN,381
audzētājs/NOUN,382
audzēšana/NOUN,383
auglis/NOUN,384
auglība/NOUN,385
augs/NOUN,386
augsme/NOUN,387
augsne/NOUN,388
augstiene/NOUN,389
augstskola/NOUN,390
augstums/NOUN,391
augums/NOUN,392
augusts/NOUN,393
augša/NOUN,394
augšana/NOUN,395
augšdaļa/NOUN,396
augšdelms/NOUN,397
augšgals/NOUN,398
augšpuse/NOUN,399
augšupeja/NOUN,400
augšāmcelšana/NOUN,401
aukle/NOUN,402
aukstums/NOUN,403
auskars/NOUN,404
auss/NOUN,405
austriete/NOUN,406
austrietis/NOUN,407
austrumi/NOUN,408
austrumnieks/NOUN,409
austrālietis/NOUN,410
aut/NOUN,411
auto/NOUN,412
autobiogrāfija/NOUN,413
autobraucējs/NOUN,414
autobuss/NOUN,415
autokatastrofa/NOUN,416
automašīna/NOUN,417
automobilis/NOUN,418
automāts/NOUN,419
autonoma/NOUN,420
autonomija/NOUN,421
autoosta/NOUN,422
autorallijs/NOUN,423
autoražotājs/NOUN,424
autore/NOUN,425
autoritāte/NOUN,426
autors/NOUN,427
autortiesību/NOUN,428
autosportists/NOUN,429
autosports/NOUN,430
autotransports/NOUN,431
aušana/NOUN,432
avangards/NOUN,433
aviokompānija/NOUN,434
aviosabiedrība/NOUN,435
aviācija/NOUN,436
avots/NOUN,437
avārija/NOUN,438
avīze/NOUN,439
aģents/NOUN,440
aģentūra/NOUN,441
ažiotāža/NOUN,442
badmintons/NOUN,443
badošanās/NOUN,444
bads/NOUN,445
bagātnieks/NOUN,446
bagātība/NOUN,447
bagāžnieks/NOUN,448
bakalaurs/NOUN,449
baktērija/NOUN,450
baldriāns/NOUN,451
balets/NOUN,452
balkons/NOUN,453
balle/NOUN,454
balodis/NOUN,455
balons/NOUN,456
balsojums/NOUN,457
balsotājs/NOUN,458
balsošana/NOUN,459
balss/NOUN,460
balsts/NOUN,461
balts/NOUN,462
baltums/NOUN,463
balva/NOUN,464
banda/NOUN,465
bandīts/NOUN,466
banka/NOUN,467
banknote/NOUN,468
bankomāts/NOUN,469
bankrots/NOUN,470
banāns/NOUN,471
bariņš/NOUN,472
barjera/NOUN,473
baroks/NOUN,474
barons/NOUN,475
barošana/NOUN,476
bars/NOUN,477
barība/NOUN,478
baseins/NOUN,479
basketbolists/NOUN,480
basketbols/NOUN,481
bastions/NOUN,482
bataljons/NOUN,483
bauda/NOUN,484
baudījums/NOUN,485
baudītājs/NOUN,486
bauslis/NOUN,487
baziliks/NOUN,488
baznīca/NOUN,489
baļķis/NOUN,490
bažas/NOUN,491
bebrs/NOUN,492
bedre/NOUN,493
bedrīte/NOUN,494
beidzējs/NOUN,495
beigas/NOUN,496
beigšana/NOUN,497
benzīns/NOUN,498
berze/NOUN,499
beta/NOUN,500
betons/NOUN,501
bezdarbnieks/NOUN,502
bezdarbs/NOUN,503
bezdibens/NOUN,504
bezgalība/NOUN,505
bezpajumtnieks/NOUN,506
bezvējš/NOUN,507
beļģis/NOUN,508
bibliotekārs/NOUN,509
bibliotēka/NOUN,510
bibliotēkā/NOUN,511
biedre/NOUN,512
biedrs/NOUN,513
biedrība/NOUN,514
bieds/NOUN,515
biennāle/NOUN,516
biezoknis/NOUN,517
biezums/NOUN,518
bilance/NOUN,519
bilde/NOUN,520
bildinājums/NOUN,521
biljards/NOUN,522
biogrāfija/NOUN,523
biogāze/NOUN,524
bioloģija/NOUN,525
birojs/NOUN,526
birokrātija/NOUN,527
birokrāts/NOUN,528
birzs/NOUN,529
birža/NOUN,530
bite/NOUN,531
bits/NOUN,532
bizness/NOUN,533
biļete/NOUN,534
blakusefekts/NOUN,535
blogers/NOUN,536
blogs/NOUN,537
bloks/NOUN,538
blokāde/NOUN,539
blēdis/NOUN,540
blīvums/NOUN,541
bobslejists/NOUN,542
bojāeja/NOUN,543
bojājums/NOUN,544
bokseris/NOUN,545
bokss/NOUN,546
bonuss/NOUN,547
borts/NOUN,548
brauciens/NOUN,549
braucējs/NOUN,550
brauktuve/NOUN,551
braukšana/NOUN,552
brazīlietis/NOUN,553
briedis/NOUN,554
briedums/NOUN,555
brigāde/NOUN,556
briljants/NOUN,557
brits/NOUN,558
