lemma,cl
/NOUN,1
1-positie/NOUN,2
500cc/NOUN,3
70-puntenplan/NOUN,4
a/NOUN,5
aanbeveling/NOUN,6
aanbidding/NOUN,7
aanbieder/NOUN,8
aanbieding/NOUN,9
aanblik/NOUN,10
aanbod/NOUN,11
aanbouw/NOUN,12
aandacht/NOUN,13
aandachtspunt/NOUN,14
aandeel/NOUN,15
aandeelhouder/NOUN,16
aandeelhouderschap/NOUN,17
aandeelhoudersvergadering/NOUN,18
aandelenkapitaal/NOUN,19
aandelenpakket/NOUN,20
aandoening/NOUN,21
aandrang/NOUN,22
aanduiding/NOUN,23
aangelegenheid/NOUN,24
aangezicht/NOUN,25
aangifte/NOUN,26
aanhang/NOUN,27
aanhanger/NOUN,28
aanhechting/NOUN,29
aanhef/NOUN,30
aanhouding/NOUN,31
aanklacht/NOUN,32
aanklager/NOUN,33
aankleding/NOUN,34
aankomst/NOUN,35
aankomstplaats/NOUN,36
aankondiging/NOUN,37
aankoop/NOUN,38
aanleg/NOUN,39
aanleiding/NOUN,40
aanloop/NOUN,41
aanmaak/NOUN,42
aanmerking/NOUN,43
aanmoediging/NOUN,44
aannemer/NOUN,45
aanpak/NOUN,46
aanpassing/NOUN,47
aanraking/NOUN,48
aanranding/NOUN,49
aanrijding/NOUN,50
aanslag/NOUN,51
aansluiting/NOUN,52
aanspraak/NOUN,53
aanstelling/NOUN,54
aanstoot/NOUN,55
aantal/NOUN,56
aantasting/NOUN,57
aantrekkingskracht/NOUN,58
aanvaarding/NOUN,59
aanval/NOUN,60
aanvaller/NOUN,61
aanvalscolonne/NOUN,62
aanvalskracht/NOUN,63
aanvalsspits/NOUN,64
aanvang/NOUN,65
aanvaring/NOUN,66
aanvliegroute/NOUN,67
aanvoerder/NOUN,68
aanvraag/NOUN,69
aanvrage/NOUN,70
aanvulling/NOUN,71
aanwezigheid/NOUN,72
aanwijzing/NOUN,73
aanzet/NOUN,74
aanzicht/NOUN,75
aanzien/NOUN,76
aap/NOUN,77
aard/NOUN,78
aardappel/NOUN,79
aardbeving/NOUN,80
aarde/NOUN,81
aardgas/NOUN,82
aardolieproduct/NOUN,83
aardschok/NOUN,84
aartsbisschop/NOUN,85
aartsengel/NOUN,86
aartshertog/NOUN,87
aartshertogin/NOUN,88
aartsvader/NOUN,89
aasgier/NOUN,90
abdij/NOUN,91
abdijbier/NOUN,92
abonnee/NOUN,93
abortus/NOUN,94
abortuswet/NOUN,95
academicus/NOUN,96
academie/NOUN,97
academiejaar/NOUN,98
academietijd/NOUN,99
academisme/NOUN,100
accent/NOUN,101
accentuering/NOUN,102
accessoire/NOUN,103
accommodatie/NOUN,104
accordeon/NOUN,105
accordeonist/NOUN,106
accountant/NOUN,107
accountantscontrole/NOUN,108
accu/NOUN,109
accuratesse/NOUN,110
achillespees/NOUN,111
acht/NOUN,112
achterban/NOUN,113
achterblijver/NOUN,114
achterbuurt/NOUN,115
achterdeur/NOUN,116
achtergrond/NOUN,117
achtergrondmuziek/NOUN,118
achterhoede/NOUN,119
achterkamer/NOUN,120
achterkant/NOUN,121
achterlijf/NOUN,122
achternaam/NOUN,123
achterpoot/NOUN,124
achterstand/NOUN,125
achterstandswijk/NOUN,126
achterstelling/NOUN,127
achtertuin/NOUN,128
achteruitgang/NOUN,129
achtervolger/NOUN,130
achtervolging/NOUN,131
achterwiel/NOUN,132
achterzijde/NOUN,133
achting/NOUN,134
acm-lid/NOUN,135
acrobatiek/NOUN,136
acroniem/NOUN,137
act/NOUN,138
acteur/NOUN,139
actie/NOUN,140
actiecentrum/NOUN,141
actiegroep/NOUN,142
actiemiddel/NOUN,143
actieplan/NOUN,144
actieprogramma/NOUN,145
activa/NOUN,146
activist/NOUN,147
activiteit/NOUN,148
activiteitenniveau/NOUN,149
actrice/NOUN,150
actualiteit/NOUN,151
actualiteitenrubriek/NOUN,152
adel/NOUN,153
adelstand/NOUN,154
adem/NOUN,155
aderlating/NOUN,156
adjudant/NOUN,157
adjunct-directeur/NOUN,158
administrateur/NOUN,159
administratie/NOUN,160
admiraal/NOUN,161
adolescent/NOUN,162
adres/NOUN,163
advertentie/NOUN,164
advies/NOUN,165
adviesbureau/NOUN,166
adviescollege/NOUN,167
adviseur/NOUN,168
advocaat/NOUN,169
advocate/NOUN,170
aerosol/NOUN,171
afbeelding/NOUN,172
afbetaling/NOUN,173
afbraak/NOUN,174
afdaling/NOUN,175
afdeling/NOUN,176
afdelingsbestuur/NOUN,177
affaire/NOUN,178
affiche/NOUN,179
affiniteit/NOUN,180
afgelasting/NOUN,181
afgod/NOUN,182
afgrond/NOUN,183
afhankelijkheid/NOUN,184
afkeer/NOUN,185
afkeuring/NOUN,186
afkoeling/NOUN,187
afkomst/NOUN,188
afkorting/NOUN,189
afleiding/NOUN,190
afleidingsmanoeuvre/NOUN,191
aflevering/NOUN,192
afloop/NOUN,193
afmeting/NOUN,194
afnemer/NOUN,195
aforisme/NOUN,196
afpersing/NOUN,197
afrastering/NOUN,198
afschaffing/NOUN,199
afscheid/NOUN,200
afscheiding/NOUN,201
afscheidingsbeweging/NOUN,202
afscheuring/NOUN,203
afschrijving/NOUN,204
afslag/NOUN,205
afsluiting/NOUN,206
afsplitsing/NOUN,207
afspraak/NOUN,208
afstammeling/NOUN,209
afstamming/NOUN,210
afstand/NOUN,211
afstandsschot/NOUN,212
afstemming/NOUN,213
afsterving/NOUN,214
afstoting/NOUN,215
aftocht/NOUN,216
aftrek/NOUN,217
afvaardiging/NOUN,218
afval/NOUN,219
afvalstof/NOUN,220
afvalwater/NOUN,221
afvloeiing/NOUN,222
afvloeiingsregeling/NOUN,223
afvoerweg/NOUN,224
afwachting/NOUN,225
afweer/NOUN,226
afweging/NOUN,227
afwezigheid/NOUN,228
afwijking/NOUN,229
afwijzing/NOUN,230
