lemma,cl
/NOUN,1
+/NOUN,2
-/NOUN,3
1000-lecie/NOUN,4
18-latka/NOUN,5
1b/NOUN,6
2+/NOUN,7
20-lecie/NOUN,8
25-lecie/NOUN,9
40-lecie/NOUN,10
5/NOUN,11
50-lecie/NOUN,12
70-lecie/NOUN,13
a/NOUN,14
abakan/NOUN,15
abolicja/NOUN,16
abonament/NOUN,17
abonent/NOUN,18
aborcja/NOUN,19
absencja/NOUN,20
absolutorium/NOUN,21
absolwent/NOUN,22
absolwentka/NOUN,23
absorber/NOUN,24
absorpcja/NOUN,25
abstrakcja/NOUN,26
abstynencja/NOUN,27
absurd/NOUN,28
absurdalność/NOUN,29
absyda/NOUN,30
adaptacja/NOUN,31
adapter/NOUN,32
adekwatność/NOUN,33
adept/NOUN,34
adeptka/NOUN,35
adiunkt/NOUN,36
adiutant/NOUN,37
administracja/NOUN,38
administrator/NOUN,39
admirał/NOUN,40
adopcja/NOUN,41
adorator/NOUN,42
adrenalina/NOUN,43
adres/NOUN,44
adresat/NOUN,45
adsorpcja/NOUN,46
adwent/NOUN,47
adwersarz/NOUN,48
adwokat/NOUN,49
aerozol/NOUN,50
afekt/NOUN,51
afera/NOUN,52
afirmacja/NOUN,53
afisz/NOUN,54
aflatoksyna/NOUN,55
aforyzm/NOUN,56
afront/NOUN,57
aga/NOUN,58
agencja/NOUN,59
agenda/NOUN,60
agent/NOUN,61
agentka/NOUN,62
agitacja/NOUN,63
agitatorka/NOUN,64
aglomeracja/NOUN,65
agora/NOUN,66
agregat/NOUN,67
agresja/NOUN,68
agresywność/NOUN,69
akacja/NOUN,70
akademia/NOUN,71
akademik/NOUN,72
akapit/NOUN,73
akcent/NOUN,74
akceptacja/NOUN,75
akceptować/NOUN,76
akces/NOUN,77
akcesja/NOUN,78
akcesoria/NOUN,79
akcesorium/NOUN,80
akcja/NOUN,81
akcjonariusz/NOUN,82
akcyza/NOUN,83
akompaniament/NOUN,84
akord/NOUN,85
akordeon/NOUN,86
akordeonista/NOUN,87
akredytacja/NOUN,88
akrobacja/NOUN,89
aksamit/NOUN,90
akt/NOUN,91
akta/NOUN,92
aktor/NOUN,93
