lemma,cl
/NOUN,1
&/NOUN,2
10h/NOUN,3
12h00/NOUN,4
25m/NOUN,5
8h/NOUN,6
a/NOUN,7
abacaxi/NOUN,8
abade/NOUN,9
abaixo-assinado/NOUN,10
abandono/NOUN,11
abastecimento/NOUN,12
abate/NOUN,13
abatedouro/NOUN,14
abatimento/NOUN,15
abcesso/NOUN,16
abelha/NOUN,17
aberração/NOUN,18
aberto/NOUN,19
abertura/NOUN,20
abeto/NOUN,21
abismo/NOUN,22
abnegação/NOUN,23
abolicionista/NOUN,24
abolição/NOUN,25
abordagem/NOUN,26
aborrecimento/NOUN,27
aborto/NOUN,28
abrandamento/NOUN,29
abraço/NOUN,30
abrigo/NOUN,31
abril/NOUN,32
absentismo/NOUN,33
absolvição/NOUN,34
absorção/NOUN,35
abstenção/NOUN,36
abstrato/NOUN,37
abstração/NOUN,38
absurdo/NOUN,39
abundância/NOUN,40
abuso/NOUN,41
abóbora/NOUN,42
acabamento/NOUN,43
academia/NOUN,44
academismo/NOUN,45
acadêmico/NOUN,46
acampamento/NOUN,47
acantonamento/NOUN,48
acarajé/NOUN,49
acaso/NOUN,50
accionista/NOUN,51
aceitação/NOUN,52
aceito/NOUN,53
acelerador/NOUN,54
aceleração/NOUN,55
acepção/NOUN,56
acerto/NOUN,57
acervo/NOUN,58
acessibilidade/NOUN,59
acesso/NOUN,60
acessório/NOUN,61
acha/NOUN,62
achado/NOUN,63
acidente/NOUN,64
acidez/NOUN,65
acionamento/NOUN,66
acionista/NOUN,67
acirramento/NOUN,68
acolhimento/NOUN,69
acomodação/NOUN,70
acompanhamento/NOUN,71
acompanhante/NOUN,72
acondicionamento/NOUN,73
acontecimento/NOUN,74
acorde/NOUN,75
acordo/NOUN,76
acrobata/NOUN,77
acréscimo/NOUN,78
acrónimo/NOUN,79
actividade/NOUN,80
activista/NOUN,81
acto/NOUN,82
actor/NOUN,83
actriz/NOUN,84
actualidade/NOUN,85
actuação/NOUN,86
acuidade/NOUN,87
acumulado/NOUN,88
acumulação/NOUN,89
acupuntura/NOUN,90
acusado/NOUN,91
acusação/NOUN,92
acção/NOUN,93
acúmulo/NOUN,94
