lemma,cl
/NOUN,1
-simț/NOUN,2
-șef/NOUN,3
24h/NOUN,4
a/NOUN,5
a./NOUN,6
abatere/NOUN,7
abces/NOUN,8
abdomen/NOUN,9
aberație/NOUN,10
abilitate/NOUN,11
abis/NOUN,12
abluțiune/NOUN,13
abolire/NOUN,14
abonament/NOUN,15
abonat/NOUN,16
abord/NOUN,17
abordare/NOUN,18
abrogare/NOUN,19
absent/NOUN,20
absență/NOUN,21
absolvire/NOUN,22
absorbție/NOUN,23
abstractizare/NOUN,24
absurd/NOUN,25
abundență/NOUN,26
abur/NOUN,27
abuz/NOUN,28
abținere/NOUN,29
ac/NOUN,30
academie/NOUN,31
academism/NOUN,32
accelerare/NOUN,33
accelerator/NOUN,34
accent/NOUN,35
accentuare/NOUN,36
acceptare/NOUN,37
accepțiune/NOUN,38
acces/NOUN,39
accesare/NOUN,40
accesibilitate/NOUN,41
accesoriu/NOUN,42
accident/NOUN,43
accidentare/NOUN,44
acciză/NOUN,45
ace/NOUN,46
acela/NOUN,47
acetat/NOUN,48
achitare/NOUN,49
achiziție/NOUN,50
achiziționare/NOUN,51
acid/NOUN,52
acidoză/NOUN,53
aclamație/NOUN,54
aclimatizare/NOUN,55
acoladă/NOUN,56
acoperemânt/NOUN,57
acoperire/NOUN,58
acoperiș/NOUN,59
acoperământ/NOUN,60
acord/NOUN,61
acordare/NOUN,62
acordat/NOUN,63
acquis/NOUN,64
act/NOUN,65
activ/NOUN,66
activare/NOUN,67
activator/NOUN,68
activist/NOUN,69
activitate/NOUN,70
actor/NOUN,71
actorie/NOUN,72
actriță/NOUN,73
actualitate/NOUN,74
actualizare/NOUN,75
acuitate/NOUN,76
acumulare/NOUN,77
acumulator/NOUN,78
acuratețe/NOUN,79
acuzare/NOUN,80
acuzat/NOUN,81
acuzație/NOUN,82
acvariu/NOUN,83
acțiune/NOUN,84
ad/NOUN,85
adaos/NOUN,86
adaptare/NOUN,87
adaptor/NOUN,88
adept/NOUN,89
adeptă/NOUN,90
aderare/NOUN,91
adeverință/NOUN,92
adeverire/NOUN,93
adevăr/NOUN,94
adiere/NOUN,95
aditiv/NOUN,96
adjunct/NOUN,97
administrare/NOUN,98
administrator/NOUN,99
administrație/NOUN,100
admirator/NOUN,101
admirație/NOUN,102
admitere/NOUN,103
adn/NOUN,104
adolescent/NOUN,105
adolescentă/NOUN,106
adolescență/NOUN,107
adoptare/NOUN,108
adopție/NOUN,109
adorare/NOUN,110
adorație/NOUN,111
adormire/NOUN,112
adrenalină/NOUN,113
adresă/NOUN,114
aducere/NOUN,115
adult/NOUN,116
adunare/NOUN,117
adversar/NOUN,118
adversitate/NOUN,119
adânc/NOUN,120
adâncime/NOUN,121
adâncire/NOUN,122
adăpost/NOUN,123
adăugare/NOUN,124
aer/NOUN,125
aerisire/NOUN,126
aeronavă/NOUN,127
aeroport/NOUN,128
aerosol/NOUN,129
afacere/NOUN,130
afacerist/NOUN,131
afectare/NOUN,132
afecțiune/NOUN,133
afereză/NOUN,134
afiliere/NOUN,135
afinitate/NOUN,136
afirmare/NOUN,137
afirmație/NOUN,138
afiș/NOUN,139
afișare/NOUN,140
aflare/NOUN,141
afluent/NOUN,142
aflux/NOUN,143
afro-american/NOUN,144
agendă/NOUN,145
agent/NOUN,146
agenție/NOUN,147
agheasmă/NOUN,148
agitator/NOUN,149
agitație/NOUN,150
aglomerare/NOUN,151
aglomerație/NOUN,152
agonie/NOUN,153
agonist/NOUN,154
agravare/NOUN,155
agregare/NOUN,156
agrement/NOUN,157
agresiune/NOUN,158
agresivitate/NOUN,159
agresor/NOUN,160
agricultură/NOUN,161
agronom/NOUN,162
agronomie/NOUN,163
agă/NOUN,164
ajun/NOUN,165
ajuns/NOUN,166
ajustare/NOUN,167
ajutare/NOUN,168
ajutor/NOUN,169
al/NOUN,170
al./NOUN,171
alai/NOUN,172
alamă/NOUN,173
alani/NOUN,174
alarmă/NOUN,175
alb/NOUN,176
albastru/NOUN,177
albatros/NOUN,178
albie/NOUN,179
albină/NOUN,180
album/NOUN,181
albumină/NOUN,182
albăstriță/NOUN,183
alcool/NOUN,184
alcoolism/NOUN,185
alcătuire/NOUN,186
aldehidă/NOUN,187
alee/NOUN,188
alege/NOUN,189
alegere/NOUN,190
alegorie/NOUN,191
alegător/NOUN,192
alelă/NOUN,193
alergare/NOUN,194
alergie/NOUN,195
alergător/NOUN,196
alertă/NOUN,197
ales/NOUN,198
alfa/NOUN,199
algebră/NOUN,200
alianță/NOUN,201
aliat/NOUN,202
alienare/NOUN,203
alifie/NOUN,204
aliment/NOUN,205
alimentare/NOUN,206
alimentație/NOUN,207
alineat/NOUN,208
aliniere/NOUN,209
alipire/NOUN,210
almanah/NOUN,211
alocare/NOUN,212
alocație/NOUN,213
alpinist/NOUN,214
alt/NOUN,215
altar/NOUN,216
alterare/NOUN,217
alternanță/NOUN,218
alternativă/NOUN,219
alternator/NOUN,220
altitudine/NOUN,221
altul/NOUN,222
aluat/NOUN,223
aluminiu/NOUN,224
alun/NOUN,225
alunecare/NOUN,226
alungire/NOUN,227
alună/NOUN,228
aluzie/NOUN,229
alveolă/NOUN,230
alăptare/NOUN,231
alăturare/NOUN,232
alăută/NOUN,233
amar/NOUN,234
amator/NOUN,235
ambalaj/NOUN,236
ambalare/NOUN,237
ambasador/NOUN,238
ambasadă/NOUN,239
ambianță/NOUN,240
ambiguitate/NOUN,241
ambiție/NOUN,242
ambulanță/NOUN,243
ambuteiaj/NOUN,244
ameliorare/NOUN,245
amenajare/NOUN,246
amendament/NOUN,247
amendă/NOUN,248
amenințare/NOUN,249
american/NOUN,250
amestec/NOUN,251
amestecare/NOUN,252
amestecătură/NOUN,253
amețeală/NOUN,254
amfitrion/NOUN,255
amiază/NOUN,256
amiciție/NOUN,257
amidon/NOUN,258
amin/NOUN,259
aminoacid/NOUN,260
aminotransferază/NOUN,261
amintire/NOUN,262
amnar/NOUN,263
amoniac/NOUN,264
amor/NOUN,265
amorsare/NOUN,266
amplasament/NOUN,267
amplificare/NOUN,268
amplitudine/NOUN,269
amploare/NOUN,270
amprentă/NOUN,271
amputare/NOUN,272
amurg/NOUN,273
amvon/NOUN,274
amânare/NOUN,275
amănunt/NOUN,276
amărât/NOUN,277
amărăciune/NOUN,278
an/NOUN,279
anafilaxie/NOUN,280
anaforă/NOUN,281
analizare/NOUN,282
analizator/NOUN,283
analiză/NOUN,284
analog/NOUN,285
